城市,区域,监测点,时间,AQI,空气质量等级,首要污染物,经度,纬度,PM10_IAQI,PM10_浓度,PM2.5_IAQI,PM2.5_浓度,一氧化碳_IAQI,一氧化碳_浓度,二氧化氮_IAQI,二氧化氮_浓度,二氧化硫_IAQI,二氧化硫_浓度,臭氧1小时_IAQI,臭氧1小时_浓度,臭氧8小时_IAQI,臭氧8小时_浓度
石家庄市,长安区,和平路363号,04/20 13:00,57.0,良,PM10,114.559,38.058,57.0,59.0,22.0,15.0,3.0,0.3,4.0,7.0,-99.0,-99.0,32.0,101.0,0.0,92.0
石家庄市,栾城区,栾城区星河路,04/20 13:00,64.0,良,PM10,114.655,37.902,64.0,69.0,9.0,6.0,5.0,0.5,5.0,10.0,1.0,3.0,30.0,95.0,0.0,79.0
石家庄市,鹿泉区,鹿泉住建局(*),04/20 13:00,30.0,优,无,114.319,38.097,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.0,6.0,30.0,95.0,0.0,78.0
石家庄市,藁城区,藁城九中(*),04/20 13:00,65.0,良,PM10,114.834,38.014,65.0,70.0,3.0,2.0,1.0,0.1,4.0,7.0,2.0,5.0,28.0,87.0,0.0,74.0
石家庄市,桥西区,西南高教,04/20 13:00,58.0,良,PM10,114.453,38.014,58.0,61.0,15.0,10.0,2.0,0.2,2.0,4.0,-99.0,-99.0,32.0,101.0,0.0,89.0
石家庄市,鹿泉区,鹿泉一中,04/20 13:00,55.0,良,PM10,114.289,38.091,55.0,56.0,16.0,11.0,2.0,0.2,5.0,9.0,1.0,1.0,31.0,97.0,0.0,73.0
石家庄市,赞皇县,赞皇县政府(*),04/20 13:00,77.0,良,PM10,114.38,37.666,77.0,87.0,16.0,11.0,3.0,0.3,3.0,6.0,3.0,8.0,30.0,95.0,0.0,84.0
石家庄市,长安区,人民会堂,04/20 13:00,53.0,良,PM10,114.51,38.049,53.0,54.0,18.0,12.0,-99.0,-99.0,2.0,4.0,-99.0,-99.0,29.0,91.0,0.0,89.0
石家庄市,正定县,正定子龙小学(*),04/20 13:00,52.0,良,PM10,114.559,38.168,52.0,52.0,12.0,8.0,4.0,0.4,5.0,9.0,1.0,3.0,33.0,103.0,0.0,92.0
石家庄市,行唐县,行唐交通局(*),04/20 13:00,65.0,良,PM10,114.557,38.439,65.0,70.0,6.0,4.0,3.0,0.3,6.0,11.0,1.0,3.0,31.0,98.0,0.0,89.0
石家庄市,无极县,无极东关学校(*),04/20 13:00,74.0,良,PM10,114.981,38.181,74.0,83.0,10.0,7.0,-99.0,-99.0,1.0,2.0,-99.0,-99.0,29.0,92.0,0.0,82.0
石家庄市,井陉矿区,矿区区委大楼,04/20 13:00,55.0,良,PM10,114.049,38.059,55.0,57.0,10.0,7.0,3.0,0.3,6.0,11.0,2.0,4.0,30.0,93.0,0.0,66.0
石家庄市,无极县,无极卫计局(*),04/20 13:00,64.0,良,PM10,114.955,38.178,64.0,69.0,15.0,10.0,3.0,0.3,5.0,9.0,2.0,4.0,28.0,88.0,0.0,78.0
石家庄市,井陉县,井陉3502生活区(*),04/20 13:00,47.0,优,无,114.158,38.02,47.0,47.0,38.0,26.0,3.0,0.3,5.0,10.0,1.0,3.0,31.0,98.0,0.0,75.0
石家庄市,鹿泉区,鹿泉区政府-23年6月1日停用(*),04/20 13:00,,--,,114.314,38.087,,,,,,,,,,,,,,
石家庄市,元氏县,元氏县政府(*),04/20 13:00,96.0,良,PM10,114.532,37.774,96.0,114.0,16.0,11.0,4.0,0.4,8.0,15.0,3.0,9.0,28.0,88.0,0.0,80.0
石家庄市,高新区,高新区,04/20 13:00,59.0,良,PM10,114.606,38.027,59.0,62.0,20.0,14.0,3.0,0.3,6.0,12.0,2.0,5.0,31.0,99.0,0.0,88.0
石家庄市,市辖区,封龙山(*),04/20 13:00,,--,,114.354,37.91,,,,,,,,,,,,,,
石家庄市,新华区,北城路41号,04/20 13:00,56.0,良,PM10,114.449,38.072,56.0,58.0,13.0,9.0,1.0,0.1,1.0,1.0,1.0,1.0,33.0,103.0,0.0,90.0
石家庄市,高邑县,高邑镇政府(*),04/20 13:00,61.0,良,PM10,114.609,37.607,61.0,65.0,13.0,9.0,3.0,0.3,2.0,4.0,3.0,7.0,32.0,101.0,0.0,79.0
石家庄市,栾城区,石家庄装备制造产业园区(*),04/20 13:00,47.0,优,无,114.543,37.926,,,,,,,,,,,,,,
石家庄市,晋州市,晋州财政局(*),04/20 13:00,65.0,良,PM10,115.038,38.025,65.0,70.0,3.0,2.0,4.0,0.4,4.0,8.0,1.0,2.0,29.0,92.0,0.0,78.0
石家庄市,深泽县,深泽华丽大楼(*),04/20 13:00,53.0,良,PM10,115.184,38.18,53.0,53.0,15.0,10.0,4.0,0.4,4.0,7.0,2.0,5.0,30.0,95.0,0.0,81.0
