机构（会员）名称,会员代表,会员类型,会员编号,入会时间,机构类型,是否星标
天相投资顾问有限公司,林义相,联席会员,LX1800000144,2012-06-06,其他机构,N
国泰基金管理有限公司,李昇,普通会员,PT0100000001,2012-06-06,公募基金管理公司,Y
南方基金管理股份有限公司,杨小松,普通会员,PT0100000002,2012-06-06,公募基金管理公司,Y
华夏基金管理有限公司,李一梅,普通会员,PT0100000003,2012-06-06,公募基金管理公司,Y
华安基金管理有限公司,张霄岭,普通会员,PT0100000004,2012-06-06,公募基金管理公司,Y
博时基金管理有限公司,江向阳,普通会员,PT0100000005,2012-06-06,公募基金管理公司,Y
鹏华基金管理有限公司,邓召明,普通会员,PT0100000006,2012-06-06,公募基金管理公司,Y
长盛基金管理有限公司,胡甲,普通会员,PT0100000007,2012-06-06,公募基金管理公司,N
嘉实基金管理有限公司,经雷,普通会员,PT0100000008,2012-06-06,公募基金管理公司,Y
大成基金管理有限公司,谭晓冈,普通会员,PT0100000009,2012-06-06,公募基金管理公司,Y
富国基金管理有限公司,陈戈,普通会员,PT0100000010,2012-06-06,公募基金管理公司,Y
易方达基金管理有限公司,刘晓艳,普通会员,PT0100000011,2012-06-06,公募基金管理公司,Y
宝盈基金管理有限公司,杨凯,普通会员,PT0100000012,2012-06-06,公募基金管理公司,N
融通基金管理有限公司,商小虎,普通会员,PT0100000013,2012-06-06,公募基金管理公司,N
银华基金管理股份有限公司,王立新,普通会员,PT0100000014,2012-06-06,公募基金管理公司,Y
长城基金管理有限公司,祝函,普通会员,PT0100000015,2012-06-06,公募基金管理公司,N
银河基金管理有限公司,胡泊,普通会员,PT0100000016,2012-06-06,公募基金管理公司,N
宏利基金管理有限公司,金旭,普通会员,PT0100000017,2012-06-06,公募基金管理公司,N
国投瑞银基金管理有限公司,王彦杰,普通会员,PT0100000018,2012-06-06,公募基金管理公司,N
万家基金管理有限公司,方一天,普通会员,PT0100000019,2012-06-06,公募基金管理公司,N
金鹰基金管理有限公司,姚文强,普通会员,PT0100000020,2012-06-06,公募基金管理公司,N
招商基金管理有限公司,钟文岳,普通会员,PT0100000021,2012-06-06,公募基金管理公司,Y
华宝基金管理有限公司,夏雪松,普通会员,PT0100000022,2012-06-06,公募基金管理公司,Y
摩根士丹利基金管理（中国）有限公司,ZHOU WENTONG（周文秱）,普通会员,PT0100000023,2012-06-06,公募基金管理公司,N
国联安基金管理有限公司,唐华,普通会员,PT0100000024,2012-06-06,公募基金管理公司,N
海富通基金管理有限公司,任志强,普通会员,PT0100000025,2012-06-06,公募基金管理公司,N
长信基金管理有限责任公司,覃波,普通会员,PT0100000026,2012-06-06,公募基金管理公司,N
泰信基金管理有限公司,李高峰,普通会员,PT0100000027,2012-06-06,公募基金管理公司,N
天治基金管理有限公司,马铁刚,普通会员,PT0100000028,2012-06-06,公募基金管理公司,N
景顺长城基金管理有限公司,康乐,普通会员,PT0100000029,2012-06-06,公募基金管理公司,Y
广发基金管理有限公司,王凡,普通会员,PT0100000030,2012-06-06,公募基金管理公司,Y
兴证全球基金管理有限公司,庄园芳,普通会员,PT0100000031,2012-06-06,公募基金管理公司,Y
诺安基金管理有限公司,齐斌,普通会员,PT0100000032,2012-06-06,公募基金管理公司,N
申万菱信基金管理有限公司,陈晓升,普通会员,PT0100000033,2012-06-06,公募基金管理公司,N
中海基金管理有限公司,曾杰,普通会员,PT0100000034,2012-06-06,公募基金管理公司,N
光大保德信基金管理有限公司,高瑞东,普通会员,PT0100000035,2012-06-06,公募基金管理公司,N
华富基金管理有限公司,余海春,普通会员,PT0100000036,2012-06-06,公募基金管理公司,N
摩根基金管理（中国）有限公司,王琼慧,普通会员,PT0100000037,2012-06-06,公募基金管理公司,Y
东方基金管理股份有限公司,崔伟,普通会员,PT0100000038,2012-06-06,公募基金管理公司,N
中银基金管理有限公司,张家文,普通会员,PT0100000039,2012-06-06,公募基金管理公司,Y
东吴基金管理有限公司,李素明,普通会员,PT0100000040,2012-06-06,公募基金管理公司,N
国海富兰克林基金管理有限公司,刘峻,普通会员,PT0100000041,2012-06-06,公募基金管理公司,N
天弘基金管理有限公司,高阳,普通会员,PT0100000042,2012-06-06,公募基金管理公司,Y
华泰柏瑞基金管理有限公司,崔春,普通会员,PT0100000043,2012-06-06,公募基金管理公司,N
新华基金管理股份有限公司,银国宏,普通会员,PT0100000044,2012-06-06,公募基金管理公司,N
汇添富基金管理股份有限公司,鲁伟铭,普通会员,PT0100000045,2012-06-06,公募基金管理公司,Y
工银瑞信基金管理有限公司,赵桂才,普通会员,PT0100000046,2012-06-06,公募基金管理公司,Y
交银施罗德基金管理有限公司,谢卫,普通会员,PT0100000047,2012-06-06,公募基金管理公司,N
中信保诚基金管理有限公司,董元星,普通会员,PT0100000048,2012-06-06,公募基金管理公司,N
建信基金管理有限责任公司,孙志晨,普通会员,PT0100000049,2012-06-06,公募基金管理公司,Y
华商基金管理有限公司,王小刚,普通会员,PT0100000050,2012-06-06,公募基金管理公司,N
汇丰晋信基金管理有限公司,李选进,普通会员,PT0100000051,2012-06-06,公募基金管理公司,N
益民基金管理有限公司,王健,普通会员,PT0100000052,2012-06-06,公募基金管理公司,N
中邮创业基金管理股份有限公司,张志名,普通会员,PT0100000053,2012-06-06,公募基金管理公司,N
信达澳亚基金管理有限公司,徐伟文,普通会员,PT0100000054,2012-06-06,公募基金管理公司,N
诺德基金管理有限公司,郑成武,普通会员,PT0100000055,2012-06-06,公募基金管理公司,N
中欧基金管理有限公司,刘建平,普通会员,PT0100000056,2012-06-06,公募基金管理公司,Y
金元顺安基金管理有限公司,邝晓星,普通会员,PT0100000057,2012-06-06,公募基金管理公司,N
浦银安盛基金管理有限公司,郁蓓华,普通会员,PT0100000058,2012-06-06,公募基金管理公司,N
农银汇理基金管理有限公司,程昆,普通会员,PT0100000059,2012-06-06,公募基金管理公司,N
民生加银基金管理有限公司,李业弟,普通会员,PT0100000060,2012-06-06,公募基金管理公司,N
西部利得基金管理有限公司,何方,普通会员,PT0100000061,2012-06-06,公募基金管理公司,N
浙商基金管理有限公司,肖风,普通会员,PT0100000062,2012-06-06,公募基金管理公司,Y
平安基金管理有限公司,罗春风,普通会员,PT0100000063,2012-06-06,公募基金管理公司,N
富安达基金管理有限公司,王胜,普通会员,PT0100000064,2012-06-06,公募基金管理公司,N
财通基金管理有限公司,徐春庭,普通会员,PT0100000065,2012-06-06,公募基金管理公司,N
方正富邦基金管理有限公司,李岩,普通会员,PT0100000066,2012-06-06,公募基金管理公司,N
长安基金管理有限公司,崔晓健,普通会员,PT0100000067,2012-06-06,公募基金管理公司,N
国金基金管理有限公司,邰海波,普通会员,PT0100000068,2012-06-06,公募基金管理公司,N
安信基金管理有限责任公司,刘入领,普通会员,PT0100000069,2012-06-06,公募基金管理公司,N
德邦基金管理有限公司,左畅,普通会员,PT0100000070,2012-06-06,公募基金管理公司,N
华宸未来基金管理有限公司,孙琦,普通会员,PT0100000071,2012-06-06,公募基金管理公司,N
红塔红土基金管理有限公司,江涛,普通会员,PT0100000072,2012-06-06,公募基金管理公司,N
中国工商银行股份有限公司,刘彤,普通会员,PT0200000079,2012-06-06,商业银行,Y
中国农业银行股份有限公司,蔡崎峰,普通会员,PT0200000080,2012-06-06,商业银行,Y
中国建设银行股份有限公司,陈颖钰,普通会员,PT0200000082,2012-06-06,商业银行,Y
交通银行股份有限公司,徐铁,普通会员,PT0200000083,2012-06-06,商业银行,Y
招商银行股份有限公司,孙乐,普通会员,PT0200000086,2012-06-06,商业银行,Y
中信银行股份有限公司,杨璋琪,普通会员,PT0200000087,2012-06-06,商业银行,N
中国民生银行股份有限公司,崔岩,普通会员,PT0200000088,2012-06-06,商业银行,N
兴业银行股份有限公司,,普通会员,PT0200000089,2012-06-06,商业银行,Y
北京银行股份有限公司,贺凌,普通会员,PT0200000091,2012-06-06,商业银行,N
平安银行股份有限公司,宋菁,普通会员,PT0200000092,2012-06-06,商业银行,N
中国银行股份有限公司,汪翔,普通会员,PT0200033261,2012-06-06,商业银行,Y
招商证券股份有限公司,牛中强,普通会员,PT0300000149,2012-06-06,证券公司,Y
江苏昆山农村商业银行股份有限公司,赵洋,联席会员,LX0200000122,2012-10-08,商业银行,N
广发银行股份有限公司,田卫来,普通会员,PT0200000093,2012-10-08,商业银行,N
杭州银行股份有限公司,袁靖毅,普通会员,PT0200000102,2012-10-08,商业银行,N
长沙银行股份有限公司,颜逸舟,普通会员,PT0200000114,2012-10-08,商业银行,N
上海农村商业银行股份有限公司,姚惟佳,普通会员,PT0200000116,2012-10-08,商业银行,N
宁波银行股份有限公司,朱广科,普通会员,PT0200000097,2012-10-09,商业银行,N
华夏银行股份有限公司,陈秀良,普通会员,PT0200000084,2012-10-31,商业银行,N
徽商银行股份有限公司,裴娟,普通会员,PT0200000100,2012-10-31,商业银行,N
汉口银行股份有限公司,杨宇杰,联席会员,LX0200000104,2012-11-01,商业银行,N
重庆农村商业银行股份有限公司,张静,联席会员,LX0200000119,2012-11-01,商业银行,N
深圳农村商业银行股份有限公司,莫汝展,联席会员,LX0200033111,2012-11-01,商业银行,N
大连银行股份有限公司,朱珠,联席会员,LX0200000108,2012-11-30,商业银行,N
温州银行股份有限公司,吴坚,联席会员,LX0200000103,2012-12-03,商业银行,N
江苏江阴农村商业银行股份有限公司,宋萍,联席会员,LX0200000121,2012-12-03,商业银行,N
上海浦东发展银行股份有限公司,吕畅,普通会员,PT0200000090,2012-12-03,商业银行,Y
