序号,机构类型,机构名称,公示网址
1,公募基金管理公司,安联基金管理有限公司,https://www.allianzgi.com.cn/contents/2024/6/11-254bd26539bd49dc8c9844f2034ce39b.html
2,公募基金管理公司,安信基金管理有限责任公司,https://www.essencefund.com/main/aboutus/qualification/bondinvestmenter/index.shtml
3,公募基金管理公司,百嘉基金管理有限公司,http://www.baijiafunds.com.cn/aboutus/annnounce/index.html
4,公募基金管理公司,宝盈基金管理有限公司,http://www.byfunds.com/baoying/aboutus/about-us-information/index.html
5,公募基金管理公司,北京京管泰富基金管理有限责任公司,https://www.cdbsfund.com/main/aboutus/personpub/index.html
6,公募基金管理公司,贝莱德基金管理有限公司,https://www.blackrock.com.cn/upload/pdf/1775867487225-zhaiquantouzijiaoyixiangguanrenyuanxinxi.pdf
7,公募基金管理公司,博道基金管理有限公司,http://www.bdfund.com.cn/aboutus/bond%20trader/index.html
8,公募基金管理公司,博时基金管理有限公司,http://www.bosera.com/column/index.do?classid=00020002000200010009
9,公募基金管理公司,博远基金管理有限公司,http://www.boyuanfunds.com/aboutus/rygs/ZQTZJY/index.html
10,公募基金管理公司,财通基金管理有限公司,https://www.ctfund.com/contents/2023/11/7-2cc369edae144e7b93a783f58d4a97b8.html
11,公募基金管理公司,财信基金管理有限公司,https://mfund.hnchasing.com
12,公募基金管理公司,长安基金管理有限公司,http://www.changanfunds.com/contents/2011/7/19-ee808ea65164431ebb219f63587d325b.html
13,公募基金管理公司,长城基金管理有限公司,https://www.ccfund.com.cn/main/zjcc/gsdsj/rygs/118586.shtml 
14,公募基金管理公司,长盛基金管理有限公司,http://www.csfunds.com.cn/qtnrgl/xsgs/
15,公募基金管理公司,长信基金管理有限责任公司,http://www.cxfund.com.cn/contents/2018/3/13-49d3aa2cd2574400948a127e3daa3eb1.html
16,公募基金管理公司,创金合信基金管理有限公司,https://www.cjhxfund.com/main/aboutUs/personnelPublic/bondTrader/index.shtml
17,公募基金管理公司,淳厚基金管理有限公司,http://www.purekindfund.com/xxgs/zjrygs/index.html
