item,February  2026,Last 3  Months,Last 12  Months
Fama/French 3 Research Factors,-,-,-
Rm-Rf,-1.17,-0.52,12.75
SMB,0.14,1.27,1.50
HML,2.83,9.07,8.05
Fama/French 5 Research Factors (2x3),-,-,-
Rm-Rf,-1.17,-0.52,12.75
SMB,0.63,3.68,2.40
HML,2.83,9.07,8.05
RMW,1.62,3.94,-6.27
CMA,5.07,7.43,2.59
Fama/French Research Portfolios,-,-,-
Size and Book-to-Market Portfolios,-,-,-
Small Value,1.25 2.10 -2.75 -0.49 2.82 -2.15 1.47 0.42 0.40 -1.30 0.67 -3.47 0.90 1.26 -0.04 5.31 1.80 -3.88,8.25 9.21 -1.38 5.75 9.27 -2.75 8.85 7.71 4.02 -0.84 4.15 -3.89 5.24 8.67 4.51 10.34 3.69 -3.78,22.50 26.14 13.89 23.49 18.55 16.00 14.40 17.22 28.29 14.91 20.61 13.57 18.18 20.78 25.86 27.36 16.67 14.50
Small Neutral,-,-,-
Big Neutral,-,-,-
Small Growth,,,
Big Value,,,
Big Growth,,,
Size and Operating Profitability Portfolios,,,
Small Robust,,,
Small Neutral,,,
Small Weak,,,
Big Robust,,,
Big Neutral,,,
Big Weak,,,
Size and Investment Portfolios,,,
Small Conservative,,,
Small Neutral,,,
Small Aggressive,,,
Big Conservative,,,
Big Neutral,,,
Big Aggressive,,,
