price_dt,price,amount,volume,count,increase_val,increase_rt,avg_price,mid_price,mid_convert_value,avg_dblow,avg_premium_rt,mid_premium_rt,avg_ytm_rt,temperature,turnover_rt,price_90,price_90_100,price_100_110,price_110_120,price_120_130,price_130,increase_rt_90,increase_rt_90_100,increase_rt_100_110,increase_rt_110_120,increase_rt_120_130,increase_rt_130,idx_price,idx_increase_rt
2025-04-15,2103.24,6862.21,589.35,474,-11.015,-0.52,127.78,118.678,87.54,180.54,52.76,35.23,-3.11,53.34,8.59,2,8,63,198,121,82,0.66,-0.47,-0.36,-0.55,-0.54,-0.58,3761.235,0.06
2025-04-16,2085.194,6860.95,506.42,474,-18.046,-0.86,126.534,117.479,85.95,180.33,53.8,35.67,-2.77,49.79,7.38,2,11,73,194,118,76,-0.53,-1.14,-0.5,-0.67,-0.83,-1.69,3772.82,0.31
2025-04-17,2090.053,6886.46,477.08,475,4.859,0.23,126.562,118.0,86.5,179.8,53.24,36.05,-2.89,51.3,6.93,2,9,67,200,122,75,1.68,0.45,0.27,0.29,0.18,0.07,3772.222,-0.02
2025-04-18,2088.862,6882.61,452.38,473,-1.191,-0.06,126.165,117.777,86.6,179.85,53.69,36.46,-2.81,50.6,6.57,2,10,68,197,125,71,0.23,0.25,-0.11,-0.04,-0.05,-0.12,3772.523,0.01
2025-04-21,2106.471,6879.76,533.88,473,17.609,0.84,127.274,118.579,87.69,179.4,52.13,34.91,-3.14,53.46,7.76,2,9,59,196,127,80,0.41,0.0,0.13,0.53,0.72,2.45,3784.881,0.33
2025-04-22,2112.39,6876.68,504.0,471,5.919,0.28,127.471,119.167,87.56,179.72,52.25,35.09,-3.29,55.97,7.33,2,9,56,189,129,86,0.47,-0.04,0.16,0.29,0.33,0.3,3783.952,-0.02
2025-04-23,2127.219,6875.62,600.97,471,14.829,0.7,128.383,119.62,87.99,180.08,51.7,34.94,-3.56,59.31,8.74,2,9,56,177,126,101,0.29,0.61,0.32,0.42,0.8,1.31,3786.882,0.08
2025-04-24,2116.349,6883.65,560.4,472,-10.87,-0.51,127.594,119.038,87.78,179.41,51.81,34.64,-3.33,57.03,8.14,2,9,58,187,125,91,-1.73,-0.17,-0.12,-0.45,-0.52,-0.89,3784.357,-0.07
2025-04-25,2121.725,6880.75,609.34,472,5.376,0.25,127.865,119.443,87.76,179.81,51.95,34.83,-3.45,57.39,8.86,2,9,53,188,127,93,1.71,0.39,0.14,0.17,0.23,0.48,3786.994,0.07
2025-04-28,2103.542,6894.79,504.38,475,-18.183,-0.86,126.562,118.193,86.21,179.54,52.98,35.8,-3.09,51.3,7.32,3,9,63,195,129,76,-6.74,-1.12,-0.61,-0.9,-0.71,-0.95,3781.619,-0.14
