代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
404004,汇车退债,36.213,0.0,400245,汇车5,0.08,0.0,0.02,0.1,80.0,-54.73,A,0.07,0.13,193.5,2026-08-18,0.329,12.846,0.0,0.0,625.03,-18.52
123267,珂玛转债,100.0,0.0,301611,珂玛科技,100.7,-2.23,25.48,97.57,103.21,-3.11,AA,68.299,126.841,,2032-04-15,5.992,7.5,0.0,0.0,2.16,96.89
128141,旺能转债,137.955,-0.09,002034,旺能环境,19.45,0.21,1.19,13.98,139.13,-0.84,AA,9.786,18.174,12.0,2026-12-17,0.66,10.319,40363.62,28.45,-30.82,137.12
123256,恒帅转债,209.441,-0.45,300969,恒帅股份,131.82,-0.49,10.69,62.55,210.74,-0.62,A+,43.785,81.315,2.2,2031-05-29,,2.863,40348.16,66.44,,208.82
113687,Z振华转,432.9,0.52,603067,振华股份,35.66,-0.08,7.31,8.2,434.88,-0.46,AA,5.74,10.66,0.4,2030-07-12,,1.066,50381.73,109.1,,432.44
113640,苏利转债,136.6,-1.71,603585,苏利股份,23.6,-1.91,1.7,17.2,137.21,-0.44,AA-,12.04,22.36,17.7,2028-02-16,1.827,7.934,25710.65,23.61,-8.21,136.16
118006,阿拉转债,135.926,-1.03,688179,阿拉丁,18.18,-1.2,5.92,13.32,136.49,-0.41,A+,9.324,17.316,2.3,2028-03-15,,1.495,8612.52,42.47,,135.52
118038,金宏转债,151.28,5.19,688106,金宏气体,28.8,5.38,4.63,18.97,151.82,-0.36,AA-,13.279,24.661,1.6,2029-07-17,,2.348,109570.75,310.86,,150.92
123254,Z纬转债,136.663,-1.35,300014,亿纬锂能,68.84,-1.45,3.47,50.28,136.91,-0.18,AA+,35.196,65.364,0.3,2031-03-24,,4.06,28025.34,50.34,,136.48
113654,永02转债,128.081,0.46,603901,永创智能,12.53,0.64,2.53,9.77,128.25,-0.13,AA-,6.839,12.701,5.5,2028-08-04,2.293,3.466,8638.1,19.44,-4.13,127.95
