代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
118006,阿拉转债,135.915,688179,阿拉丁,3.874,1.495,2022-09-21,2026-04-27,2028-03-15,13.32,130,17.316,18.17,100.356,17/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
118038,金宏转债,151.049,688106,金宏气体,10.16,2.348,2024-01-22,2026-04-23,2029-07-17,18.97,130,24.661,28.74,100.784,27/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,已公告强赎
123256,恒帅转债,209.388,300969,恒帅股份,3.28,2.863,2025-12-05,2026-05-07,2031-05-29,62.55,130,81.315,131.62,100.191,16/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,已公告强赎
123254,Z纬转债,136.522,300014,亿纬锂能,50.0,4.06,2025-09-29,2026-04-20,2031-03-24,50.28,130,65.364,68.85,100.034,20/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
113687,Z振华转,432.941,603067,振华股份,4.062,1.066,2025-01-20,2026-04-20,2030-07-12,8.2,130,10.66,35.66,100.313,26/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
118049,汇成转债,223.935,688403,汇成股份,11.487,2.067,2025-02-13,2026-04-22,2030-08-07,7.61,130,9.893,16.96,100.289,30/15 | 30,在转股期内，如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,已公告强赎
123129,锦鸡转债,147.85,300798,锦鸡股份,6.0,1.907,2022-05-10,2026-04-30,2027-11-04,7.92,120,9.504,11.47,101.18,23/20 | 30,如果公司 A 股股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的 120%(含 120%),已公告强赎
113618,美诺转债,242.8,603538,美诺华,5.2,2.946,2021-07-20,,2027-01-14,21.28,130,27.664,50.83,,19/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交 易日的收盘价格不低于当期转股价格的 130%(含 130%),公告要强赎
113654,永02转债,128.052,603901,永创智能,6.105,3.466,2023-02-10,,2028-08-04,9.77,130,12.701,12.54,,13/15 | 30,如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含 130%）,公告要强赎
128108,蓝帆转债,108.012,002382,蓝帆医疗,31.44,15.203,2020-12-03,2026-05-22,2026-05-28,7.95,130,10.335,7.31,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-05-22 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易日的 收盘价格不低于当期转股价格的130%(含130%),已公告强赎
