债券代码,债券简称,公告日期,交易所网上发行起始日,交易所网上发行终止日,计划发行总量,实际发行总量,发行面值,发行价格,发行方式,发行对象,发行范围,承销方式,最小认购单位,募资用途说明,最低认购额,债券名称
245096,26安租04,2026-04-16,2026-04-20,2026-04-21,50000.0,50000.0,100.0,100,交易所系统网下向机构投资者协议发行,本次网下发行对象为在登记公司开立合格证券账户的专业机构投资者（法律、法规禁止购买者除外），包括未参与网下询价的专业机构投资者。专业机构投资者的申购资金来源必须符合国家有关规定。,"上海证券交易所,上交所固定收益平台",余额包销,10000000,,10000000,2026年平安国际融资租赁有限公司面向专业投资者公开发行公司债券(第二期)(品种一)
245097,26安租05,2026-04-16,2026-04-20,2026-04-21,50000.0,50000.0,100.0,100,交易所系统网下向机构投资者协议发行,本次网下发行对象为在登记公司开立合格证券账户的专业机构投资者（法律、法规禁止购买者除外），包括未参与网下询价的专业机构投资者。,"上海证券交易所,上交所固定收益平台",余额包销,10000000,,10000000,2026年平安国际融资租赁有限公司面向专业投资者公开发行公司债券(第二期)(品种二)
245010,26创控G3,2026-04-16,2026-04-20,2026-04-21,100000.0,100000.0,100.0,100,交易所系统网下向机构投资者协议发行,网下发行的对象为在中国证券登记结算有限责任公司上海分公司开立合格证券账户的专业机构投资者（法律、法规禁止购买者除外），包括未参与网下询价的专业机构投资者。专业机构投资者的申购资金来源必须符合国家有关规定。,"上交所固定收益平台,上海证券交易所",余额包销,1000000,偿还债券,1000000,2026年昆山创业控股集团有限公司面向专业投资者公开发行公司债券(第三期)
245112,26万联S1,2026-04-16,2026-04-20,2026-04-21,50000.0,50000.0,100.0,100,交易所系统网下向机构投资者协议发行,网下发行的对象为在中国证券登记结算有限责任公司开立合格证券账户的（法律、法规禁止购买者除外），并且符合《公司债券发行与交易管理办法》《证券期货投资者适当性管理办法》和《上海证券交易所债券市场投资者适当性管理办法（2023年修订）》及相关法律法规规定的可以参与公司债券认购和转让的，具备相应风险识别和承担能力的专业机构投资者。专业机构投资者的申购资金来源必须符合国家有关规定。,"上交所固定收益平台,上海证券交易所",代销,10000000,补充资金,10000000,2026年万联证券股份有限公司面向专业投资者公开发行短期公司债券(第一期)
245109,26CHNG8K,2026-04-16,2026-04-20,2026-04-20,100000.0,100000.0,100.0,100,交易所系统网下向机构投资者协议发行,本次网下发行的对象为在中国证券登记结算有限责任公司开立合格证券账户且符合《管理办法》《上海证券交易所公司债券上市规则（2023年修订）》《证券期货投资者适当性管理办法》《上海证券交易所债券市场投资者适当性管理办法（2023年修订）》《关于进一步规范债券发行业务有关事项的通知》等相关法律法规规定的专业机构投资者（法律、法规禁止购买者除外），普通投资者和专业投资者中的个人投资者不得参与发行认购。专业机构投资者的申购资金来源必须符合国家有关规定。,"上交所固定收益平台,上海证券交易所",余额包销,10000000,生产性支出(品种二),10000000,2026年中国华能集团有限公司面向专业投资者公开发行科技创新公司债券(第四期)(品种二)
245005,26甬投Y1,2026-04-16,2026-04-20,2026-04-21,100000.0,100000.0,100.0,100,交易所系统网下向机构投资者协议发行,网下发行对象为符合《公司债券发行与交易管理办法》、《证券期货投资者适当性管理办法》和《上海证券交易所债券市场投资者适当性管理办法》规定并拥有中国证券登记结算有限责任公司上海分公司A股证券账户的专业机构投资者（法律、法规禁止购买者除外）。专业机构投资者的申购资金来源必须符合国家有关规定。普通投资者和专业投资者中的个人投资者认购或买入的交易行为无效。,"上交所固定收益平台,上海证券交易所",余额包销,10000000,偿还债券,10000000,2026年宁波开发投资集团有限公司面向专业投资者公开发行可续期公司债券(第一期)
524759,26金玉01,2026-04-16,2026-04-20,2026-04-21,100000.0,100000.0,100.0,100,交易所系统网下向机构投资者协议发行,本期债券网下发行对象为持有中国证券登记结算有限责任公司深圳分公司A股证券账户且符合《公司债券发行与交易管理办法》《深圳证券交易所公司债券上市规则》《证券期货投资者适当性管理办法》《深圳证券交易所债券市场投资者适当性管理办法》等相关法律法规规定的专业机构投资者（法律、法规禁止购买者除外），普通投资者和专业投资者中的个人投资者不得参与发行认购。专业机构投资者的申购资金来源必须符合国家有关规定。,深圳证券交易所,余额包销,10000000,补充资金,10000000,2026年四川省金玉融资担保有限公司面向专业投资者公开发行公司债券(可持续挂钩)(第一期)
244959,26宏洋02,2026-04-16,2026-04-20,2026-04-20,120000.0,120000.0,100.0,100,交易所系统网下向机构投资者协议发行,本次网下发行对象为符合《证券法》和国务院证券监督管理机构规定的专业机构投资者。专业机构投资者的申购资金来源必须符合国家有关规定。,"上交所固定收益平台,上海证券交易所",余额包销,10000000,偿还债券,10000000,2026年中海宏洋地产集团有限公司面向专业投资者公开发行公司债券(第二期)
821023,K26湖产3,2026-04-16,2026-04-20,2026-04-22,50000.0,50000.0,100.0,100,交易所系统网下向机构投资者协议发行,本期债券发行对象为符合《公司债券发行与交易管理办法》《北京证券交易所债券市场投资者适当性管理办法》等相关规定且持有中国证券登记结算有限责任公司深圳分公司合格证券账户（具有北京市场标识）的专业机构投资者（法律、法规禁止购买者除外）。,,余额包销,1000000,"对科技创新企业进行权益出资,偿还发行人有息负债",10000000,2026年湖州市产业投资发展集团有限公司面向专业投资者公开发行科技创新公司债券(第一期)
244964,26保置01,2026-04-14,2026-04-17,2026-04-20,75000.0,75000.0,100.0,100,交易所系统网下向机构投资者协议发行,本期债券网下发行对象为在中国证券登记结算有限公司开立合格证券账户且符合《公司债券发行与交易管理办法》、《证券期货投资者适当性管理办法》、《上海证券交易所债券市场投资者适当性管理办法（2023年修订）》和《关于进一步规范债券发行业务有关事项的通知》及相关法律法规规定的专业机构投资者（法律、法规禁止购买者除外）。专业机构投资者的申购资金来源必须符合国家有关规定。专业机构投资者应当具备相应的风险识别和承担能力，知悉并自行承担公司债券的投资风险。,"上交所固定收益平台,上海证券交易所",余额包销,10000000,偿还债券(品种一),10000000,2026年保利置业集团有限公司面向专业投资者公开发行公司债券(第一期)(品种一)
244836,26路桥Y5,2026-04-15,2026-04-17,2026-04-20,100000.0,100000.0,100.0,100,交易所系统网下向机构投资者协议发行,本次网下发行对象为在证券登记机构开立合格证券账户且符合《公司债券发行与交易管理办法》、《证券期货投资者适当性管理办法》、《上海证券交易所债券市场投资者适当性管理办法（2023年修订）》及相关法律法规规定的专业机构投资者。专业机构投资者的申购资金来源必须符合国家有关规定。,"上交所固定收益平台,上海证券交易所",余额包销,10000000,偿还有息借款,10000000,2026年中电建路桥集团有限公司面向专业投资者公开发行可续期公司债券(第四期)
245066,26甘国02,2026-04-15,2026-04-17,2026-04-20,80000.0,80000.0,100.0,100,交易所系统网下向机构投资者协议发行,网下发行对象为符合《公司债券发行与交易管理办法》、《证券期货投资者适当性管理办法》和《上海证券交易所债券市场投资者适当性管理办法》规定并拥有中国证券登记结算有限责任公司上海分公司A股证券账户的专业机构投资者（法律、法规禁止购买者除外）。专业机构投资者的申购资金来源必须符合国家有关规定。普通投资者和专业投资者中的个人投资者认购或买入的交易行为无效。,"上交所固定收益平台,上海证券交易所",余额包销,10000000,偿还有息借款,10000000,2026年甘肃省国有资产投资集团有限公司面向专业投资者公开发行公司债券(第二期)
