债券代码,债券简称,公告日期,转股代码,转股简称,转股价格,自愿转换期起始日,自愿转换期终止日,标的股票,债券名称
132024,26江铜EB,2026-04-02,,,53.0,2027-04-12,2031-04-09,600362,2026年江西铜业集团有限公司面向专业投资者公开发行可交换公司债券
123269,金杨转债,2026-04-16,,,39.8,2026-10-26,2032-04-19,301210,2026年无锡金杨精密制造股份有限公司向不特定对象发行可转换公司债券
123268,本川转债,2026-04-15,,,75.88,2026-10-23,2032-04-16,300964,2026年江苏本川智能电路科技股份有限公司向不特定对象发行可转换公司债券
113702,斯达转债,2026-04-14,,,105.3,2026-10-22,2032-04-15,603290,2026年斯达半导体股份有限公司向不特定对象发行可转换公司债券
123267,珂玛转债,2026-04-14,,,97.57,2026-10-22,2032-04-15,301611,2026年苏州珂玛材料科技股份有限公司向不特定对象发行可转换公司债券
118067,上26转债,2026-03-16,,,32.6,2026-09-24,2032-03-17,688533,2026年苏州上声电子股份有限公司向不特定对象发行可转换公司债券
123266,博士转债,2026-03-16,,,30.43,2026-09-24,2032-03-17,300622,2026年博士眼镜连锁股份有限公司向不特定对象发行可转换公司债券
127113,长高转债,2026-03-05,,,11.01,2026-09-14,2032-03-08,002452,2026年长高电新科技股份公司向不特定对象发行可转换公司债券
113701,祥和转债,2026-02-27,,,13.59,2026-09-09,2032-03-02,603500,2026年浙江天台祥和实业股份有限公司向不特定对象发行可转换公司债券
118066,统联转债,2026-02-26,,,56.2,2026-09-07,2032-03-01,688210,2026年深圳市泛海统联精密制造股份有限公司可转换公司债券
113700,海天转债,2026-02-03,,,12.52,2026-08-11,2032-02-04,603759,2026年海天水务集团股份公司向不特定对象发行可转换公司债券
110100,龙建转债,2026-01-20,,,4.63,2026-07-28,2032-01-21,600853,2026年龙建路桥股份有限公司向不特定对象发行可转换公司债券
118065,艾为转债,2026-01-20,,,79.83,2026-07-28,2032-01-21,688798,2026年上海艾为电子技术股份有限公司向不特定对象发行可转换公司债券
123265,耐普转02,2026-01-14,,,38.44,2026-07-22,2032-01-15,300818,2026年江西耐普矿机股份有限公司向不特定对象发行可转换公司债券
127112,尚太转债,2026-01-14,,,84.71,2026-07-22,2032-01-15,001301,2026年石家庄尚太科技股份有限公司向不特定对象发行可转换公司债券
118064,联瑞转债,2026-01-06,,,63.55,2026-07-14,2032-01-07,688300,2026年江苏联瑞新材料股份有限公司向不特定对象发行可转换公司债券
123264,双乐转债,2025-12-24,,,36.7,2026-07-06,2031-12-25,301036,2025年双乐颜料股份有限公司向不特定对象发行可转换公司债券
118063,金05转债,2025-12-23,,,89.28,2026-07-01,2031-12-24,688676,海南金盘智能科技股份有限公司向不特定对象发行可转换公司债券
123263,鼎捷转债,2025-12-11,,,43.54,2026-06-22,2031-12-14,300378,2025年鼎捷数智股份有限公司向不特定对象发行可转换公司债券
118062,天准转债,2025-12-10,,,55.73,2026-06-18,2031-12-11,688003,苏州天准科技股份有限公司向不特定对象发行可转换公司债券
111024,澳弘转债,2025-12-09,,,34.04,2026-06-17,2031-12-10,605058,常州澳弘电子股份有限公司向不特定对象发行可转换公司债券
123262,神宇转债,2025-12-09,,,39.31,2026-06-17,2031-12-10,300563,2025年神宇通信科技股份公司向不特定对象发行可转换公司债券
123261,普联转债,2025-12-03,,,18.26,2026-06-11,2031-12-04,300996,2025年普联软件股份有限公司向不特定对象发行可转换公司债券
