债券名称,品种,注册或备案,金额,注册通知书文号,更新日期,项目状态
青岛城投创业投资有限公司关于2026年度第一期科技创新债券的注册报告,MTN,1,10.0,,2026-04-24,20
天津渤海化工集团有限责任公司关于2026年度第一期短期融资券的注册报告,CP,1,4.0,,2026-04-24,40
广州开发区人才教育工作集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,8.0,,2026-04-24,30
山东钢铁集团有限公司关于2026年度第一期中期票据的注册报告,PN,1,10.0,,2026-04-24,20
黄山供销集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-24,20
合肥市建设投资控股（集团）有限公司关于2026年度第一期中期票据的注册报告,MTN,1,20.0,,2026-04-24,20
北京市顺义区国有资本经营管理有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-24,20
东航国际融资租赁有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-24,30
上海大宁资产经营（集团）有限公司关于2026年度第二期中期票据的注册报告,MTN,1,13.35,,2026-04-24,30
长沙智谷高新产业投资有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-24,30
金源华兴融资租赁有限公司关于2026年度第一期超短期融资券的注册报告,SCP,1,5.0,,2026-04-24,30
兴化市交通产业投资有限公司关于2026年度第二期超短期融资券的注册报告,SCP,1,4.3,,2026-04-24,30
长春市城市发展投资控股（集团）有限公司关于2026年度第一期中期票据的注册报告,MTN,1,3.0,,2026-04-24,30
海南联合资产管理有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-24,30
信阳建投投资集团有限责任公司关于2026年度第一期中期票据的注册报告,MTN,1,31.72,,2026-04-24,40
深圳市鲲鹏股权投资管理有限公司关于2026年度第二期中期票据的注册报告,MTN,1,20.0,,2026-04-24,40
青岛西海岸新区海洋控股集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-24,20
扬州新材料投资集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,4.0,,2026-04-24,20
重庆高新开发建设投资集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,7.0,,2026-04-24,20
镇江文化旅游产业集团有限责任公司关于2026年度第一期超短期融资券的注册报告,SCP,1,2.97,,2026-04-24,20
榆林市城市投资经营集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,9.0,,2026-04-24,20
昆明市土地开发投资经营有限责任公司关于2026年度第一期中期票据的注册报告,MTN,1,20.0,中市协注[2026]MTN346号,2026-04-24,60
黄石市东楚投资集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,15.0,,2026-04-24,20
南京溧水产业投资控股集团有限公司关于2026-2028年度债务融资工具的注册报告,MTN,1,6.0,,2026-04-24,20
武汉生态环境投资发展集团有限公司关于2026年度第二期中期票据的注册报告,PN,1,5.1,,2026-04-24,20
武汉生态环境投资发展集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.2,,2026-04-24,20
泰兴市中兴国有资产经营投资集团有限公司关于2026年度第四期中期票据的注册报告,MTN,1,5.0,,2026-04-24,40
福州地铁集团有限公司关于2026-2028年度债务融资工具的注册报告,MTN,1,5.0,,2026-04-24,20
扬州新材料投资集团有限公司关于2026年度第一期短期融资券的注册报告,CP,1,2.0,,2026-04-24,20
六安城市建设投资有限公司关于2026年度第三期超短期融资券的注册报告,SCP,1,30.0,,2026-04-23,20
西安水务（集团）有限责任公司关于2026年度第二期中期票据的注册报告,PN,1,6.0,,2026-04-23,20
安吉租赁有限公司关于2026年度第一期中期票据的注册报告,MTN,1,3.0,,2026-04-23,20
成都交通投资集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,20.0,,2026-04-23,20
佛山市建设发展集团有限公司关于2026年度第一期超短期融资券的注册报告,SCP,1,5.0,,2026-04-23,20
广州越秀资本控股集团股份有限公司关于2026年度第五期中期票据的注册报告,MTN,1,8.0,,2026-04-23,20
方大炭素新材料科技股份有限公司关于2026-2028年度债务融资工具的注册报告,MTN,1,5.0,,2026-04-23,20
华润医药控股有限公司关于2026年度第一期中期票据的注册报告,MTN,1,15.0,,2026-04-23,20
宁波交通投资集团有限公司关于2026年度第二期超短期融资券的注册报告,SCP,1,10.0,,2026-04-23,20
南京市创新投资集团有限责任公司关于2026年度第一期科技创新债券的注册报告,MTN,1,10.0,,2026-04-23,40
嘉兴科技城投资发展集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,8.0,,2026-04-23,40
无锡市惠山国有投资控股集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,4.8,,2026-04-23,40
重庆国际物流枢纽园区建设有限责任公司关于2026年度第一期中期票据的注册报告,MTN,1,7.6,中市协注[2026]MTN345号,2026-04-23,60
南通经济技术开发区控股集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,中市协注[2026]MTN347号,2026-04-23,60
南京江北新城投资发展有限公司关于2026年度第二期中期票据的注册报告,MTN,1,8.0,,2026-04-23,20
宁波建工股份有限公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-23,20
厦门路桥建设集团有限公司关于2026年度第一期中期票据的注册报告,MTN,1,6.0,,2026-04-23,20
泉州交通发展集团有限责任公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-23,30
唐山工业控股集团有限公司关于2026年度第一期中期票据（并购）的注册报告,MTN,1,20.0,,2026-04-23,30
广西机场管理集团有限责任公司关于2026年度第一期中期票据的注册报告,MTN,1,5.0,,2026-04-23,30
建安投资控股集团有限公司关于2026年度第二期短期融资券的注册报告,CP,1,20.0,,2026-04-23,30
