date,open,high,low,close,volume
2022-06-09,0.898,0.921,0.872,0.8674,0
2022-06-10,0.9843,1.134,0.9843,1.096,0
2022-06-13,1.0959,1.172,1.0959,1.1213,0
2022-06-14,1.17,1.327,1.139,1.1213,0
2022-06-15,1.1568,1.2,1.126,1.172,0
2022-06-16,1.172,1.223,1.007,1.0095,0
2022-06-17,1.1265,1.218,1.1265,1.1265,0
2022-06-20,1.1823,1.1823,1.1823,1.1823,0
2022-06-21,1.1823,1.261,1.076,1.0807,0
2022-06-22,1.05,1.116,0.938,0.9486,0
2022-06-23,0.9486,1.088,0.944,1.0654,0
2022-06-24,1.0859,1.231,1.0859,1.1823,0
2022-06-27,1.1823,1.213,1.126,1.1416,0
2022-06-28,1.152,1.175,1.088,1.0857,0
2022-06-29,1.119,1.136,1.045,1.0857,0
2022-06-30,1.131,1.18,1.045,1.0755,0
2022-07-01,1.335,1.335,1.276,1.2838,0
2022-07-04,1.2838,1.2838,1.2838,1.2838,0
2022-07-05,1.2838,1.512,1.271,1.3041,0
2022-07-06,1.3041,1.322,1.256,1.3091,0
2022-07-07,1.3091,1.352,1.276,1.2989,0
2022-07-08,1.584,1.591,1.543,1.5328,0
2022-07-11,1.609,1.609,1.548,1.5328,0
2022-07-12,1.573,1.622,1.568,1.5988,0
2022-07-13,1.589,1.769,1.568,1.5937,0
2022-07-14,1.741,1.82,1.624,1.6698,0
2022-07-15,1.894,2.105,1.894,1.9243,0
2022-07-18,1.9243,1.985,1.883,1.9445,0
2022-07-19,1.942,1.952,1.85,1.9037,0
2022-07-20,1.914,1.914,1.865,1.868,0
2022-07-21,1.893,1.896,1.807,1.8324,0
2022-07-22,2.0467,2.201,2.0467,2.1226,0
2022-07-25,2.184,2.191,2.122,2.153,0
2022-07-26,2.171,2.191,2.138,2.1783,0
2022-07-27,2.155,2.191,2.117,2.1273,0
2022-07-28,2.155,2.188,2.104,2.1374,0
2022-07-29,2.1535,2.219,2.1535,2.1938,0
2022-08-01,2.1938,2.234,2.168,2.1988,0
2022-08-02,2.216,2.224,2.166,2.1988,0
2022-08-03,2.209,2.214,2.132,2.1527,0
2022-08-04,2.168,2.17,2.092,2.1119,0
2022-08-05,2.1281,2.194,2.1281,2.1633,0
2022-08-08,2.1633,2.209,2.143,2.1479,0
2022-08-09,2.1479,2.214,2.143,2.1834,0
2022-08-10,2.209,2.219,2.16,2.1833,0
2022-08-11,2.1833,2.244,2.16,2.1933,0
2022-08-12,2.209,2.239,2.189,2.1684,0
2022-08-15,2.199,2.214,2.178,2.1988,0
2022-08-16,2.237,2.283,2.181,2.1986,0
2022-08-17,2.224,2.232,2.137,2.1426,0
2022-08-18,2.175,2.209,2.12,2.1374,0
2022-08-19,2.206,2.234,2.173,2.1989,0
2022-08-22,2.1989,2.234,2.1989,2.1988,0
2022-08-23,2.196,2.222,2.155,2.1732,0
2022-08-24,2.201,2.211,2.153,2.1883,0
2022-08-25,2.214,2.27,2.163,2.2238,0
2022-08-26,2.392,2.405,2.344,2.3414,0
2022-08-29,2.3414,2.397,2.3414,2.3666,0
2022-08-30,2.3666,2.486,2.339,2.3666,0
2022-08-31,2.379,2.415,2.295,2.3358,0
2022-09-01,2.343,2.392,2.27,2.3358,0
2022-09-02,2.3774,2.504,2.3774,2.4735,0
2022-09-05,2.4735,2.4735,2.4735,2.4735,0
2022-09-06,2.499,2.616,2.359,2.3818,0
2022-09-07,2.374,2.415,2.201,2.2036,0
2022-09-08,2.244,2.27,2.221,2.234,0
2022-09-09,2.568,2.588,2.529,2.5347,0
2022-09-12,2.5347,2.575,2.524,2.5346,0
2022-09-13,2.56,2.608,2.466,2.4835,0
2022-09-14,2.4835,2.532,2.417,2.4681,0
2022-09-15,2.4681,2.506,2.318,2.3611,0
2022-09-16,2.5302,2.797,2.5302,2.6315,0
2022-09-19,2.6315,2.703,2.557,2.5855,0
2022-09-20,2.5855,2.636,2.494,2.5242,0
2022-09-21,2.5242,2.572,2.496,2.5139,0
2022-09-22,2.5139,2.582,2.448,2.4679,0
2022-09-23,2.6371,2.759,2.621,2.6264,0
2022-09-26,2.6264,2.687,2.6264,2.6262,0
2022-09-27,2.723,2.73,2.623,2.6464,0
2022-09-28,2.6464,2.705,2.511,2.5342,0
2022-09-29,2.565,2.593,2.506,2.5086,0
2022-09-30,2.6218,2.779,2.6218,2.7231,0
2022-10-03,2.7231,2.799,2.7231,2.7382,0
2022-10-04,2.7382,2.878,2.7382,2.7838,0
2022-10-05,2.819,2.827,2.761,2.7632,0
2022-10-06,2.799,2.883,2.786,2.8139,0
2022-10-07,2.8918,3.011,2.8918,2.8918,0
2022-10-10,2.9724,2.9724,2.9724,2.9724,0
2022-10-11,3.008,3.013,2.949,2.962,0
2022-10-12,2.977,3.0,2.934,2.9464,0
2022-10-13,2.977,2.984,2.921,2.936,0
2022-10-14,3.298,3.344,3.214,3.1764,0
2022-10-17,3.1764,3.37,3.1764,3.2118,0
2022-10-18,3.229,3.242,3.133,3.1351,0
2022-10-19,3.181,3.214,3.15,3.1351,0
2022-10-20,3.1855,3.219,3.137,3.1855,0
2022-10-21,3.535,3.54,3.467,3.4108,0
2022-10-24,3.502,3.525,3.456,3.4767,0
2022-10-25,3.517,3.578,3.42,3.4767,0
2022-10-26,3.448,3.474,3.369,3.3997,0
