date,open,high,low,close,volume
2022-05-02,2.126,2.126,2.126,2.126,0
2022-05-03,2.126,2.126,2.126,2.126,0
2022-05-04,2.126,2.126,2.126,2.126,0
2022-05-05,2.126,2.189,2.112,2.127,0
2022-05-06,2.126,2.151,2.124,2.151,0
2022-05-09,2.151,2.161,2.108,2.111,0
2022-05-10,2.111,2.122,2.089,2.107,0
2022-05-11,2.106,2.114,2.096,2.112,0
2022-05-12,2.128,2.128,2.092,2.099,0
2022-05-13,2.098,2.111,2.073,2.075,0
2022-05-16,2.08,2.139,2.058,2.06,0
2022-05-17,2.06,2.095,2.026,2.034,0
2022-05-18,2.033,2.046,1.997,1.997,0
2022-05-19,1.996,2.039,1.988,2.029,0
2022-05-20,2.038,2.038,2.019,2.023,0
2022-05-23,2.08,2.08,1.992,2.009,0
2022-05-24,2.009,2.027,1.99,2.008,0
2022-05-25,2.008,2.023,2.0,2.0,0
2022-05-26,2.0,2.036,1.952,1.952,0
2022-05-27,1.952,1.967,1.933,1.941,0
2022-05-30,1.941,2.002,1.934,1.951,0
2022-05-31,1.951,1.98,1.943,1.98,0
2022-06-01,1.98,1.999,1.96,1.97,0
2022-06-02,1.985,1.987,1.96,1.962,0
2022-06-03,1.962,1.962,1.962,1.962,0
2022-06-06,1.962,2.017,1.962,2.007,0
2022-06-07,2.007,2.043,2.0,2.013,0
2022-06-08,2.013,2.018,1.983,2.001,0
2022-06-09,2.001,2.016,1.962,1.985,0
2022-06-10,1.985,1.997,1.981,1.989,0
2022-06-13,1.989,2.041,1.984,1.994,0
2022-06-14,1.994,2.021,1.994,2.004,0
2022-06-15,2.004,2.041,1.983,2.013,0
2022-06-16,2.0,2.02,1.986,1.998,0
2022-06-17,1.998,2.011,1.98,1.97,0
2022-06-20,1.97,1.98,1.947,1.978,0
2022-06-21,1.978,1.993,1.97,1.973,0
2022-06-23,1.96,1.99,1.928,1.933,0
2022-06-24,1.933,1.97,1.921,1.94,0
2022-06-27,1.94,1.985,1.94,1.97,0
2022-06-28,1.97,2.003,1.96,1.983,0
2022-06-29,2.002,2.002,1.933,1.955,0
2022-06-30,1.955,2.005,1.903,1.904,0
2022-07-01,1.904,1.94,1.882,1.892,0
2022-07-04,1.955,1.955,1.895,1.935,0
2022-07-05,1.935,1.973,1.935,1.942,0
2022-07-06,1.942,1.963,1.925,1.903,0
2022-07-07,1.903,1.935,1.895,1.92,0
2022-07-08,1.92,1.94,1.883,1.892,0
2022-07-11,1.92,1.92,1.861,1.875,0
2022-07-12,1.9,1.9,1.866,1.871,0
2022-07-13,1.89,1.896,1.861,1.854,0
2022-07-14,1.868,1.868,1.813,1.838,0
2022-07-15,1.838,1.86,1.807,1.78,0
2022-07-18,1.82,1.82,1.72,1.747,0
2022-07-19,1.747,1.78,1.723,1.737,0
2022-07-20,1.743,1.757,1.723,1.733,0
2022-07-21,1.737,1.74,1.71,1.73,0
2022-07-22,1.73,1.755,1.727,1.73,0
2022-07-25,1.78,1.78,1.723,1.73,0
2022-07-26,1.73,1.75,1.695,1.695,0
2022-07-27,1.695,1.715,1.68,1.703,0
2022-07-28,1.703,1.72,1.698,1.7,0
2022-07-29,1.7,1.7,1.673,1.675,0
2022-08-01,1.67,1.67,1.62,1.637,0
2022-08-02,1.637,1.662,1.572,1.572,0
2022-08-03,1.583,1.583,1.515,1.543,0
2022-08-04,1.55,1.57,1.523,1.528,0
2022-08-05,1.528,1.555,1.528,1.735,0
2022-08-08,1.989,1.989,1.745,1.787,0
2022-08-09,1.798,1.815,1.778,1.825,0
2022-08-10,1.867,1.868,1.81,1.833,0
2022-08-11,1.833,1.85,1.833,1.848,0
2022-08-12,1.88,1.88,1.826,1.826,0
2022-08-15,1.86,1.86,1.685,1.692,0
2022-08-16,1.692,1.692,1.656,1.683,0
2022-08-17,1.683,1.707,1.679,1.683,0
2022-08-18,1.683,1.71,1.67,1.673,0
2022-08-19,1.673,1.708,1.673,1.687,0
2022-08-22,1.73,1.73,1.678,1.715,0
2022-08-23,1.715,1.759,1.715,1.704,0
2022-08-24,1.706,1.73,1.697,1.72,0
2022-08-25,1.735,1.753,1.713,1.753,0
2022-08-26,1.763,1.78,1.763,1.768,0
2022-08-29,1.768,1.848,1.733,1.733,0
2022-08-30,1.733,1.741,1.684,1.72,0
2022-08-31,1.72,1.73,1.69,1.699,0
2022-09-01,1.699,1.735,1.683,1.697,0
2022-09-02,1.707,1.707,1.667,1.667,0
2022-09-05,1.72,1.72,1.646,1.662,0
2022-09-06,1.662,1.683,1.632,1.673,0
2022-09-07,1.683,1.692,1.672,1.688,0
2022-09-08,1.71,1.712,1.708,1.708,0
2022-09-09,1.737,1.737,1.71,1.717,0
2022-09-12,1.717,1.717,1.717,1.717,0
2022-09-13,1.717,1.74,1.706,1.735,0
2022-09-14,1.75,1.75,1.737,1.767,0
2022-09-15,1.767,1.795,1.767,1.785,0
2022-09-16,1.785,1.82,1.785,1.81,0
2022-09-19,1.855,1.855,1.829,1.829,0
