债券代码,债券简称,发行起始日,发行终止日,计划发行总量,实际发行总量,发行价格,单位面值,缴款日,增发次数,交易市场,发行方式,发行对象,公告日期,债券名称
2605447,26江西债19,2026-04-24,2026-04-24,0.5,0.5,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年江西省政府棚户区改造专项债券(三期)-2026年江西省政府专项债券(十二期)
2605448,26江西债20,2026-04-24,2026-04-24,0.6814,0.6814,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年江西省高质量发展补短板专项债券(九期)-2026年江西省政府专项债券(十三期)
2605449,26江西债21,2026-04-24,2026-04-24,12.3685,12.3685,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年江西省高质量发展补短板专项债券(十期)-2026年江西省政府专项债券(十四期)
2605450,26江西债22,2026-04-24,2026-04-24,26.3831,26.3831,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年江西省高质量发展补短板专项债券(十一期)-2026年江西省政府专项债券(十五期)
2605446,26江西债18,2026-04-24,2026-04-24,41.7829,41.7829,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年江西省地方政府再融资专项债券(四期)
2605467,26四川债28,2026-04-24,2026-04-24,18.3252,18.3252,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年四川省政府再融资一般债券(三期)
2605468,26四川债29,2026-04-24,2026-04-24,119.6084,119.6084,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,,2026-04-17,2026年四川省政府再融资专项债券(七期)
199617,江苏2617,2026-04-23,2026-04-23,123.42,123.42,100.0,100,2026-04-24,0,深交所,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资一般债券(三期)
199617,26江苏债17,2026-04-23,2026-04-23,123.42,123.42,100.0,100,2026-04-24,0,银行间债券市场,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资一般债券(三期)
236652,26江苏17,2026-04-23,2026-04-23,123.42,123.42,100.0,100,2026-04-24,0,上交所,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资一般债券(三期)
199620,江苏2620,2026-04-23,2026-04-23,220.41,220.41,100.0,100,2026-04-24,0,深交所,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资专项债券(七期)
199620,26江苏债20,2026-04-23,2026-04-23,220.41,220.41,100.0,100,2026-04-24,0,银行间债券市场,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资专项债券(七期)
236655,26江苏20,2026-04-23,2026-04-23,220.41,220.41,100.0,100,2026-04-24,0,上交所,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资专项债券(七期)
199619,江苏2619,2026-04-23,2026-04-23,95.36,95.36,100.0,100,2026-04-24,0,深交所,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资专项债券(六期)
199619,26江苏债19,2026-04-23,2026-04-23,95.36,95.36,100.0,100,2026-04-24,0,银行间债券市场,荷兰式招标发行,,2026-04-16,2026年江苏省地方政府再融资专项债券(六期)
