date,value
2002-01-04,99.9731
2002-01-07,100.0149
2002-01-08,99.8273
2002-01-09,100.0203
2002-01-10,99.9317
2002-01-11,100.2721
2002-01-14,100.254
2002-01-15,100.2208
2002-01-16,100.3139
2002-01-17,100.2619
2002-01-18,100.1562
2002-01-21,100.4297
2002-01-22,100.3827
2002-01-23,100.4736
2002-01-24,100.5076
2002-01-25,100.4743
2002-01-28,100.8503
2002-01-29,100.7888
2002-01-30,100.6376
2002-01-31,100.7593
2002-02-01,100.6838
2002-02-04,100.9527
2002-02-05,100.9271
2002-02-06,100.9512
2002-02-07,100.9816
2002-02-08,100.9708
2002-02-09,101.0015
2002-02-10,101.1863
2002-02-11,101.1366
2002-02-19,101.0289
2002-02-20,101.3553
2002-02-21,101.4721
2002-02-22,101.1449
2002-02-25,101.2267
2002-02-26,101.1913
2002-02-27,101.2809
2002-02-28,101.4085
2002-03-01,101.4069
2002-03-04,101.4947
2002-03-05,101.5735
2002-03-06,101.5617
2002-03-07,101.6522
2002-03-08,101.5802
2002-03-11,101.7223
2002-03-12,101.9166
2002-03-13,101.9394
2002-03-14,101.9361
2002-03-15,101.9958
2002-03-18,102.0447
2002-03-19,102.1047
2002-03-20,101.9051
2002-03-21,102.3164
2002-03-22,102.4027
2002-03-25,102.243
2002-03-26,102.4258
2002-03-27,102.3885
2002-03-28,102.299
2002-03-29,102.4271
2002-04-01,102.5405
2002-04-02,102.5563
2002-04-03,102.7651
2002-04-04,102.8147
2002-04-05,102.746
2002-04-08,103.1649
2002-04-09,102.9503
2002-04-10,103.1576
2002-04-11,103.203
2002-04-12,103.275
2002-04-15,103.2252
2002-04-16,103.2925
2002-04-17,103.4443
2002-04-18,103.5809
2002-04-19,103.6714
2002-04-22,103.5878
2002-04-23,103.4247
2002-04-24,103.6948
2002-04-25,103.6427
2002-04-26,103.6577
2002-04-27,103.5622
2002-04-28,103.6132
2002-04-29,103.7569
2002-04-30,103.629
2002-05-08,103.8402
2002-05-09,103.7306
2002-05-10,103.5684
2002-05-13,103.8133
2002-05-14,103.8152
2002-05-15,103.8593
2002-05-16,103.8614
2002-05-17,103.7704
2002-05-20,104.0601
2002-05-21,103.9872
2002-05-22,104.1188
2002-05-23,104.1492
2002-05-24,104.1903
2002-05-27,104.3688
2002-05-28,104.4243
2002-05-29,104.5015
2002-05-30,104.6474
2002-05-31,104.6787
