债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
25国开20,100.04,1.865,-0.25,1.8572,
26附息国债05,99.88,1.763,0.06,1.7575,
25农发10,98.6,1.835,0.5,1.8334,
25超长特别国债06,97.71,2.257,-0.9,2.2636,
24附息国债18,101.93,1.495,-1.3,1.5025,
26附息国债02,102.67,2.256,-0.05,2.2582,
25农发23,100.21,1.515,-0.63,1.5098,
24特别国债01,105.62,2.2975,-0.05,2.2937,
23附息国债23,115.33,2.249,-0.1,2.2619,
26国开05,100.6,1.853,1.2,1.8405,
24国开15,103.57,1.79,-1.1,1.791,
26附息国债03,100.23,1.489,-0.25,1.4934,
25超长特别国债02,92.55,2.23,1.0,2.2344,
25附息国债25,100.23,1.623,-0.2,1.6177,
25广东债43,100.34,1.91,,1.91,
25附息国债21,95.41,2.44,-2.25,2.4554,
25附息国债16,100.48,1.7745,-0.05,1.7761,
24山东债33,103.07,1.54,-8.1,1.54,
26工商银行CD047,98.55,1.4725,-0.75,1.4725,
24国开05,106.11,1.775,0.5,1.7724,
25附息国债04,98.98,1.735,0.75,1.7298,
23国开08,102.09,1.5,0.25,1.5016,
26恒生银行CD004,99.6,1.315,-13.49,1.315,
26海南发展MTN001,100.0,1.77,,1.77,
25附息国债18,101.08,1.6,0.32,1.5911,
23进出15,102.2,1.5133,-2.42,1.5133,
21国开20,117.98,2.12,-0.35,2.1155,
16白云专项债,15.09,3.065,,3.065,
25国开08,99.76,1.6,-0.5,1.6,
26农发01,100.08,1.3829,0.29,1.3811,
25国开15,98.37,1.845,0.99,1.8387,
25建行二级资本债01BC,100.81,1.9704,-0.1,1.9717,
24特别国债06,98.21,2.276,-0.9,2.2894,
25农发30,99.59,1.868,-0.12,1.8532,
24湖北95,100.59,1.5807,0.32,1.5807,
26进出01,100.03,1.39,0.72,1.3995,
25农发20,99.48,1.8425,1.0,1.846,
25抚州投资MTN004,100.95,2.09,-8.01,2.09,
24农发清发17,101.74,1.67,-1.0,1.67,
26附息国债07,100.22,1.626,0.1,1.627,
24农发15,100.97,1.58,-0.5,1.5815,
24农发03,100.65,1.385,1.0,1.3802,
24附息国债06,103.82,1.47,-1.0,1.4689,
19附息国债10,128.39,2.28,1.0,2.2837,
25进出55,99.82,1.64,0.5,1.6361,
25超长特别国债05,91.68,2.292,1.2,2.2872,
24进出05,102.14,1.55,1.0,1.55,
24农行二级资本债02B,102.41,2.2737,0.25,2.2737,
23农行二级资本债03B,109.82,2.6195,-0.03,2.6195,
23工行二级资本债01B,109.61,2.6342,-1.67,2.6342,
25光大银行债01,100.7,1.57,1.0,1.57,
26紫金矿业MTN002(并购),100.0,1.69,,1.69,
24国开清发02,100.58,1.395,-1.0,1.3977,
22交行二级资本债02A,102.24,2.6517,0.06,2.6517,
22交行二级资本债02A,102.24,2.6517,0.06,2.6517,
24工行TLAC非资本绿债01(BC),100.3,1.6433,-0.25,1.6433,
25农行二级资本债02B(BC),99.25,2.1815,-0.68,2.187,
24建行债02BC,100.8,1.54,-0.33,1.54,
26鞍山钢铁MTN002,100.0,,,,
24附息国债04,105.04,1.662,-1.05,1.6673,
25国开10,99.71,1.835,-0.1,1.8346,
25附息国债22,99.99,1.781,0.32,1.7791,
26仲利租赁MTN001,100.0,2.2999,,2.2999,
26浦发银行CD088,98.54,1.4775,0.45,1.4775,
24国开08,100.9,1.5625,-0.25,1.5609,
25农发15,99.88,1.62,1.0,1.62,
25国开18,100.68,1.6325,0.25,1.6249,
25新开元PPN003,102.5,2.6,1.0,2.6,
24国开10,104.18,1.788,-0.7,1.7837,
25中信银行CD359,99.22,1.3392,-3.06,1.3392,
24国开03,102.11,1.535,0.56,1.5343,
26临海工投PPN001,99.83,1.9464,0.6,1.9427,
25超长特别国债03,91.92,2.38,-2.0,2.3847,
26附息国债04,99.96,1.3325,0.75,1.3198,
25附息国债02,92.09,2.2975,1.0,2.2924,
26附息国债08,99.98,1.505,0.41,1.5042,
24附息国债01,102.97,1.26,-1.0,1.268,
21国开15,107.42,1.67,0.32,1.67,
25国开05,97.98,1.8225,1.25,1.8173,
22国开20,106.36,1.7275,0.25,1.7236,
22国开05,107.08,1.695,1.0,1.6928,
26国开03,100.21,1.645,0.25,1.6385,
24进出22,100.02,1.38,-0.5,1.3751,
25附息国债17,100.23,1.2725,-0.23,1.2716,
24农发清发32,100.13,1.385,-1.5,1.385,
22国开15,107.32,1.7125,0.25,1.7083,
24进出12,100.09,1.3574,1.0,1.3574,
25国开03,98.86,1.5875,-0.25,1.5883,
26曹妃国控MTN003B,100.0,2.4499,,2.4499,
23国开10,107.18,1.735,0.37,1.737,
25国开02,100.11,1.4175,-0.25,1.4198,
24湖南38,101.65,2.33,0.02,2.33,
25国开11,100.06,1.365,0.25,1.3656,
26内蒙古债04,100.76,1.9346,-1.54,1.9348,
26云南债10,100.16,2.4625,-1.13,2.4706,
26贴现国债23,99.93,0.9415,,1.0858,
25平安租赁MTN004,100.96,1.5903,,1.5903,
25晋江城投SCP003A,100.03,1.5624,-1.98,1.5624,
25象屿MTN003,101.02,,,,
24特别国债05,101.99,2.1975,-0.05,2.1983,
