报价机构,债券简称,买入净价,卖出净价,买入收益率,卖出收益率
邮储银行,19农发08,100.51,100.53,1.335,1.2369
邮储银行,24农发清发22,100.1,100.13,1.381,1.2911
兴业银行,19农发08,100.52,100.52,1.3201,1.2894
兴业银行,24农发清发32,100.15,100.16,1.3525,1.3189
兴业银行,24农发清发22,100.11,100.12,1.3286,1.2974
天风证券,19农发08,100.52,100.52,1.3175,1.2894
天风证券,24农发清发22,100.12,100.13,1.3266,1.2905
天风证券,20农发清发02,101.54,101.57,1.379,1.3498
瑞穗银行,24农发清发32,100.13,100.18,1.38,1.29
瑞穗银行,20农发清发02,101.49,101.6,1.42,1.32
青岛农商行,24农发清发32,100.14,100.17,1.3585,1.3065
农业银行,19农发08,100.52,100.53,1.3116,1.2646
农业银行,24农发清发32,100.14,100.17,1.3553,1.3083
农业银行,24农发清发22,100.11,100.13,1.3329,1.2911
农业银行,20农发清发02,101.53,101.57,1.3865,1.3495
