债券代码,债券简称,发行起始日,发行终止日,计划发行总量,实际发行总量,发行价格,单位面值,缴款日,增发次数,交易市场,发行方式,发行对象,公告日期,债券名称
260009,26附息国债09,2026-04-24,2026-04-24,1700.0,1700.0,100.0,100,2026-04-27,0,银行间债券市场,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-17,2026年记账式附息(九期)国债
2600001,26超长特别国债01,2026-04-24,2026-04-24,340.0,340.0,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-17,2026年超长期特别国债(一期)
2600002,26超长特别国债02,2026-04-24,2026-04-24,850.0,850.0,100.0,100,2026-04-27,0,银行间债券市场,荷兰式招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-17,2026年超长期特别国债(二期)
019831,26国债05,2026-04-22,2026-04-22,901.1,900.0,100.85,100,2026-04-23,3,上交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式附息(五期)国债
102330,国债2605,2026-04-22,2026-04-22,901.1,900.0,100.85,100,2026-04-23,3,深交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式附息(五期)国债
260005,26附息国债05,2026-04-22,2026-04-22,901.1,900.0,100.85,100,2026-04-23,3,银行间债券市场,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式附息(五期)国债
802605,26国债05,2026-04-22,2026-04-22,901.1,900.0,100.85,100,2026-04-23,3,北交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式附息(五期)国债
020806,26贴债25,2026-04-22,2026-04-22,300.0,300.0,99.495,100,2026-04-23,0,上交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式贴现(二十五期)国债
110213,贴债2625,2026-04-22,2026-04-22,300.0,300.0,99.495,100,2026-04-23,0,深交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式贴现(二十五期)国债
269925,26贴现国债25,2026-04-22,2026-04-22,300.0,300.0,99.495,100,2026-04-23,0,银行间债券市场,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式贴现(二十五期)国债
812625,26贴债25,2026-04-22,2026-04-22,300.0,300.0,99.495,100,2026-04-23,0,北交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-15,2026年记账式贴现(二十五期)国债
020807,26贴债26,2026-04-22,2026-04-22,300.7,300.0,99.761,100,2026-04-23,0,上交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-21,2026年记账式贴现(二十六期)国债
110214,贴债2626,2026-04-22,2026-04-22,300.7,300.0,99.761,100,2026-04-23,0,深交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-21,2026年记账式贴现(二十六期)国债
269926,26贴现国债26,2026-04-22,2026-04-22,300.7,300.0,99.761,100,2026-04-23,0,银行间债券市场,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-21,2026年记账式贴现(二十六期)国债
812626,26贴债26,2026-04-22,2026-04-22,300.7,300.0,99.761,100,2026-04-23,0,北交所,多种价格（混合式）招标发行,在国债登记公司开立债券账户及在证券登记公司开立股票和基金账户的各类投资者,2026-04-21,2026年记账式贴现(二十六期)国债
