date,value
2007-01-04,100.0164
2007-01-05,100.0671
2007-01-08,100.0786
2007-01-09,100.0966
2007-01-10,100.1142
2007-01-11,100.1442
2007-01-12,100.1425
2007-01-15,100.1671
2007-01-16,100.2228
2007-01-17,100.1975
2007-01-18,100.1983
2007-01-19,100.2329
2007-01-22,100.2914
2007-01-23,100.2704
2007-01-24,100.2904
2007-01-25,100.2802
2007-01-26,100.2626
2007-01-29,100.2963
2007-01-30,100.2981
2007-01-31,100.3049
2007-02-01,100.2769
2007-02-02,100.2644
2007-02-05,100.2612
2007-02-06,100.2395
2007-02-07,100.2621
2007-02-08,100.2453
2007-02-09,100.2633
2007-02-12,100.2825
2007-02-13,100.2956
2007-02-14,100.3204
2007-02-15,100.3402
2007-02-16,100.3563
2007-02-17,100.3744
2007-02-25,100.4248
2007-02-26,100.4144
2007-02-27,100.3924
2007-02-28,100.3834
2007-03-01,100.3811
2007-03-02,100.4092
2007-03-05,100.4271
2007-03-06,100.4239
2007-03-07,100.427
2007-03-08,100.4376
2007-03-09,100.4452
2007-03-12,100.467
2007-03-13,100.4598
2007-03-14,100.4612
2007-03-15,100.47
2007-03-16,100.4636
2007-03-19,100.469
2007-03-20,100.4633
2007-03-21,100.4714
2007-03-22,100.4741
2007-03-23,100.469
2007-03-26,100.4842
2007-03-27,100.494
2007-03-28,100.5026
2007-03-29,100.5016
2007-03-30,100.537
2007-04-02,100.5262
2007-04-03,100.5351
2007-04-04,100.5309
2007-04-05,100.5309
2007-04-06,100.5321
2007-04-09,100.5416
2007-04-10,100.551
2007-04-11,100.5633
2007-04-12,100.5706
2007-04-13,100.5859
2007-04-16,100.5994
2007-04-17,100.6073
2007-04-18,100.6077
2007-04-19,100.5997
2007-04-20,100.5906
2007-04-23,100.6242
2007-04-24,100.6474
2007-04-25,100.6503
2007-04-26,100.6579
2007-04-27,100.6707
2007-04-28,100.6782
2007-04-29,100.6946
2007-04-30,100.7182
2007-05-08,100.7661
2007-05-09,100.7761
2007-05-10,100.7988
2007-05-11,100.7909
2007-05-14,100.8145
2007-05-15,100.8095
2007-05-16,100.8179
2007-05-17,100.8134
2007-05-18,100.8147
2007-05-21,100.821
2007-05-22,100.8232
2007-05-23,100.8339
2007-05-24,100.834
2007-05-25,100.8127
2007-05-28,100.8989
2007-05-29,100.9328
2007-05-30,100.8767
2007-05-31,100.8566
