债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
123269,金杨转债,2026-04-20,371210,100,301210,金杨精密,35.25,39.8,88.5678,100.0,12.91,2026-04-17,8.5504,9.8,2026-04-22,0.0012476584,,AA-
123268,本川转债,2026-04-17,370964,100,300964,本川智能,68.08,75.88,89.7206,100.0,11.46,2026-04-16,6.1445,4.69,2026-04-21,0.0008384085,,AA-
113702,斯达转债,2026-04-16,754290,100,603290,斯达半导,108.7,105.3,103.2289,100.0,-3.13,2026-04-15,6.263,15.0,2026-04-20,0.0034223,,AA+sti
123267,珂玛转债,2026-04-16,371611,100,301611,珂玛科技,111.58,97.57,114.3589,100.0,-12.56,2026-04-15,1.7201,7.5,2026-04-20,0.0013990176,,AA
118067,上26转债,2026-03-18,718533,100,688533,上声电子,26.31,32.6,80.7055,143.666,78.01,2026-03-17,1.968,3.2485,2026-03-20,0.00123353,2026-04-14,A+
123266,博士转债,2026-03-18,370622,100,300622,博士眼镜,24.34,30.43,79.9869,144.315,80.42,2026-03-17,1.6457,3.75,2026-03-20,0.0008887514,2026-04-07,AA
127113,长高转债,2026-03-09,072452,100,002452,长高电新,11.02,11.01,100.0908,158.39,58.25,2026-03-06,1.2228,7.586007,2026-03-11,0.0020676435,2026-03-30,AA-
113701,祥和转债,2026-03-03,754500,100,603500,祥和实业,10.58,13.59,77.8514,142.622,83.2,2026-03-02,1.201,4.0,2026-03-05,0.00042899,2026-03-26,A+
118066,统联转债,2026-03-02,718210,100,688210,统联精密,45.23,56.2,80.4804,146.156,81.6,2026-02-27,3.612,5.76,2026-03-04,0.00234065,2026-03-20,AA-
113700,海天转债,2026-02-05,754759,100,603759,海天股份,9.26,12.52,73.9617,138.583,87.37,2026-02-04,1.734,8.01,2026-02-09,0.00093323,2026-03-12,AA
110100,龙建转债,2026-01-22,733853,100,600853,龙建股份,3.96,4.63,85.5292,137.877,61.2,2026-01-21,0.986,10.0,2026-01-26,0.00196948,2026-02-12,AA
118065,艾为转债,2026-01-22,718798,100,688798,艾为电子,71.3,79.83,89.3148,151.053,69.12,2026-01-21,8.155,19.0132,2026-01-26,0.00498221,2026-02-26,AA+sti
127112,尚太转债,2026-01-16,071301,100,001301,尚太科技,77.24,84.71,91.1817,153.961,68.85,2026-01-15,6.677,17.34,2026-01-20,0.0051678926,2026-02-05,AA+
