symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
bj810011,优机定转,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0,0,810011,13:31:31
bj810013,万通定转,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0,0,810013,13:31:31
bj810014,莱特定转,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0,0,810014,13:31:31
sh110072,广汇转债,44.267,0.000,0.000,0.000,0.000,44.267,0.000,0.000,0.000,0,0,110072,09:00:00
sh110073,国投转债,107.043,-0.124,-0.116,107.043,107.046,107.167,107.167,107.220,107.025,1350530,144610396,110073,13:31:33
sh110074,精达转债,466.473,2.239,0.482,466.473,466.600,464.234,461.000,473.694,458.127,615820,287589693,110074,13:31:32
sh110075,南航转债,119.915,1.611,1.362,119.915,119.917,118.304,118.350,120.302,118.119,1167590,139562201,110075,13:31:35
sh110076,华海转债,128.452,-0.156,-0.121,128.380,128.449,128.608,129.500,129.765,127.400,808110,103517140,110076,13:31:32
sh110077,洪城转债,215.641,-1.723,-0.793,215.548,215.685,217.364,217.000,218.663,215.479,117640,25553320,110077,13:31:35
sh110081,闻泰转债,99.425,-0.534,-0.534,99.421,99.425,99.959,99.610,101.459,98.310,8581810,853721904,110081,13:31:33
sh110084,贵燃转债,129.090,0.539,0.419,129.069,129.090,128.551,128.551,129.502,128.412,318380,41108144,110084,13:31:34
sh110085,通22转债,125.947,1.576,1.267,125.951,125.980,124.371,124.900,126.126,124.590,698330,87629754,110085,13:31:34
sh110086,精工转债,128.659,-1.067,-0.823,128.661,128.693,129.726,129.726,130.102,128.463,410800,53079434,110086,13:31:32
sh110087,天业转债,135.696,-0.244,-0.179,135.696,135.718,135.940,135.728,136.589,135.576,724320,98554823,110087,13:31:32
sh110090,爱迪转债,139.734,-0.558,-0.398,139.732,139.776,140.292,140.750,140.941,139.400,222740,31210043,110090,13:31:34
sh110092,三房转债,102.900,0.816,0.799,102.884,102.911,102.084,102.188,103.639,102.000,816330,84076502,110092,13:31:33
sh110093,神马转债,136.273,-0.509,-0.372,136.264,136.274,136.782,136.600,137.938,136.108,468430,64131781,110093,13:31:34
sh110095,双良转债,145.703,2.029,1.412,145.693,145.734,143.674,144.500,146.500,143.350,946080,137276823,110095,13:31:34
sh110097,天润转债,148.621,-0.974,-0.651,148.620,148.663,149.595,149.801,150.355,148.554,182590,27274682,110097,13:31:29
sh110098,南药转债,142.804,-1.127,-0.783,142.802,142.830,143.931,143.501,143.988,142.100,523240,74834551,110098,13:31:32
sh110099,福能转债,148.523,0.037,0.025,148.501,148.534,148.486,148.504,150.618,148.457,405270,60607159,110099,13:31:34
sh110100,龙建转债,138.605,0.452,0.327,138.602,138.626,138.153,138.075,139.110,137.600,82250,11388394,110100,13:31:28
sh110805,中闽定01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,110805,09:00:00
sh110807,动力定01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,110807,09:00:00
sh110809,天业定01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,110809,09:00:00
sh110811,神马定01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,110811,09:00:00
sh110815,九丰定01,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0,0,110815,09:00:00
