排名,艺人,商业价值,专业热度,关注热度,预测热度,美誉度,统计日期
1,杨幂,85.33,88.36,73.16,52.85,63.0,2026-04-20
2,黄景瑜,83.52,83.08,71.48,93.5,63.33,2026-04-20
3,何炅,83.31,90.07,65.7,46.06,78.67,2026-04-20
4,肖战,82.99,78.67,82.96,55.95,65.0,2026-04-20
5,檀健次,82.97,81.31,79.4,48.87,72.33,2026-04-20
6,黄晓明,82.94,87.03,68.3,57.3,65.33,2026-04-20
7,白鹿,82.27,77.55,79.0,83.43,67.67,2026-04-20
8,杨紫,82.22,79.61,75.18,84.57,77.0,2026-04-20
9,丁禹兮,81.41,78.95,76.51,67.69,71.0,2026-04-20
10,张凌赫,79.86,72.54,82.86,70.79,68.0,2026-04-20
11,王鹤棣,79.71,76.57,74.06,81.1,58.33,2026-04-20
12,王源,79.62,78.55,73.1,62.33,67.0,2026-04-20
13,侯明昊,79.19,76.45,73.77,74.6,66.0,2026-04-20
14,李现,79.01,80.37,69.03,57.18,74.33,2026-04-20
15,张若昀,78.98,80.01,67.35,72.69,70.0,2026-04-20
16,沈腾,78.82,81.14,63.75,81.46,86.0,2026-04-20
17,刘昊然,78.73,81.42,64.98,67.77,73.33,2026-04-20
18,邓超,78.19,78.04,71.53,52.09,64.33,2026-04-20
19,魏大勋,78.18,75.56,72.24,76.65,72.0,2026-04-20
20,范丞丞,78.18,76.07,71.07,78.74,68.33,2026-04-20
21,金晨,78.09,81.15,62.39,76.91,73.67,2026-04-20
22,王安宇,78.05,73.49,74.63,82.35,63.67,2026-04-20
23,刘涛,77.74,79.93,65.54,62.87,68.0,2026-04-20
24,彭昱畅,77.55,80.57,63.84,63.49,63.67,2026-04-20
25,陈小春,77.33,82.26,64.22,36.36,46.0,2026-04-20
26,刘宇宁,77.26,71.21,81.34,47.74,71.33,2026-04-20
27,曾舜晞,77.08,71.43,76.5,75.54,62.0,2026-04-20
28,欧豪,76.99,77.91,66.18,68.25,59.0,2026-04-20
29,赵丽颖,76.91,73.2,74.53,64.82,64.67,2026-04-20
30,陈楚生,76.8,80.24,69.12,16.19,72.33,2026-04-20
31,宋茜,76.75,77.98,64.43,75.09,54.0,2026-04-20
32,郑恺,76.44,78.46,64.35,64.09,71.67,2026-04-20
33,古力娜扎,76.44,78.89,63.87,62.32,56.67,2026-04-20
34,成毅,76.37,69.79,79.93,57.61,62.67,2026-04-20
35,秦海璐,76.18,81.41,58.82,62.28,61.33,2026-04-20
36,周也,76.05,72.2,72.65,73.78,57.0,2026-04-20
37,马丽,75.99,75.52,69.11,57.31,61.67,2026-04-20
38,陈都灵,75.72,71.56,76.22,50.07,59.67,2026-04-20
39,于和伟,75.44,75.22,66.5,68.8,74.67,2026-04-20
40,辛芷蕾,75.14,79.11,61.92,48.54,70.33,2026-04-20
41,丞磊,74.77,72.93,70.67,54.37,63.33,2026-04-20
42,胡歌,74.69,74.97,65.68,63.26,75.33,2026-04-20
