市场,交易品种,最近报价,涨跌额,涨跌幅,24小时最高,24小时最低,24小时成交量,更新时间
Bitfinex(香港),LTCUSD,67.465,0.59,0.87,68.867,66.259,6893.13,2023-10-02 22:45:09
Bitflyer(日本),BTCJPY,4244238.0,191147.0,4.72,4278000.0,4042615.0,1803.99,2023-10-02 22:45:09
Bitstamp(美国),BTCUSD,28309.0,1192.0,4.4,28592.0,27044.0,2667.55,2023-10-02 22:45:09
CEX.IO(伦敦),BTCUSD,28332.4,1200.5,4.42,28548.4,27071.0,8.04,2023-10-02 22:45:09
Kraken_EUR(美国),BTCEUR,26960.1,1328.1,5.18,27187.8,25572.8,1492.3,2023-10-02 22:45:09
Kraken(美国),LTCUSD,67.41,0.5,0.75,68.76,66.25,28818.47,2023-10-02 22:45:09
OKCoin(中国),BTCUSD,28312.57,1205.51,4.45,28482.25,27063.52,1.81,2023-10-02 22:45:09
Bitfinex(香港),BCHUSD,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-16 21:02:04
Bitfinex(香港),BTCUSD,28323.0,1198.0,4.42,28611.0,27063.0,2656.08,2023-10-02 22:45:09
Kraken(美国),BTCUSD,28320.0,1217.6,4.49,28572.5,27059.6,3632.92,2023-10-02 22:45:09
