date,wci
2016-03-10,700.57
2016-03-17,674.41
2016-03-24,666.27
2016-03-31,849.08
2016-04-07,868.06
2016-04-14,839.24
2016-04-21,721.94
2016-04-28,763.5
2016-05-05,1135.57
2016-05-12,1094.67
2016-05-19,1039.32
2016-05-26,935.17
2016-06-02,1229.05
2016-06-09,1143.47
2016-06-16,1008.59
2016-06-23,924.75
2016-06-30,1203.94
2016-07-07,1394.39
2016-07-14,1316.94
2016-07-21,1210.75
2016-07-28,1182.77
2016-08-04,1374.39
2016-08-11,1250.59
2016-08-18,1189.33
2016-08-25,1090.14
2016-09-01,1352.26
2016-09-08,1391.26
2016-09-15,1439.64
2016-09-22,1410.12
2016-09-29,1368.65
2016-10-06,1235.63
2016-10-13,1247.48
2016-10-20,1329.42
2016-10-27,1319.33
2016-11-03,1497.68
2016-11-10,1478.32
2016-11-17,1437.39
2016-11-24,1365.5
2016-12-01,1392.96
2016-12-08,1408.38
2016-12-15,1388.12
2016-12-22,1507.12
2016-12-29,1501.72
2017-01-05,1769.73
2017-01-12,1743.24
2017-01-19,1799.48
2017-01-26,1768.76
2017-02-02,1738.98
2017-02-09,1717.18
2017-02-16,1572.45
2017-02-23,1492.86
2017-03-02,1496.31
2017-03-09,1476.9
2017-03-16,1390.91
2017-03-23,1350.61
2017-03-30,1365.92
2017-04-06,1523.86
2017-04-13,1457.2
2017-04-20,1449.91
2017-04-27,1426.7
2017-05-04,1612.83
2017-05-11,1557.38
2017-05-18,1500.87
2017-05-25,1500.87
2017-06-01,1466.36
2017-06-08,1471.18
2017-06-15,1464.32
2017-06-22,1390.95
2017-06-29,1380.96
2017-07-05,1549.72
2017-07-12,1517.23
2017-07-19,1421.4
2017-07-26,1406.54
2017-08-02,1591.35
2017-08-09,1567.66
2017-08-16,1562.44
2017-08-23,
2017-08-30,
2017-09-06,
2017-09-13,
2017-09-20,
2017-09-27,
2017-10-04,
2017-10-11,
2017-10-18,
2017-10-25,
2017-11-01,
2017-11-08,
2017-11-15,
2017-11-22,
2017-11-29,
2017-12-06,
2017-12-14,
2017-12-21,
2017-12-28,
2018-01-04,
2018-01-11,1407.58
2018-01-18,1440.99
2018-01-25,1465.72
,1539.16
