日期,成交量,成交均价,成交额,成交单位
2013-11-28,800,51.25,,
2013-12-02,300,55.1,,
2013-12-05,100,50.2,,
2013-12-06,100,50.0,,
2013-12-11,100,50.5,,
2013-12-17,100,51.0,,
2013-12-19,100,55.0,,
2013-12-24,1000,50.0,,
2014-01-02,50,51.5,,
2014-01-07,500,50.0,,
2014-01-08,400,50.75,,
2014-01-09,200,50.65,,
2014-01-10,100,50.8,,
2014-01-13,500,50.0,,
2014-01-14,200,53.0,,
2014-01-16,200,50.1,,
2014-01-17,200,50.1,,
2014-01-20,200,50.1,,
2014-01-21,200,50.0,,
2014-01-22,100,50.2,,
2014-01-28,100,50.5,,
2014-01-29,100,51.0,,
2014-01-30,100,50.8,,
2014-02-11,300,51.0,,
2014-02-12,400,51.0,,
2014-02-13,500,51.8,,
2014-02-14,500,51.1,,
2014-02-17,550,51.5,,
2014-02-18,700,51.4,,
2014-02-19,350,51.7,,
2014-02-20,650,51.75,,
2014-02-21,850,51.81,,
2014-02-24,500,52.14,,
2014-02-25,1000,52.04,,
2014-02-26,1000,52.41,,
2014-02-27,1300,51.78,,
2014-02-28,1200,52.82,,
2014-03-03,1150,52.56,,
2014-03-04,1400,52.63,,
2014-03-05,2300,53.07,,
2014-03-06,700,55.2,,
2014-03-07,900,55.18,,
2014-03-10,1700,54.16,,
2014-03-11,2200,54.56,,
2014-03-12,900,55.96,,
2014-03-13,1100,55.76,,
2014-03-14,500,54.0,,
2014-03-17,1000,56.17,,
2014-03-18,1000,56.48,,
2014-03-19,900,56.31,,
2014-03-20,1200,56.39,,
2014-03-21,1100,54.97,,
2014-03-25,600,56.95,,
2014-03-26,1000,56.51,,
2014-03-27,800,56.85,,
2014-03-28,1000,56.86,,
2014-03-31,1250,54.85,,
2014-04-01,1200,52.38,,
2014-04-02,700,57.0,,
2014-04-03,1400,53.39,,
2014-04-04,1000,57.18,,
2014-04-08,900,57.02,,
2014-04-09,1200,53.15,,
2014-04-10,1100,57.0,,
2014-04-11,900,57.26,,
2014-04-14,1000,57.29,,
2014-04-15,100,57.0,,
2014-04-16,900,53.51,,
2014-04-17,800,55.38,,
2014-04-18,4000,52.0,,
2014-04-21,400,53.0,,
2014-04-22,600,54.0,,
2014-04-23,600,53.5,,
2014-04-24,600,54.0,,
2014-04-25,1100,53.64,,
2014-04-28,700,53.0,,
2014-04-29,2200,53.48,,
2014-04-30,1200,53.15,,
2014-05-05,1700,53.32,,
2014-05-06,1220,52.83,,
2014-05-07,4300,52.56,,
2014-05-08,2400,53.03,,
2014-05-09,1800,53.17,,
2014-05-12,2400,53.5,,
2014-05-13,900,53.5,,
2014-05-14,900,52.6,,
2014-05-15,1900,53.5,,
2014-05-16,1400,52.79,,
2014-05-19,4345,53.34,,
2014-05-20,568,53.36,,
2014-05-21,2300,53.36,,
2014-05-22,1000,53.5,,
2014-05-23,4700,53.5,,
2014-05-26,31381,52.99,,
2014-05-27,2000,52.0,,
2014-05-28,9405,53.26,,
2014-05-29,3206,53.1,,
2014-05-30,3148,53.0,,
2014-06-03,2753,53.47,,
2014-06-04,200,53.8,,
