日期,品种,开盘价,收盘价,最高价,最低价,涨跌,涨跌幅,成交数量,成交金额
2013-12-19,GDEA,60.0,60.17,61.0,60.0,0.17,0.28,120029,7221740.0
2013-12-20,GDEA,60.17,60.0,60.0,60.0,-0.17,-0.28,100,6000.0
2014-03-11,GDEA,60.0,60.0,60.0,60.0,0.0,0.0,5242,314520.0
2014-03-14,GDEA,60.0,63.0,63.0,63.0,3.0,5.0,200,12600.0
2014-03-17,GDEA,63.0,65.0,65.0,65.0,2.0,3.17,100,6500.0
2014-03-18,GDEA,65.0,65.0,65.0,65.0,0.0,0.0,100,6500.0
2014-03-19,GDEA,65.0,66.0,66.0,66.0,1.0,1.54,10,660.0
2014-03-20,GDEA,66.0,65.0,65.0,65.0,-1.0,-1.52,6,390.0
2014-03-21,GDEA,65.0,63.0,63.0,63.0,-2.0,-3.08,48,3024.0
2014-03-24,GDEA,63.0,65.0,65.0,65.0,2.0,3.17,12,780.0
2014-03-25,GDEA,65.0,60.0,60.0,60.0,-5.0,-7.69,35,2100.0
2014-03-26,GDEA,60.0,65.0,65.0,65.0,5.0,8.33,8,520.0
2014-03-27,GDEA,65.0,60.0,60.0,60.0,-5.0,-7.69,16,960.0
2014-03-28,GDEA,60.0,61.5,61.5,61.5,1.5,2.5,75,4612.5
2014-03-31,GDEA,61.5,60.0,60.0,60.0,-1.5,-2.44,18,1080.0
2014-04-01,GDEA,60.0,62.0,62.0,62.0,2.0,3.33,10,620.0
2014-04-08,GDEA,62.0,60.8,60.8,60.8,-1.2,-1.94,8,486.4
2014-04-11,GDEA,60.8,60.0,60.0,60.0,-0.8,-1.32,6,360.0
2014-04-14,GDEA,60.0,61.8,61.8,61.8,1.8,3.0,4,247.2
2014-04-15,GDEA,61.8,63.3,63.3,63.3,1.5,2.43,5,316.5
2014-04-16,GDEA,63.3,60.0,60.0,60.0,-3.3,-5.21,6,360.0
2014-04-18,GDEA,60.0,63.8,63.8,63.8,3.8,6.33,5,319.0
2014-04-21,GDEA,63.8,62.0,62.0,62.0,-1.8,-2.82,4,248.0
2014-04-22,GDEA,62.0,65.8,65.8,65.8,3.8,6.13,5,329.0
