排名,中文名,财富（亿美元）,财富来源,年龄,居住州
1,杰夫·贝索斯,1790,亚马逊,56,华盛顿州
2,比尔·盖茨,1110,微软,64,华盛顿州
3,马克·扎克伯格,850,Facebook,36,加州
4,沃伦·巴菲特,735,伯克希尔哈撒韦,90,内布拉斯加州
5,拉里·埃里森,720,软件,76,加州
6,史蒂夫·鲍尔默,690,微软,64,华盛顿州
7,埃隆·马斯克,680,"特斯拉, SpaceX",49,加州
8,拉里·佩奇,675,谷歌,47,加州
9,谢尔盖·布林,657,谷歌,47,加州
10,艾丽斯·沃尔顿,623,沃尔玛,70,得州
11,吉姆·沃尔顿,621,沃尔玛,72,阿肯色州
12,罗伯·沃尔顿,618,沃尔玛,75,阿肯色州
13,麦肯齐·斯科特,570,亚马逊,50,华盛顿州
14,迈克尔·布隆伯格,550,彭博,78,纽约州
15,查尔斯·科赫,450,科氏工业,84,堪萨斯州
15,茱莉亚·科赫及家族,450,科氏工业,58,纽约州
17,菲尔·耐特及家族,392,耐克,82,俄勒冈州
18,迈克尔·戴尔,356,戴尔计算机,55,得州
19,谢尔登·阿德尔森,298,博彩,87,内华达州
20,杰奎琳·马尔斯,290,"糖果, 宠物食品",80,弗吉尼亚州
20,约翰·马尔斯,290,"糖果, 宠物食品",84,怀俄明州
22,莱恩·布拉瓦特尼克,250,"音乐, 化学品",63,英国
23,吉姆·西蒙斯,235,对冲基金,82,纽约州
24,史蒂芬·施瓦茨曼,191,投资,73,纽约州
25,伦纳德·劳德,174,雅诗兰黛,83,纽约州
26,皮埃尔·奥米迪亚,172,"eBay, PayPal",53,夏威夷州
26,托马斯·彼得菲,172,折扣经济,75,佛罗里达州
28,鲁珀特·默多克及家族,171,"报纸, 电视网",89,纽约州
29,雷伊·达里奥,169,对冲基金,71,康涅狄格州
30,劳伦娜·鲍威尔·乔布斯及家族,160,"苹果, 迪士尼",56,加州
31,卢卡斯·沃尔顿,154,沃尔玛,33,怀俄明州
32,唐纳德·布伦,153,房地产,88,加州
33,埃里克·施密特,151,谷歌,65,加州
34,肯·格里芬,150,对冲基金,51,伊利诺伊州
34,阿比盖尔·约翰逊,150,资金管理,58,马萨诸塞州
36,史蒂夫·科恩,145,对冲基金,64,康涅狄格州
37,小约翰·默纳德,142,家装店,80,威斯康星州
37,达斯汀·莫斯科维茨,142,Facebook,36,加州
39,卡尔·伊坎,140,投资,84,纽约州
40,唐纳德·纽豪斯,137,媒体,91,纽约州
41,大卫·泰珀,130,对冲基金,62,佛罗里达州
