基金代码,公告标题,基金名称,公告日期,报告ID
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2013-06-29,AN201306290003484248
000001,华夏基金管理有限公司关于增聘华夏成长证券投资基金基金经理的公告,华夏成长混合,2014-03-18,AN201403180005270024
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2014-06-21,AN201406210006119867
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2015-01-09,AN201501090008098479
000001,华夏基金管理有限公司关于调整华夏成长证券投资公告基金基金经理的公告,华夏成长混合,2015-11-21,AN201511210011484696
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2017-01-14,AN201701140268312342
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2017-02-25,AN201702250364410226
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2017-03-30,AN201703300451418174
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2021-02-24,AN202102241464811736
000001,华夏基金管理有限公司关于增聘华夏成长证券投资基金基金经理的公告,华夏成长混合,2021-09-18,AN202109181516930266
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2022-04-13,AN202204131558964253
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2022-10-29,AN202210291579611414
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2024-07-13,AN202407131637858301
000001,华夏基金管理有限公司关于调整华夏成长证券投资基金基金经理的公告,华夏成长混合,2024-12-28,AN202412281641460609
