序号,基金公司,成立时间,全部管理规模,全部基金数,全部经理数,更新日期
1,易方达基金管理有限公司,2001-04-17,23262.65,895,124,04-22
2,华夏基金管理有限公司,1998-04-09,19027.24,964,134,04-21
3,广发基金管理有限公司,2003-08-05,16024.82,906,103,04-21
4,南方基金管理股份有限公司,1998-03-06,14284.65,834,104,04-22
5,富国基金管理有限公司,1999-04-13,13416.59,841,111,04-20
6,天弘基金管理有限公司,2004-11-08,12053.81,529,57,04-22
7,汇添富基金管理股份有限公司,2005-02-03,11296.01,794,100,04-22
8,鹏华基金管理有限公司,1998-12-22,11053.24,767,88,04-21
9,博时基金管理有限公司,1998-07-13,10845.67,743,102,04-08
10,嘉实基金管理有限公司,1999-03-25,10221.76,636,99,03-31
11,建信基金管理有限责任公司,2005-09-19,10186.53,347,66,03-31
12,招商基金管理有限公司,2002-12-27,9704.2,664,97,04-22
13,工银瑞信基金管理有限公司,2005-06-21,9317.53,500,85,04-22
14,国泰基金管理有限公司,1998-03-05,8647.85,543,63,04-17
15,景顺长城基金管理有限公司,2003-06-12,8526.42,405,55,04-22
16,兴证全球基金管理有限公司,2003-09-30,7728.17,153,45,04-22
17,中银基金管理有限公司,2004-08-12,7654.2,320,51,04-15
18,华安基金管理有限公司,1998-06-04,7375.9,535,76,04-22
19,中欧基金管理有限公司,2006-07-19,7265.45,497,68,04-22
20,平安基金管理有限公司,2011-01-07,7145.17,519,72,04-17
21,永赢基金管理有限公司,2013-11-07,6756.7,367,50,03-31
22,银华基金管理股份有限公司,2001-05-28,6755.78,412,78,04-23
23,万家基金管理有限公司,2002-08-23,6168.56,388,48,03-31
24,华泰柏瑞基金管理有限公司,2004-11-18,6120.78,335,45,04-22
25,交银施罗德基金管理有限公司,2005-08-04,5242.6,276,43,03-31
26,兴业基金管理有限公司,2013-04-17,4906.52,217,30,04-22
27,大成基金管理有限公司,1999-04-12,4742.82,444,51,04-23
28,华宝基金管理有限公司,2003-03-07,4032.95,287,40,04-16
29,长城基金管理有限公司,2001-12-27,3764.75,259,38,03-31
30,浦银安盛基金管理有限公司,2007-08-05,3469.31,221,39,03-31
31,国寿安保基金管理有限公司,2013-10-29,3350.57,185,38,03-31
32,海富通基金管理有限公司,2003-04-18,2830.75,176,34,03-31
33,上银基金管理有限公司,2013-08-30,2548.29,126,22,03-31
