序号,基金公司,总规模,股票型,混合型,债券型,指数型,QDII,货币型
1,易方达基金管理有限公司,23088.53,438.21,2476.95,3950.03,7264.06,323.66,8435.08
2,华夏基金管理有限公司,18967.14,235.11,1247.45,2204.77,7324.85,103.91,7656.59
3,广发基金管理有限公司,15854.44,405.28,2121.23,3145.03,3181.23,167.65,6619.13
4,南方基金管理股份有限公司,14184.1,100.53,1081.22,2081.58,3509.75,141.71,7162.96
5,富国基金管理有限公司,13333.35,306.15,1578.28,3288.71,2908.77,233.24,4750.61
6,天弘基金管理有限公司,11966.73,4.49,176.37,1953.94,2009.4,105.1,7699.7
7,汇添富基金管理股份有限公司,11213.28,213.84,1731.18,2281.55,2116.32,65.62,4746.51
8,鹏华基金管理有限公司,10998.65,104.51,820.32,2738.31,1949.26,55.99,5304.59
9,博时基金管理有限公司,10769.67,60.23,601.16,2499.72,2650.03,61.13,4857.74
10,嘉实基金管理有限公司,10221.76,450.84,830.86,2254.31,2887.78,149.4,3623.47
11,建信基金管理有限责任公司,10172.17,97.06,152.42,1181.73,478.69,45.69,8164.01
12,招商基金管理有限公司,9649.85,235.97,426.72,3653.15,1556.0,5.04,3685.88
13,工银瑞信基金管理有限公司,9282.72,331.89,762.86,2454.14,1088.71,54.9,4476.63
14,国泰基金管理有限公司,8625.37,71.16,291.97,1481.14,3406.83,18.58,3162.68
15,景顺长城基金管理有限公司,8364.61,281.31,1192.77,3830.93,1056.51,13.36,1936.42
16,兴证全球基金管理有限公司,7672.05,21.57,1143.71,1565.68,202.04,,4553.86
17,中银基金管理有限公司,7649.07,35.13,218.97,2662.63,384.04,24.01,4300.86
18,华安基金管理有限公司,7329.75,44.42,791.38,1267.67,2272.56,20.86,2874.51
19,中欧基金管理有限公司,7217.17,244.05,2120.45,1715.45,213.81,1.97,2720.72
20,平安基金管理有限公司,7122.36,21.9,462.19,1431.61,710.95,6.37,4412.84
21,永赢基金管理有限公司,6682.17,3.55,1492.77,2260.7,800.31,,2118.43
22,银华基金管理股份有限公司,6668.4,54.35,608.8,1001.49,1049.56,81.23,3799.59
23,万家基金管理有限公司,6141.75,33.39,462.42,583.7,341.7,8.25,4682.53
24,华泰柏瑞基金管理有限公司,6073.98,5.88,642.48,274.4,4208.39,0.83,904.1
25,交银施罗德基金管理有限公司,5227.08,22.8,723.88,1238.38,194.48,2.54,2972.02
26,兴业基金管理有限公司,4860.88,3.29,147.83,2092.05,416.57,,2198.41
27,大成基金管理有限公司,4722.53,175.88,842.63,973.32,689.75,36.67,2001.67
28,华宝基金管理有限公司,4021.68,5.11,243.38,400.91,1400.93,115.89,1849.37
29,长城基金管理有限公司,3764.65,3.66,250.78,1094.07,101.72,20.55,2291.51
30,浦银安盛基金管理有限公司,3446.08,,90.6,1173.09,67.3,30.07,2022.93
31,国寿安保基金管理有限公司,3350.63,41.85,56.51,1591.39,94.63,,1551.9
32,海富通基金管理有限公司,2830.75,5.98,246.38,441.51,1659.51,22.38,449.29
33,上银基金管理有限公司,2546.87,1.98,30.99,1371.01,113.31,,1029.16
34,鑫元基金管理有限公司,2479.1,0.11,39.56,1096.0,140.48,,1192.09
35,中金基金管理有限公司,2366.46,24.75,11.87,486.31,113.21,,1730.33
36,农银汇理基金管理有限公司,2331.89,25.48,261.75,1009.51,109.4,,919.82
37,国投瑞银基金管理有限公司,2288.33,4.94,239.07,938.81,48.56,0.75,907.7
38,摩根基金管理(中国)有限公司,2254.13,78.53,325.23,349.86,454.05,107.7,927.03
39,上海东方证券资产管理有限公司,2046.29,22.11,851.76,563.48,116.63,15.64,431.37
40,华商基金管理有限公司,2007.37,48.1,766.67,964.82,16.69,,192.37
41,长信基金管理有限责任公司,1990.99,8.47,169.25,584.05,44.07,20.34,1163.04
42,华泰证券(上海)资产管理有限公司,1972.56,,23.89,155.11,29.27,,1762.47
43,诺安基金管理有限公司,1946.59,37.56,470.97,162.35,12.67,18.58,1244.46
44,创金合信基金管理有限公司,1700.42,94.19,98.09,702.32,236.04,8.3,560.49
45,中信保诚基金管理有限公司,1602.74,6.86,186.44,530.19,104.62,7.73,766.91
46,中加基金管理有限公司,1600.56,,37.88,1199.77,162.04,,195.4
47,泰康基金管理有限公司,1546.93,13.73,207.21,422.14,259.67,,632.31
48,国联基金管理有限公司,1534.6,5.79,93.63,901.55,187.63,,343.85
49,民生加银基金管理有限公司,1520.44,32.99,85.2,904.55,112.57,,343.15
50,融通基金管理有限公司,1468.92,42.91,153.04,326.18,149.76,18.25,778.78
51,鹏扬基金管理有限公司,1390.17,1.08,71.22,829.88,264.3,,217.4
52,兴银基金管理有限责任公司,1354.78,0.55,14.05,660.91,94.0,,585.08
53,西部利得基金管理有限公司,1296.2,24.68,150.44,705.06,63.37,,352.65
54,华富基金管理有限公司,1283.16,61.17,78.71,477.82,155.09,,508.23
55,中银国际证券股份有限公司,1194.34,5.7,11.31,1041.48,14.4,,113.3
56,安信基金管理有限责任公司,1188.03,43.37,416.63,448.76,32.86,,244.99
57,国联安基金管理有限公司,1184.87,7.74,62.67,487.75,298.69,,326.96
58,银河基金管理有限公司,1164.63,1.87,204.74,309.84,67.16,,580.46
59,申万菱信基金管理有限公司,1155.03,34.94,104.2,496.74,79.83,0.58,437.55
60,东方基金管理股份有限公司,1146.97,0.21,234.79,697.18,79.06,,133.4
61,信达澳亚基金管理有限公司,1141.64,66.55,239.76,238.72,11.76,,584.2
62,宏利基金管理有限公司,1124.18,53.42,126.96,353.3,38.38,15.96,525.13
63,光大保德信基金管理有限公司,1074.0,23.74,62.02,476.96,23.96,1.49,480.1
64,长盛基金管理有限公司,1017.63,1.88,95.93,466.07,93.79,0.29,359.67
65,财通证券资产管理有限公司,1011.89,,161.84,629.51,65.51,,149.65
66,上海国泰海通证券资产管理有限公司,999.96,16.4,105.86,286.58,141.99,,432.91
67,前海开源基金管理有限公司,980.37,76.11,431.53,181.32,66.66,,187.54
68,方正富邦基金管理有限公司,902.8,,34.62,323.84,47.31,,497.02
69,中信建投基金管理有限公司,888.39,0.57,66.18,261.42,24.74,,534.59
70,中邮创业基金管理股份有限公司,885.46,,122.93,716.92,14.62,,30.99
71,财通基金管理有限公司,869.47,17.0,134.94,568.39,3.61,,134.78
72,国金基金管理有限公司,858.99,84.36,218.71,171.19,66.17,,318.56
73,国海富兰克林基金管理有限公司,835.29,34.74,125.01,151.04,61.84,98.04,361.83
74,金鹰基金管理有限公司,834.99,48.18,101.7,329.71,32.52,,306.8
75,德邦基金管理有限公司,707.11,0.93,209.65,299.52,18.26,,178.74
76,汇丰晋信基金管理有限公司,702.3,113.15,158.11,120.48,4.29,,299.97
77,宝盈基金管理有限公司,696.64,50.45,144.72,200.01,35.54,,264.91
78,招商证券资产管理有限公司,688.69,,1.8,4.86,9.5,,672.53
79,英大基金管理有限公司,679.93,3.61,2.86,408.31,53.96,,208.93
80,华泰保兴基金管理有限公司,677.23,0.74,25.91,560.59,5.43,,84.56
81,太平基金管理有限公司,663.91,15.28,27.96,448.74,14.44,,155.46
82,睿远基金管理有限公司,540.92,,381.38,159.54,,,
83,中航基金管理有限公司,506.86,0.68,159.13,276.82,5.07,,65.17
84,新华基金管理股份有限公司,503.11,12.52,57.01,238.9,15.15,,179.53
85,东财基金管理有限公司,502.16,,17.93,310.18,171.7,,
86,惠升基金管理有限责任公司,463.31,,49.05,355.39,58.87,,
87,泰信基金管理有限公司,436.49,,62.82,69.79,4.03,,299.84
88,博道基金管理有限公司,424.97,134.11,197.17,3.33,90.36,,
89,汇安基金管理有限责任公司,415.59,0.7,92.14,314.96,7.78,,
90,东吴基金管理有限公司,414.22,13.19,134.38,96.05,1.32,,169.28
91,中泰证券(上海)资产管理有限公司,392.31,0.6,151.08,165.66,5.12,,55.8
92,泓德基金管理有限公司,384.67,7.21,240.6,120.91,3.09,,12.86
93,山证(上海)资产管理有限公司,379.93,0.08,2.02,232.52,56.21,,89.11
94,嘉合基金管理有限公司,376.84,0.53,9.27,284.52,,,82.52
95,诺德基金管理有限公司,373.38,0.11,66.79,181.23,2.26,,121.24
96,长江证券(上海)资产管理有限公司,348.02,0.48,23.27,162.93,27.87,,132.63
97,圆信永丰基金管理有限公司,346.32,18.35,58.83,147.4,4.25,,117.48
98,蜂巢基金管理有限公司,342.19,,0.78,320.54,20.87,,
99,东兴基金管理有限公司,334.53,,10.14,147.92,13.81,,162.66
100,格林基金管理有限公司,330.62,,28.82,294.39,0.9,,6.51
