date,value
2021-06-30,22598107362172.78
2021-09-30,23425615826195.83
2021-12-31,25440777742638.92
2022-03-31,24788081567655.61
2022-06-30,26320776494806.86
2022-09-30,26072490838977.9
2022-12-31,25721180778867.0
2023-03-31,26073506103370.17
2023-06-30,27200531185899.35
2023-09-30,26914681359913.87
2023-12-31,27236894245269.01
2024-03-31,28581086309264.61
2024-06-30,30436436346172.33
2024-09-30,31328452157727.38
2024-12-31,31954862669473.54
2025-03-31,31295777074225.32
2025-06-30,33559220502047.52
2025-09-30,35416600748101.8
2025-12-31,36581203648483.2
2026-04-17,36893017999999.984
