date,close,position
2017-12-04,4018.86,68.03
2017-12-08,4003.38,70.94
2017-12-15,3980.86,71.28
2017-12-22,4054.6,71.88
2017-12-29,4030.85,72.29
2018-01-05,4138.75,78.89
2018-01-12,4225.0,77.59
2018-01-19,4285.4,76.76
2018-01-26,4381.3,76.99
2018-02-02,4271.23,76.17
2018-02-09,3840.65,64.17
2018-02-14,3966.96,63.58
2018-02-23,4071.09,75.14
2018-03-02,4016.46,74.19
2018-03-09,4108.87,74.82
2018-03-16,4056.42,75.96
2018-03-23,3904.94,76.02
2018-03-30,3898.5,65.12
2018-04-04,3854.86,64.0
2018-04-13,3871.14,73.37
2018-04-20,3760.85,71.29
2018-04-27,3756.88,70.5
2018-05-04,3774.6,70.51
2018-05-11,3872.84,72.28
2018-05-18,3903.06,73.97
2018-05-25,3816.5,74.56
2018-06-01,3770.59,72.69
2018-06-08,3779.62,70.09
2018-06-15,3753.43,67.05
2018-06-22,3608.9,62.84
2018-06-29,3510.98,62.14
2018-07-06,3365.12,61.65
2018-07-13,3492.69,61.82
2018-07-20,3492.89,62.89
2018-07-27,3521.23,64.54
2018-08-03,3315.28,64.07
2018-08-10,3405.02,62.75
2018-08-17,3229.62,61.55
2018-08-24,3325.33,58.56
2018-08-31,3334.5,58.86
2018-09-07,3277.64,59.68
2018-09-14,3242.09,61.33
2018-09-21,3410.49,62.88
2018-09-28,3438.86,64.07
2018-10-12,3170.73,63.95
2018-10-19,3134.95,62.83
2018-10-26,3173.64,61.49
2018-11-02,3290.25,59.54
2018-11-09,3167.44,58.71
2018-11-16,3257.67,58.4
2018-11-23,3143.48,57.7
2018-11-30,3172.69,56.64
2018-12-07,3181.56,55.9
2018-12-14,3165.91,54.55
2018-12-21,3029.4,53.99
2018-12-28,3010.65,53.7
2019-01-04,3035.87,53.66
2019-01-11,3094.78,53.66
2019-01-18,3168.17,53.54
2019-01-25,3184.47,54.2
2019-02-01,3247.4,54.94
2019-02-15,3338.7,55.69
2019-02-22,3520.12,57.65
2019-03-01,3749.71,57.76
2019-03-08,3657.58,57.48
2019-03-15,3745.01,57.29
2019-03-22,3833.8,56.28
2019-03-29,3872.34,56.46
2019-04-04,4062.23,56.48
2019-04-12,3988.62,56.61
2019-04-19,4120.61,54.53
2019-04-26,3889.27,53.53
2019-04-30,3913.21,52.86
2019-05-10,3730.45,51.46
2019-05-17,3648.76,52.47
2019-05-24,3593.91,51.6
2019-05-31,3629.79,50.69
2019-06-06,3564.68,50.03
2019-06-14,3654.88,49.62
2019-06-21,3833.94,49.71
2019-06-28,3825.59,49.72
2019-07-05,3893.2,50.13
2019-07-12,3808.73,50.41
2019-07-19,3807.96,51.3
2019-07-26,3858.57,51.28
2019-08-02,3747.44,51.58
2019-08-09,3633.53,51.93
2019-08-16,3710.54,51.34
2019-08-23,3820.86,52.1
2019-08-30,3799.59,53.12
2019-09-06,3948.51,53.81
2019-09-12,3972.38,54.9
2019-09-20,3935.65,55.73
2019-09-27,3852.65,55.47
2019-09-30,3814.53,55.79
2019-10-11,3911.73,56.28
2019-10-18,3869.38,56.84
2019-10-25,3896.79,57.01
2019-11-01,3952.39,57.02
2019-11-08,3973.01,56.53
