代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz180901,润泽REIT,7.298,0.012,0.165,7.297,7.298,7.286,7.257,7.33,7.257,943180,6885743
sz180801,首钢绿能,12.293,-0.007,-0.057,12.293,12.294,12.3,12.3,12.33,12.283,797588,9815470
sz180701,绍兴原水,4.144,0.006,0.145,4.139,4.142,4.138,4.132,4.148,4.11,455800,1882196
sz180607,中海商业,5.99,-0.007,-0.117,5.984,5.99,5.997,5.989,6.055,5.952,466959,2805765
sz180606,中金绿发,4.132,0.005,0.121,4.123,4.132,4.127,4.117,4.15,4.117,551073,2276206
sz180605,华威REIT,4.971,-0.001,-0.02,4.971,4.972,4.972,4.97,5.0,4.951,1089724,5417996
sz180603,大悦城,4.839,0.009,0.186,4.838,4.839,4.83,4.833,4.855,4.814,566100,2738256
sz180602,中金印力,4.21,-0.01,-0.237,4.21,4.214,4.22,4.196,4.218,4.196,1000482,4214750
sz180601,华润商业,10.114,0.029,0.288,10.11,10.114,10.085,10.079,10.145,10.028,551900,5576556
sz180502,蛇口租房,3.71,0.01,0.27,3.71,3.715,3.7,3.69,3.779,3.69,1148200,4263160
sz180501,红土安居,3.439,-0.006,-0.174,3.439,3.445,3.445,3.447,3.45,3.425,86648,298447
sz180402,工银蒙能,6.988,-0.007,-0.1,6.979,6.982,6.995,6.995,7.009,6.985,104600,730978
sz180401,鹏华深能,5.557,0.088,1.609,5.557,5.558,5.469,5.469,5.559,5.453,1300608,7205658
sz180306,安博REIT,5.76,0.006,0.104,5.752,5.76,5.754,5.753,5.76,5.75,75592,434780
sz180305,顺丰REIT,3.818,-0.008,-0.209,3.815,3.818,3.826,3.81,3.826,3.81,1671105,6377027
sz180303,宝湾REIT,4.168,-0.009,-0.215,4.168,4.17,4.177,4.179,4.181,4.162,164600,686094
sz180302,深国际,2.908,0.01,0.345,2.904,2.909,2.898,2.9,2.928,2.9,107500,313944
sz180301,盐港REIT,2.383,-0.011,-0.459,2.382,2.383,2.394,2.393,2.394,2.381,661480,1579610
sz180203,招商高速,7.259,0.004,0.055,7.26,7.267,7.255,7.259,7.298,7.218,531700,3862717
sz180202,越秀高速,5.431,-0.025,-0.458,5.431,5.435,5.456,5.456,5.456,5.423,403367,2191992
sz180201,广州广河,8.014,0.003,0.037,8.012,8.014,8.011,8.011,8.035,8.006,432232,3463293
sz180106,广发高投,3.163,-0.012,-0.378,3.158,3.163,3.175,3.173,3.194,3.159,816008,2583898
sz180105,广开REIT,1.756,0.033,1.915,1.755,1.756,1.723,1.722,1.764,1.722,3959611,6913436
sz180103,和达高科,2.091,0.008,0.384,2.09,2.091,2.083,2.071,2.091,2.067,410124,854065
sz180102,合肥高新,1.513,0.025,1.68,1.51,1.514,1.488,1.493,1.522,1.472,4114519,6209174
sz180101,蛇口产园,1.892,0.015,0.799,1.889,1.892,1.877,1.884,1.899,1.87,3160158,5980870
sh508099,中关村,1.922,0.001,0.052,1.921,1.922,1.921,1.92,1.924,1.92,902077,1733214
sh508098,京东仓储,3.517,0.013,0.371,3.516,3.517,3.504,3.504,3.52,3.504,2724274,9584576
sh508097,建邺REIT,2.853,0.001,0.035,2.852,2.853,2.852,2.855,2.869,2.828,265700,758070
sh508096,京能国际,10.008,0.009,0.09,10.001,10.008,9.999,10.0,10.01,9.868,156572,1558274
sh508092,金隅智造,4.003,0.017,0.426,3.987,4.0,3.986,3.986,4.03,3.984,146700,586490
sh508091,凯德商业,6.69,0.0,0.0,6.681,6.69,6.69,6.693,6.705,6.672,440319,2946765
sh508090,外运REIT,4.196,-0.003,-0.071,4.189,4.212,4.199,4.183,4.196,4.177,106500,445027
sh508089,特变REIT,5.168,-0.03,-0.577,5.167,5.171,5.198,5.2,5.225,5.153,840257,4345271
sh508088,东久REIT,4.014,0.018,0.45,4.012,4.014,3.996,3.996,4.035,3.977,1760854,7060465
sh508087,济南能源,11.27,-0.029,-0.257,11.27,11.271,11.299,11.281,11.292,11.268,92800,1046361
sh508086,河北高速,5.091,-0.004,-0.079,5.089,5.095,5.095,5.09,5.098,5.086,220700,1123859
sh508085,恒泰租住,3.637,0.003,0.083,3.636,3.637,3.634,3.636,3.664,3.611,922010,3353874
sh508084,九州通R,4.229,-0.008,-0.189,4.225,4.229,4.237,4.233,4.238,4.224,71700,303413
sh508082,唯品奥莱,4.471,-0.002,-0.045,4.47,4.471,4.473,4.476,4.497,4.47,416153,1862129
sh508080,北京亦庄,3.775,-0.002,-0.053,3.774,3.775,3.777,3.777,3.787,3.775,76700,289956
sh508078,易商仓储,2.818,0.003,0.107,2.816,2.818,2.815,2.815,2.829,2.806,556400,1565237
sh508077,华润有巢,2.87,0.016,0.561,2.869,2.87,2.854,2.858,2.922,2.85,2695047,7726583
sh508069,南京交通,6.276,0.021,0.336,6.269,6.271,6.255,6.255,6.283,6.223,23700,148289
sh508068,京保REIT,4.125,0.02,0.487,4.123,4.125,4.105,4.104,4.137,4.089,2325670,9581686
sh508066,苏交REIT,6.198,0.0,0.0,6.197,6.198,6.198,6.174,6.209,6.174,448248,2776937
sh508060,万国REIT,4.785,0.012,0.251,4.785,4.794,4.773,4.773,4.8,4.76,862992,4128214
sh508058,厦门安居,4.128,0.011,0.267,4.119,4.128,4.117,4.117,4.153,4.108,1581046,6529571
sh508056,普洛斯,3.104,-0.003,-0.097,3.103,3.104,3.107,3.107,3.115,3.09,1893432,5874594
sh508055,地产租住,3.572,-0.021,-0.584,3.571,3.572,3.593,3.59,3.59,3.569,59303,212070
