序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
1,026770,中银创业板50指数A,1.1154,1.1154,,,0.0715,6.85,开放,开放,2026-04-17,1.1154,1.1154,股票型,2026-04-17
2,026771,中银创业板50指数C,1.1152,1.1152,,,0.0715,6.85,开放,开放,2026-04-17,1.1152,1.1152,股票型,2026-04-17
3,001956,国联安科技动力股票,3.4737,3.4737,3.2701,3.2701,0.2036,6.23,开放,开放,2026-04-17,3.4737,3.4737,股票型,2026-04-17
4,008382,融通产业趋势股票,1.9282,1.9832,1.8211,1.8761,0.1123,5.88,开放,开放,2026-04-17,1.9282,1.9832,股票型,2026-04-17
5,017488,嘉实信息产业股票发起式A,3.2076,3.2076,3.0415,3.0415,0.1661,5.46,开放,开放,2026-04-17,3.2076,3.2076,股票型,2026-04-17
6,017489,嘉实信息产业股票发起式C,3.1448,3.1448,2.9821,2.9821,0.1627,5.46,开放,开放,2026-04-17,3.1448,3.1448,股票型,2026-04-17
7,009891,融通产业趋势臻选股票A,2.8807,2.8807,2.7401,2.7401,0.1406,5.13,开放,开放,2026-04-17,2.8807,2.8807,股票型,2026-04-17
8,018495,融通产业趋势臻选股票C,2.7965,2.7965,2.66,2.66,0.1365,5.13,开放,开放,2026-04-17,2.7965,2.7965,股票型,2026-04-17
9,006502,财通集成电路产业股票A,5.5247,5.5247,5.2599,5.2599,0.2648,5.03,开放,开放,2026-04-17,5.5247,5.5247,股票型,2026-04-17
10,006503,财通集成电路产业股票C,5.2085,5.2085,4.9589,4.9589,0.2496,5.03,开放,开放,2026-04-17,5.2085,5.2085,股票型,2026-04-17
11,026290,红土创新科技创新股票(LOF)C,2.2626,2.2626,2.1584,2.1584,0.1042,4.83,开放,开放,2026-04-17,2.2626,2.2626,股票型,2026-04-17
12,501201,红土创新科技创新股票(LOF)A,2.2652,2.2652,2.1609,2.1609,0.1043,4.83,开放,开放,2026-04-17,2.2652,2.2652,股票型,2026-04-17
13,026185,恒生前海北证50成份指数增强A,0.9459,0.9459,0.9028,0.9028,0.0431,4.77,开放,开放,2026-04-17,0.9459,0.9459,股票型,2026-04-17
14,026186,恒生前海北证50成份指数增强C,0.9447,0.9447,0.9017,0.9017,0.043,4.77,开放,开放,2026-04-17,0.9447,0.9447,股票型,2026-04-17
15,006265,红土创新新科技股票A,7.8454,7.8954,7.489,7.539,0.3618,4.76,开放,开放,2026-04-17,7.8454,7.8954,股票型,2026-04-17
16,026155,红土创新新科技股票C,7.8308,7.8308,7.4751,7.4751,0.3557,4.76,开放,开放,2026-04-17,7.8308,7.8308,股票型,2026-04-17
17,001416,嘉实事件驱动股票,1.372,1.372,1.31,1.31,0.062,4.73,开放,开放,2026-04-17,1.372,1.372,股票型,2026-04-17
18,515880,国泰中证全指通信设备ETF,1.3229,3.9687,1.2633,3.7899,0.1788,4.72,开放,开放,2026-04-17,1.3229,3.9687,股票型,2026-04-17
19,021162,天弘北证50成份指数发起C,1.1859,1.1859,1.1341,1.1341,0.0518,4.57,开放,限制大额,2026-04-17,1.1859,1.1859,股票型,2026-04-17
20,021161,天弘北证50成份指数发起A,1.1894,1.1894,1.1375,1.1375,0.0519,4.56,开放,限制大额,2026-04-17,1.1894,1.1894,股票型,2026-04-17
21,018114,鹏扬北证50成份指数A,1.3875,1.3875,1.3271,1.3271,0.0604,4.55,开放,开放,2026-04-17,1.3875,1.3875,股票型,2026-04-17
22,018115,鹏扬北证50成份指数C,1.371,1.371,1.3113,1.3113,0.0597,4.55,开放,开放,2026-04-17,1.371,1.371,股票型,2026-04-17
23,021765,长盛北证50成份指数增强A,1.1421,1.1421,1.0924,1.0924,0.0497,4.55,开放,开放,2026-04-17,1.1421,1.1421,股票型,2026-04-17
24,021766,长盛北证50成份指数增强C,1.1371,1.1371,1.0877,1.0877,0.0494,4.54,开放,开放,2026-04-17,1.1371,1.1371,股票型,2026-04-17
25,024828,建信北证50成份指数发起A,0.965,0.965,0.9231,0.9231,0.0419,4.54,开放,开放,2026-04-17,0.965,0.965,股票型,2026-04-17
