基金代码,基金简称,类型,2026-04-24-单位净值,2026-04-24-累计净值,2026-04-23-单位净值,2026-04-23-累计净值,增长值,增长率,市价,折价率
159716,深证100ETF华宝,指数型-股票,1.1672,1.1672,1.1778,1.1778,-0.0106,-0.90%,1.1670,0.02%
510030,价值ETF华宝,指数型-股票,1.0610,2.9060,1.0640,2.9140,-0.0030,-0.28%,1.0610,0.00%
510290,上证380ETF南方,指数型-股票,---,---,2.6776,2.6776,---,---,2.6580,---
159906,深成长ETF大成,指数型-股票,---,---,1.8288,1.8288,---,---,1.8070,---
159909,TMT50ETF招商,指数型-股票,---,---,1.2730,3.8346,---,---,1.2480,---
159910,基本面120ETF嘉,指数型-股票,---,---,2.4674,2.4674,---,---,2.4680,---
510310,沪深300ETF易方,指数型-股票,---,---,4.6459,2.4526,---,---,4.6270,---
510510,中证500ETF广发,指数型-股票,---,---,2.6439,2.6439,---,---,2.6270,---
510660,医药ETF华夏,指数型-股票,---,---,2.3788,2.3788,---,---,2.3700,---
510880,红利ETF华泰柏瑞,指数型-股票,---,---,3.2890,3.1879,---,---,3.2800,---
513100,纳指ETF国泰,指数型-海外股票,---,---,---,---,---,---,1.9070,---
510410,资源ETF博时,指数型-股票,---,---,2.0569,2.0569,---,---,2.0570,---
510150,消费ETF招商,指数型-股票,---,---,0.5160,2.0407,---,---,0.5150,---
159918,中创400ETF嘉实,指数型-股票,---,---,2.7079,2.7079,---,---,2.6960,---
159920,恒生ETF华夏,指数型-海外股票,---,---,1.5411,1.6171,---,---,1.5350,---
510170,大宗商品ETF国联安,指数型-股票,---,---,1.4550,1.8050,---,---,1.4540,---
510180,上证180ETF华安,指数型-股票,---,---,4.0407,4.7119,---,---,4.0360,---
510190,上证50ETF华安,指数型-股票,---,---,4.2818,1.6408,---,---,4.3080,---
510210,上证指数ETF富国,指数型-股票,---,---,1.0294,2.0609,---,---,1.0250,---
510300,沪深300ETF华泰,指数型-股票,---,---,4.8005,2.1072,---,---,4.7820,---
510010,180治理ETF交银,指数型-股票,---,---,1.7660,1.9660,---,---,1.7580,---
510130,上证中盘ETF易方达,指数型-股票,---,---,7.3769,2.5373,---,---,7.3100,---
510230,金融ETF国泰,指数型-股票,---,---,1.3036,2.2499,---,---,1.3000,---
518800,黄金ETF国泰,指数型-其他,---,---,10.3723,3.6973,---,---,10.2990,---
518880,黄金ETF华安,指数型-其他,---,---,9.8937,3.7360,---,---,9.8260,---
159916,基本面ETF建信,指数型-股票,---,---,5.2321,2.8506,---,---,5.2430,---
510050,上证50ETF华夏,指数型-股票,---,---,3.0022,4.4976,---,---,3.0180,---
510060,央企ETF工银,指数型-股票,---,---,2.6223,1.6773,---,---,2.6170,---
