序号,基金代码,基金简称,ETF类型,统计日期,基金份额
1,510010,治理ETF,单市,2025-01-15,201524400.0
2,510020,超大ETF,单市,2025-01-15,43248000.0
3,510030,价值ETF,单市,2025-01-15,211229800.0
4,510040,上证180E,单市,2025-01-15,564480000.0
5,510050,50ETF,单市,2025-01-15,55337166800.0
6,510060,央企ETF,单市,2025-01-15,60959200.0
7,510090,ESG建信,单市,2025-01-15,34581100.0
8,510100,SZ50ETF,单市,2025-01-15,2878819900.0
9,510130,中盘ETF,单市,2025-01-15,46685100.0
10,510150,消费ETF,单市,2025-01-15,3613178600.0
11,510160,产业升级,单市,2025-01-15,298057400.0
12,510170,商品ETF,单市,2025-01-15,194914800.0
13,510180,180ETF,单市,2025-01-15,5874557700.0
14,510190,上证50基,单市,2025-01-15,59150800.0
15,510200,上证券商,单市,2025-01-15,142385500.0
16,510210,综指ETF,单市,2025-01-15,8543192600.0
17,510230,金融ETF,单市,2025-01-15,3655808000.0
18,510270,国企ETF,单市,2025-01-15,26832100.0
19,510290,380ETF,单市,2025-01-15,94448900.0
20,510300,300ETF,跨市,2025-01-15,91062487700.0
21,510310,HS300ETF,跨市,2025-01-15,64614344000.0
22,510330,华夏300,跨市,2025-01-15,40937649800.0
23,510350,工银300,跨市,2025-01-15,1346514700.0
24,510360,广发300,跨市,2025-01-15,7520381200.0
25,510370,兴业300,跨市,2025-01-15,138258100.0
26,510380,国寿300,跨市,2025-01-15,1611802400.0
27,510390,平安300,跨市,2025-01-15,141950000.0
28,510410,资源ETF,单市,2025-01-15,340258399.99999994
29,510500,500ETF,跨市,2025-01-15,17607768600.0
30,510510,广发500,跨市,2025-01-15,1257038300.0
31,510530,工银500,跨市,2025-01-15,59979399.99999999
32,510550,方正500,跨市,2025-01-15,23743300.0
33,510560,国寿500,跨市,2025-01-15,128318700.00000001
34,510570,兴业500,跨市,2025-01-15,33060600.0
35,510580,ZZ500ETF,跨市,2025-01-15,1119768300.0
36,510590,平安500,跨市,2025-01-15,119186100.0
37,510600,沪50ETF,单市,2025-01-15,16015100.0
38,510630,消费30,单市,2025-01-15,508361500.0
39,510650,金融行业,单市,2025-01-15,16952500.0
40,510660,医药行业,单市,2025-01-15,44879700.0
41,510680,万家50,单市,2025-01-15,60124700.0
42,510710,上50ETF,单市,2025-01-15,191618900.0
43,510720,红利国泰,单市,2025-01-15,1166766000.0
44,510760,上证ETF,单市,2025-01-15,2969503700.0
45,510770,G60创新,单市,2025-01-15,39610700.0
46,510800,上证50,单市,2025-01-15,496576000.0
47,510810,上海国企,单市,2025-01-15,8705093700.0
48,510850,工银上50,单市,2025-01-15,74898900.0
49,510880,红利ETF,单市,2025-01-15,7182175699.999999
50,510900,H股ETF,跨境,2025-01-15,11363021900.0
51,510950,上证广发,单市,2025-01-15,103200000.0
52,510980,上证综合,单市,2025-01-15,425798000.0
53,510990,ESG180,单市,2025-01-15,60948600.0
54,511010,国债ETF,单市,2025-01-15,17146300.0
55,511020,活跃国债,单市,2025-01-15,13682500.0
56,511030,公司债,单市,2025-01-15,1045207100.0000001
57,511060,5年地债,单市,2025-01-15,7896300.0
58,511090,30年国债,单市,2025-01-15,61318100.00000001
59,511100,基准国债,单市,2025-01-15,3110500.0
60,511130,国债30年,单市,2025-01-15,26857700.0
61,511160,国债东财,单市,2025-01-15,41860900.0
62,511180,上证转债,单市,2025-01-15,481959700.0
63,511220,城投ETF,单市,2025-01-15,1387981400.0000002
64,511260,十年国债,单市,2025-01-15,19326500.0
65,511270,10年地债,单市,2025-01-15,12537500.0
66,511360,短融ETF,单市,2025-01-15,294914600.0
67,511380,转债ETF,单市,2025-01-15,3378686700.0
68,511520,政金债,单市,2025-01-15,335396500.0
69,511580,国债政金,单市,2025-01-15,5664800.0
70,512000,券商ETF,跨市,2025-01-15,20847917700.0
71,512010,医药ETF,跨市,2025-01-15,64352694900.0
72,512020,A500,跨市,2025-01-15,5036012700.0
73,512040,国信价值,跨市,2025-01-15,2405715900.0
74,512050,A500E,跨市,2025-01-15,20785992200.0
75,512070,证券保险,跨市,2025-01-15,10322479700.0
76,512090,MSCI易基,跨市,2025-01-15,283592300.0
77,512100,XD1000,跨市,2025-01-15,22275217599.999996
78,512120,医药50,跨市,2025-01-15,890241900.0
79,512150,A50ETF,跨市,2025-01-15,100073400.0
80,512160,MSCI基金,跨市,2025-01-15,261777800.0
81,512170,医疗ETF,跨市,2025-01-15,77812820500.0
82,512180,建信MSCI,跨市,2025-01-15,70048000.0
83,512190,之江凤凰,跨市,2025-01-15,35618400.0
84,512200,地产ETF,跨市,2025-01-15,2914597900.0
85,512220,TMTETF,跨市,2025-01-15,233967599.99999997
86,512260,500低波,跨市,2025-01-15,42897700.00000001
87,512280,景顺MSCI,跨市,2025-01-15,36005700.0
88,512290,生物医药,跨市,2025-01-15,4385820700.0
89,512330,信息ETF,跨市,2025-01-15,572688000.0
90,512360,MSCI国际,跨市,2025-01-15,45337700.00000001
91,512380,MSCI中国,跨市,2025-01-15,102805600.0
92,512390,MSCI低波,跨市,2025-01-15,171682000.0
93,512400,有色ETF,跨市,2025-01-15,4608539000.0
94,512480,半导体,跨市,2025-01-15,23739003600.0
95,512500,中证500,跨市,2025-01-15,4483208800.0
96,512510,ETF500,跨市,2025-01-15,790429800.0
97,512520,MSCIETF,跨市,2025-01-15,69056400.0
98,512530,300红利,跨市,2025-01-15,145502000.0
99,512550,A50基金,跨市,2025-01-15,300906000.0
100,512560,中证军工,跨市,2025-01-15,1150127000.0
