基金代码,基金简称,基金类别,投资类别,上市日期,基金份额,基金管理人,基金发起人,基金托管人,净值
159001,货币ETF易方达,ETF,货币市场基金,2014-10-20,20126158,易方达基金管理有限公司,,,100.0
159003,招商快线ETF,ETF,货币市场基金,2014-10-20,2070958,招商基金管理有限公司,,,100.0
159005,快钱ETF汇添富,ETF,货币市场基金,2015-01-13,752072,汇添富基金管理股份有限公司,,,100.0
159007,养殖ETF华泰柏瑞,ETF,股票基金,2026-04-17,213603274,华泰柏瑞基金管理有限公司,,,0.9988
159009,创业板新能源ETF易方达,ETF,股票基金,2026-04-14,97392703,易方达基金管理有限公司,,,1.0593
159100,巴西ETF华夏,ETF,其它基金,2025-11-13,404546935,华夏基金管理有限公司,,,1.2822
159101,港股通科技ETF华夏,ETF,股票基金,2025-09-03,3833311457,华夏基金管理有限公司,,,0.8366
159102,港股通生物科技ETF华安,ETF,股票基金,2025-09-16,730122004,华安基金管理有限公司,,,0.8591
159103,金融科技ETF汇添富,ETF,股票基金,2025-09-10,268406771,汇添富基金管理股份有限公司,,,0.7896
159105,恒生生物科技ETF易方达,ETF,股票基金,2025-11-03,171272984,易方达基金管理有限公司,,,0.9758
159106,民企300ETF前海开源,ETF,股票基金,2025-10-22,53579488,前海开源基金管理有限公司,,,1.1167
159107,创业板软件ETF富国,ETF,股票基金,2025-09-22,626823006,富国基金管理有限公司,,,0.9097
159108,工业软件ETF博时,ETF,股票基金,2025-11-24,174738511,博时基金管理有限公司,,,0.9995
159109,恒生50ETF景顺,ETF,股票基金,2025-10-10,490163854,景顺长城基金管理有限公司,,,0.8861
159110,科创债ETF万家,ETF,债券基金,2025-09-24,20777093,万家基金管理有限公司,,,101.4567
159111,科创债ETF天弘,ETF,债券基金,2025-09-24,99816676,天弘基金管理有限公司,,,101.3418
159112,科创债ETF银华,ETF,债券基金,2025-09-24,206187830,银华基金管理股份有限公司,,,101.2319
159113,科创债ETF大成,ETF,债券基金,2025-09-24,86526237,大成基金管理有限公司,,,101.2076
159115,科创债ETF华安,ETF,债券基金,2025-09-24,43323487,华安基金管理有限公司,,,101.2086
159116,科创债ETF工银,ETF,债券基金,2025-09-24,103022743,工银瑞信基金管理有限公司,,,101.3903
159117,港股通红利低波ETF鹏华,ETF,股票基金,2025-10-17,74401153,鹏华基金管理有限公司,,,1.0554
159118,港股通红利低波ETF华夏,ETF,股票基金,2025-11-27,104677020,华夏基金管理有限公司,,,1.0073
159119,800现金流ETF招商,ETF,股票基金,2025-11-13,202054229,招商基金管理有限公司,,,1.0805
159120,港股通科技ETF国联安,ETF,股票基金,2025-11-13,184024466,国联安基金管理有限公司,,,0.8068
159121,港股通汽车ETF易方达,ETF,股票基金,2025-11-24,118481127,易方达基金管理有限公司,,,1.0113
159122,创业板新能源ETF富国,ETF,股票基金,2025-11-03,73160935,富国基金管理有限公司,,,1.0846
159123,光伏ETF嘉实,ETF,股票基金,2025-11-27,527047026,嘉实基金管理有限公司,,,1.129
159125,港股通科技ETF招商,ETF,股票基金,2025-11-06,840245883,招商基金管理有限公司,,,0.8098
159126,港股通50ETF南方,ETF,股票基金,2025-11-03,385616546,南方基金管理股份有限公司,,,0.9671
159127,港股通红利ETF南方,ETF,股票基金,2025-11-20,229344268,南方基金管理股份有限公司,,,0.9819
159128,港股科技ETF天弘,ETF,股票基金,2025-11-13,2760760841,天弘基金管理有限公司,,,0.8212
159129,化工ETF嘉实,ETF,股票基金,2025-11-14,1561406595,嘉实基金管理有限公司,,,1.1731
159130,恒生生物科技ETF鹏华,ETF,股票基金,2025-11-27,240389466,鹏华基金管理有限公司,,,0.9786
159131,港股通信息技术ETF华宝,ETF,股票基金,2025-11-13,577919902,华宝基金管理有限公司,,,0.8741
159132,恒生生物科技ETF富国,ETF,股票基金,2026-01-08,101963558,富国基金管理有限公司,,,1.0105
159133,化工ETF天弘,ETF,股票基金,2025-11-25,2374413345,天弘基金管理有限公司,,,1.2072
159135,港股通科技ETF前海开源,ETF,股票基金,2026-02-11,859466376,前海开源基金管理有限公司,,,0.8593
159136,A50ETF广发,ETF,股票基金,2025-12-25,137914074,广发基金管理有限公司,,,1.0332
159137,港股通医疗ETF华宝,ETF,股票基金,2026-01-12,177632607,华宝基金管理有限公司,,,0.9423
159138,工程机械ETF易方达,ETF,股票基金,2026-01-13,86767924,易方达基金管理有限公司,,,0.9995
159139,科创创业人工智能ETF华泰柏瑞,ETF,股票基金,2025-12-19,308109210,华泰柏瑞基金管理有限公司,,,1.2162
159140,科创创业人工智能ETF易方达,ETF,股票基金,2025-12-18,509936834,易方达基金管理有限公司,,,1.2203
159141,科创创业人工智能ETF永赢,ETF,股票基金,2025-12-11,715060730,永赢基金管理有限公司,,,1.1649
