序号,基金代码,基金名称,当前-单位净值,当前-累计净值,前一日-单位净值,前一日-累计净值,增长值,增长率,赎回状态,申购状态,最新-交易日,最新-单位净值,最新-累计净值,基金类型,查询日期
1,515880,国泰中证全指通信设备ETF,1.3229,3.9687,1.2633,3.7899,0.1788,4.72,开放,开放,2026-04-17,1.3229,3.9687,股票型,2026-04-17
2,159583,富国中证通信设备主题ETF,1.6695,3.339,1.5985,3.197,0.142,4.44,开放,开放,2026-04-17,1.6695,3.339,股票型,2026-04-17
3,159994,5GETF,1.1763,2.3526,1.1305,2.261,0.0916,4.05,开放,开放,2026-04-17,1.1763,2.3526,股票型,2026-04-17
4,515050,华夏中证5G通信主题ETF,2.8811,2.8811,2.7691,2.7691,0.112,4.04,开放,开放,2026-04-17,2.8811,2.8811,股票型,2026-04-17
5,159967,华夏创成长ETF,0.786,2.8598,0.7561,2.751,0.1088,3.95,开放,开放,2026-04-17,0.786,2.8598,股票型,2026-04-17
6,159507,广发国证通信ETF,2.5777,2.5777,2.4843,2.4843,0.0934,3.76,开放,开放,2026-04-17,2.5777,2.5777,股票型,2026-04-17
7,159695,嘉实国证通信ETF,2.8242,2.8242,2.7232,2.7232,0.101,3.71,开放,开放,2026-04-17,2.8242,2.8242,股票型,2026-04-17
8,159363,华宝创业板人工智能ETF,1.2891,2.5782,1.2442,2.4884,0.0898,3.61,开放,开放,2026-04-17,1.2891,2.5782,股票型,2026-04-17
9,159243,招商创业板人工智能ETF,1.3029,1.3029,1.2576,1.2576,0.0453,3.6,开放,开放,2026-04-17,1.3029,1.3029,股票型,2026-04-17
10,159242,大成创业板人工智能ETF,2.1693,2.1693,2.0943,2.0943,0.075,3.58,开放,开放,2026-04-17,2.1693,2.1693,股票型,2026-04-17
11,159382,南方创业板人工智能ETF,2.7527,2.7527,2.6575,2.6575,0.0952,3.58,开放,开放,2026-04-17,2.7527,2.7527,股票型,2026-04-17
12,159388,国泰创业板人工智能ETF,1.0541,2.6353,1.0177,2.5443,0.091,3.58,开放,开放,2026-04-17,1.0541,2.6353,股票型,2026-04-17
13,159246,富国创业板人工智能ETF,1.2133,2.4266,1.1715,2.343,0.0836,3.57,开放,开放,2026-04-17,1.2133,2.4266,股票型,2026-04-17
14,159381,华夏创业板人工智能ETF,2.4357,2.4357,2.3517,2.3517,0.084,3.57,开放,开放,2026-04-17,2.4357,2.4357,股票型,2026-04-17
15,159279,华安创业板人工智能ETF,1.464,1.464,1.4137,1.4137,0.0503,3.56,开放,开放,2026-04-17,1.464,1.464,股票型,2026-04-17
16,159811,博时5G50ETF,2.7266,2.7266,2.636,2.636,0.0906,3.44,开放,开放,2026-04-17,2.7266,2.7266,股票型,2026-04-17
17,159511,南方中证通信服务ETF,2.3343,2.3343,2.2605,2.2605,0.0738,3.26,开放,开放,2026-04-17,2.3343,2.3343,股票型,2026-04-17
18,159597,易方达创业板成长ETF,2.4252,2.4252,2.362,2.362,0.0632,2.68,开放,开放,2026-04-17,2.4252,2.4252,股票型,2026-04-17
19,159663,华夏中证机床ETF,1.9314,1.9314,1.8845,1.8845,0.0469,2.49,开放,开放,2026-04-17,1.9314,1.9314,股票型,2026-04-17
20,159667,国泰中证机床ETF,1.9492,1.9492,1.9024,1.9024,0.0468,2.46,开放,开放,2026-04-17,1.9492,1.9492,股票型,2026-04-17
21,159707,华宝中证800地产ETF,0.565,0.565,0.5517,0.5517,0.0133,2.41,开放,开放,2026-04-17,0.565,0.565,股票型,2026-04-17
22,159768,房地产ETF,0.5058,0.5058,0.494,0.494,0.0118,2.39,开放,开放,2026-04-17,0.5058,0.5058,股票型,2026-04-17
23,159909,深证TMT50ETF,1.2299,3.7048,1.202,3.6208,0.084,2.32,开放,开放,2026-04-17,1.2299,3.7048,股票型,2026-04-17
24,159709,物联网ETF工银,1.6197,1.6197,1.5832,1.5832,0.0365,2.31,开放,开放,2026-04-17,1.6197,1.6197,股票型,2026-04-17
25,563010,易方达中证电信主题ETF,2.1332,2.1332,2.0864,2.0864,0.0468,2.24,开放,开放,2026-04-17,2.1332,2.1332,股票型,2026-04-17
26,159259,易方达国证成长100ETF,1.2691,1.2691,1.2421,1.2421,0.027,2.17,开放,开放,2026-04-17,1.2691,1.2691,股票型,2026-04-17
27,560300,汇添富中证电信主题ETF,2.2649,2.2649,2.2168,2.2168,0.0481,2.17,开放,开放,2026-04-17,2.2649,2.2649,股票型,2026-04-17
28,560690,电信ETF基金,2.1724,2.1724,2.1269,2.1269,0.0455,2.14,开放,开放,2026-04-17,2.1724,2.1724,股票型,2026-04-17
29,159991,招商创业板大盘ETF,0.8595,2.441,0.8418,2.3907,0.0503,2.1,开放,开放,2026-04-17,0.8595,2.441,股票型,2026-04-17
30,159603,天弘中证科创创业50ETF,1.6182,1.6182,1.585,1.585,0.0332,2.09,开放,开放,2026-04-17,1.6182,1.6182,股票型,2026-04-17
31,159814,西部利得创业板大盘ETF,0.7534,1.5513,0.738,1.5196,0.0317,2.09,开放,开放,2026-04-17,0.7534,1.5513,股票型,2026-04-17
32,512220,景顺长城中证科技传媒通信150ETF,3.3001,3.3001,3.233,3.233,0.0671,2.08,开放,开放,2026-04-17,3.3001,3.3001,股票型,2026-04-17
33,512770,华夏战略新兴成指ETF,2.3932,2.3932,2.3447,2.3447,0.0485,2.07,开放,开放,2026-04-17,2.3932,2.3932,股票型,2026-04-17
34,159743,博时湖北新旧动能转换ETF,1.4044,1.4044,1.3761,1.3761,0.0283,2.06,开放,开放,2026-04-17,1.4044,1.4044,股票型,2026-04-17
35,588390,博时中证科创创业50ETF,1.1315,1.1315,1.1087,1.1087,0.0228,2.06,开放,开放,2026-04-17,1.1315,1.1315,股票型,2026-04-17
36,159781,易方达中证科创创业50ETF,1.0467,1.0467,1.0257,1.0257,0.021,2.05,开放,开放,2026-04-17,1.0467,1.0467,股票型,2026-04-17
37,159783,华夏中证科创创业50ETF,1.0501,1.0501,1.029,1.029,0.0211,2.05,开放,开放,2026-04-17,1.0501,1.0501,股票型,2026-04-17
38,159782,双创50,1.0466,1.0466,1.0257,1.0257,0.0209,2.04,开放,开放,2026-04-17,1.0466,1.0466,股票型,2026-04-17
39,588300,招商中证科创创业50ETF,1.0775,1.0775,1.056,1.056,0.0215,2.04,开放,开放,2026-04-17,1.0775,1.0775,股票型,2026-04-17
40,588380,富国中证科创创业50ETF,1.0676,1.0676,1.0463,1.0463,0.0213,2.04,开放,开放,2026-04-17,1.0676,1.0676,股票型,2026-04-17
41,588400,嘉实中证科创创业50ETF,1.0568,1.0568,1.0357,1.0357,0.0211,2.04,开放,开放,2026-04-17,1.0568,1.0568,股票型,2026-04-17
42,159780,南方中证科创创业50ETF,1.0439,1.0439,1.0231,1.0231,0.0208,2.03,开放,开放,2026-04-17,1.0439,1.0439,股票型,2026-04-17
43,588330,华宝双创龙头ETF,1.0607,1.0607,1.0397,1.0397,0.021,2.02,开放,开放,2026-04-17,1.0607,1.0607,股票型,2026-04-17
44,588350,鹏扬中证科创创业50ETF,1.62,1.62,1.5879,1.5879,0.0321,2.02,开放,开放,2026-04-17,1.62,1.62,股票型,2026-04-17
45,563560,兴业中证科技优势成长50策略ETF,1.0722,1.0722,1.0511,1.0511,0.0211,2.01,开放,开放,2026-04-17,1.0722,1.0722,股票型,2026-04-17
46,588360,国泰中证科创创业50ETF,1.1401,1.1401,1.1176,1.1176,0.0225,2.01,开放,开放,2026-04-17,1.1401,1.1401,股票型,2026-04-17
47,588310,方正富邦科创创业50ETF,1.132,1.132,1.1098,1.1098,0.0222,2.0,开放,开放,2026-04-17,1.132,1.132,股票型,2026-04-17
48,159906,大成深证成长40ETF,1.8051,1.8051,1.7698,1.7698,0.0353,1.99,开放,开放,2026-04-17,1.8051,1.8051,股票型,2026-04-17
49,159248,万家中证人工智能主题ETF,1.6784,1.6784,1.6458,1.6458,0.0326,1.98,开放,开放,2026-04-17,1.6784,1.6784,股票型,2026-04-17
50,515070,华夏中证人工智能主题ETF,2.1731,2.1731,2.131,2.131,0.0421,1.98,开放,开放,2026-04-17,2.1731,2.1731,股票型,2026-04-17
51,159819,易方达中证人工智能主题ETF,1.7136,1.7136,1.6805,1.6805,0.0331,1.97,开放,开放,2026-04-17,1.7136,1.7136,股票型,2026-04-17
