序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
1,515880,通信ETF国泰,指数型-股票,2026-04-17,1.3229,3.9687,8.1,29.14,23.83,62.61,257.83,244.18,261.55,28.75,296.91,2019-08-16
2,159583,通信ETF富国,指数型-股票,2026-04-17,1.6695,3.339,8.69,28.95,21.78,69.2,230.4,,,28.1,233.9,2024-06-28
3,515050,通信ETF华夏,指数型-股票,2026-04-17,2.8811,2.8811,8.3,23.29,20.34,51.0,204.56,217.2,185.29,26.68,188.11,2019-09-17
4,159381,创业板人工智能ETF华夏,指数型-股票,2026-04-17,2.4357,2.4357,9.88,24.46,18.42,66.06,202.5,,,30.23,143.55,2025-03-14
5,159363,创业板人工智能ETF华宝,指数型-股票,2026-04-17,1.2891,2.5782,9.89,24.59,18.69,65.65,202.39,,,30.4,157.82,2024-12-06
6,159994,通信ETF银华,指数型-股票,2026-04-17,1.1763,2.3526,8.29,23.19,20.17,50.71,201.93,215.24,183.38,26.5,135.26,2020-01-22
7,159388,创业板人工智能ETF国泰,指数型-股票,2026-04-17,1.0541,2.6353,9.89,24.45,18.4,65.52,199.7,,,30.07,163.52,2025-03-26
8,159695,通信ETF嘉实,指数型-股票,2026-04-17,2.8242,2.8242,6.63,22.07,20.71,57.49,165.13,180.37,,25.86,182.42,2023-04-27
9,159507,通信ETF广发,指数型-股票,2026-04-17,2.5777,2.5777,6.67,22.2,20.61,56.5,164.35,180.4,,25.74,157.77,2023-06-08
10,159811,5GETF博时,指数型-股票,2026-04-17,2.7266,2.7266,7.86,18.04,15.19,37.3,145.66,178.11,149.25,20.03,172.8,2020-03-27
11,159511,通信ETF南方,指数型-股票,2026-04-17,2.3343,2.3343,5.9,19.68,16.02,48.5,136.86,151.05,,24.95,133.57,2023-07-28
12,513310,中韩半导体ETF华泰柏瑞,指数型-海外股票,2026-04-17,3.4641,3.4641,5.13,8.11,19.7,47.46,135.48,177.15,191.37,36.47,246.41,2022-11-02
13,159320,电网设备ETF广发,指数型-股票,2026-04-17,2.0757,2.0757,2.23,0.76,11.93,42.03,135.05,,,25.65,107.57,2024-12-12
14,561380,电网设备ETF国泰,指数型-股票,2026-04-17,2.0663,2.0663,2.19,0.64,11.72,41.61,134.43,,,25.55,106.63,2024-12-11
15,159671,稀有金属ETF工银,指数型-股票,2026-04-17,1.5627,1.5627,5.85,9.45,6.52,38.77,133.76,126.05,63.58,20.14,56.43,2023-02-17
16,159608,稀有金属ETF广发,指数型-股票,2026-04-17,1.28,1.28,5.83,9.4,6.51,38.04,131.93,128.78,67.85,20.1,28.0,2021-12-15
17,561800,稀有金属ETF华富,指数型-股票,2026-04-17,1.1891,1.1891,5.92,9.62,6.62,38.41,131.66,120.53,58.36,20.2,18.91,2021-08-11
18,562800,稀有金属ETF嘉实,指数型-股票,2026-04-17,1.1131,1.1131,5.82,9.37,6.38,37.86,131.51,121.51,60.74,19.96,11.31,2021-09-15
19,159597,创业板成长ETF易方达,指数型-股票,2026-04-17,2.4252,2.4252,8.14,16.43,12.14,34.68,131.15,,,18.41,142.52,2024-05-08
20,560860,工业有色ETF万家,指数型-股票,2026-04-17,1.7918,1.7918,4.33,2.09,-2.18,31.03,128.14,105.36,76.48,12.87,79.18,2023-02-22
21,560660,云计算50ETF新华,指数型-股票,2026-04-17,2.3446,2.3446,6.41,13.27,4.02,35.79,124.84,188.42,118.96,15.89,134.46,2021-08-05
22,561330,矿业ETF国泰,指数型-股票,2026-04-17,2.1795,2.1795,3.39,3.27,-0.17,30.81,119.95,109.53,90.45,13.54,117.95,2022-10-19
