序号,基金代码,基金简称,累计分红,累计次数,成立日期
1,511220,城投债ETF海富通,36.671,37,2014-11-13
2,511880,银华日利ETF,33.2674,13,2013-04-01
3,003816,银华日利B,32.969,10,2016-11-23
4,511270,10年地方债ETF海富通,20.6851,28,2018-10-12
5,511060,5年地方债ETF海富通,16.0541,23,2019-11-07
6,007696,嘉实融享货币,13.67,4,2019-08-14
7,511020,国债ETF平安,10.466,4,2018-12-21
8,159972,5年地方债ETF鹏华,8.82,3,2019-08-23
9,511090,30年国债ETF鹏扬,7.5,5,2023-05-19
10,000011,华夏大盘精选混合A,7.3057,23,2004-08-11
11,160213,国泰纳斯达克100指数,6.3,8,2010-04-29
12,007709,中银瑞福浮动净值型货币C,5.704,13,2019-09-10
13,180801,中航首钢绿能REIT,5.6094,12,2021-06-07
14,519008,汇添富优势精选混合,5.5302,16,2005-08-25
15,007708,中银瑞福浮动净值型货币A,5.3545,13,2019-09-10
16,375010,摩根中国优势混合A,4.9797,11,2004-09-15
17,511030,公司债ETF平安,4.94,8,2018-12-27
18,160505,博时主题行业混合(LOF),4.695,18,2005-01-06
19,150103,银河银泰混合,4.097,9,2004-03-30
20,511010,国债ETF国泰,3.9557,5,2013-03-05
21,020001,国泰金鹰增长混合,3.9248,17,2002-05-08
22,508001,浙商沪杭甬REIT,3.8711,7,2021-06-07
23,040004,华安宝利配置混合,3.7667,14,2004-08-24
24,163302,大摩资源优选混合(LOF),3.7219,16,2005-09-27
25,180201,平安广州广河REIT,3.70062,13,2021-06-07
26,090001,大成价值增长混合A,3.611,11,2002-11-11
27,002001,华夏回报混合A,3.5992,112,2003-09-05
28,163801,中银中国混合(LOF)A,3.4975,16,2005-01-04
29,508008,国金中国铁建REIT,3.4817,6,2022-06-27
30,360005,光大红利混合A,3.4476,9,2006-03-24
31,162703,广发小盘成长混合(LOF)A,3.3711,10,2005-02-02
32,257010,国联安小盘精选混合,3.3409,9,2004-04-12
33,270001,广发聚富混合,3.2911,23,2003-12-03
34,180010,银华优质增长混合,3.26074,16,2006-06-09
35,160106,南方高增长混合(LOF),3.243,20,2005-07-13
36,340001,兴全可转债混合,3.2146,59,2004-05-11
37,006011,中信保诚稳鸿A,3.1942,19,2018-05-31
38,511130,30年国债ETF博时,3.193,3,2024-03-20
39,100020,富国天益价值混合A,3.1598,14,2004-06-15
40,163804,中银收益混合A,3.1597,18,2006-10-11
41,255010,国联安稳健混合A,3.1318,18,2003-08-08
42,519690,交银稳健配置混合,3.118,10,2006-06-14
43,270002,广发稳健增长混合A,3.06,22,2004-07-26
44,450002,国富弹性市值混合A,3.0493,18,2006-06-14
45,161005,富国天惠成长混合(LOF)A,3.048,16,2005-11-16
46,159816,0-4年地方债ETF鹏华,3.0256,4,2020-07-30
47,162102,金鹰中小盘精选混合A,3.0019,21,2004-05-27
48,519997,长信银利精选混合A,2.9678,14,2005-01-17
49,000410,益民服务领先混合A,2.9582,8,2013-12-13
50,162605,景顺长城鼎益混合(LOF)A,2.941,9,2005-03-16
51,080001,长盛成长价值混合A,2.9143,18,2002-09-18
52,110009,易方达价值精选混合,2.894,33,2006-06-13
53,511260,十年国债ETF国泰,2.8641,3,2017-08-04
54,090003,大成蓝筹稳健混合A,2.8628,7,2004-06-03
55,200002,长城久泰沪深300指数A,2.86,3,2004-05-21
56,240005,华宝多策略增长A,2.8369,8,2004-05-11
57,112002,易方达策略成长二号混合,2.817,31,2006-08-16
58,519670,银河行业混合A,2.813,8,2009-04-24
59,508096,中航京能国际能源REIT,2.81274,5,2023-03-20
60,100026,富国天合稳健优选混合,2.7955,11,2006-11-15
61,257020,国联安精选混合,2.7871,20,2005-12-28
62,288001,华夏经典混合,2.7755,11,2004-03-15
63,360006,光大新增长混合A,2.7529,9,2006-09-14
64,340006,兴全全球视野股票,2.746,4,2006-09-20
65,310308,申万菱信盛利精选混合A,2.734,13,2004-04-09
66,508009,中金安徽交控REIT,2.6996,13,2022-11-11
67,160603,鹏华普天收益混合,2.6937,21,2003-07-12
68,202003,南方绩优成长混合A,2.6897,15,2006-11-16
69,002021,华夏回报二号混合,2.6154,85,2006-08-14
70,151001,银河稳健混合,2.615,17,2003-08-04
71,000390,华商优势行业混合A,2.61473,19,2013-12-11
72,217005,招商先锋混合,2.6041,9,2004-06-01
73,519087,新华优选分红混合A,2.5828,42,2005-09-16
74,519668,银河成长混合,2.5758,12,2008-05-26
75,000001,华夏成长混合,2.5728,25,2001-12-18
76,090007,大成策略回报混合A,2.56788,17,2008-11-26
77,163412,兴全轻资产混合(LOF),2.564,2,2012-04-05
78,050001,博时价值增长混合,2.545,8,2002-10-09
79,202011,南方优选价值混合A,2.533,12,2008-06-18
80,350002,天治低碳经济混合,2.525,6,2005-01-12
81,519180,万家180指数A,2.5151,9,2003-03-15
82,240004,华宝动力组合混合A,2.51,3,2005-11-17
83,540002,汇丰晋信龙腾混合A,2.496,6,2006-09-27
84,121002,国投瑞银景气行业混合,2.49324,15,2004-04-29
85,260109,景顺长城内需增长贰号混合A,2.481,12,2006-10-11
86,002011,华夏红利混合,2.473,7,2005-06-30
87,550003,中信保诚盛世蓝筹混合,2.4577,8,2008-06-04
88,160105,南方积极配置混合(LOF),2.4556,15,2004-10-14
