净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态
2001-12-18,1.0,1.0,,封闭期,封闭期
2001-12-21,1.0,1.0,0.0,封闭期,封闭期
2001-12-28,1.0,1.0,0.0,封闭期,封闭期
2002-01-04,1.0,1.0,0.0,封闭期,封闭期
2002-01-11,1.001,1.001,0.1,封闭期,封闭期
2002-01-18,1.0,1.0,-0.1,封闭期,封闭期
2002-01-25,1.005,1.005,0.5,封闭期,封闭期
2002-01-30,1.002,1.002,-0.3,开放申购,开放赎回
2002-01-31,1.002,1.002,0.8,开放申购,开放赎回
2002-02-01,1.009,1.009,-0.1,开放申购,开放赎回
2002-02-04,1.011,1.011,0.2,开放申购,开放赎回
2002-02-05,1.012,1.012,0.1,开放申购,开放赎回
2002-02-06,1.009,1.009,-0.3,开放申购,开放赎回
2002-02-07,1.012,1.012,0.3,开放申购,开放赎回
2002-02-08,1.012,1.012,0.0,开放申购,开放赎回
2002-02-25,1.014,1.014,0.2,开放申购,开放赎回
2002-02-26,1.015,1.015,0.1,开放申购,开放赎回
2002-02-27,1.015,1.015,0.0,开放申购,开放赎回
2002-02-28,1.013,1.013,-0.2,开放申购,开放赎回
2002-03-01,1.011,1.011,-0.2,开放申购,开放赎回
2002-03-04,1.013,1.013,0.2,开放申购,开放赎回
2002-03-05,1.019,1.019,0.59,开放申购,开放赎回
2002-03-06,1.02,1.02,0.1,开放申购,开放赎回
2002-03-07,1.026,1.026,0.59,开放申购,开放赎回
2002-03-08,1.031,1.031,0.49,开放申购,开放赎回
2002-03-11,1.036,1.036,0.49,开放申购,开放赎回
2002-03-12,1.03,1.03,-0.58,开放申购,开放赎回
2002-03-13,1.025,1.025,-0.49,开放申购,开放赎回
2002-03-14,1.034,1.034,0.88,开放申购,开放赎回
2002-03-15,1.025,1.025,-0.87,开放申购,开放赎回
2002-03-18,1.027,1.027,0.2,开放申购,开放赎回
2002-03-19,1.035,1.035,0.78,开放申购,开放赎回
2002-03-20,1.039,1.039,0.39,开放申购,开放赎回
2002-03-21,1.04,1.04,0.1,开放申购,开放赎回
2002-03-22,1.036,1.036,-0.38,开放申购,开放赎回
2002-03-25,1.036,1.036,0.0,开放申购,开放赎回
