序号,基金代码,基金简称,币种,日期,单位净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,可购买,香港基金代码
1,968063,摩根太平洋科技美元,美元,2026-04-23,20.75,-1.0019,1.9155,18.8431,11.7394,22.9265,75.8475,87.613,98.5646,20.9207,107.5,不可购买,1002075744
2,968061,摩根太平洋科技人民币对冲,人民币,2026-04-23,19.58,-1.0611,1.8201,18.4513,10.9977,21.3135,70.8551,77.677,82.8198,19.902,95.8,可购买,1002075741
3,968062,摩根太平洋科技人民币,人民币,2026-04-23,20.31,-1.0716,1.9578,17.7391,9.6652,17.9443,64.8539,76.9164,96.8023,18.3566,103.1,可购买,1002075743
4,968074,摩根亚洲增长美元,美元,2026-04-23,17.36,-0.3444,0.7545,13.4641,8.8401,17.2973,54.0373,61.3383,57.9618,15.8878,73.6,不可购买,1002169577
5,968024,东亚联丰多元(累积),人民币,2026-04-23,149.54,0.154,2.2426,11.1078,12.9627,25.453,52.5451,49.6897,64.3658,22.0336,49.54,可购买,1001352265
6,968072,摩根亚洲增长人民币对冲,人民币,2026-04-23,16.38,-0.365,0.738,13.1997,8.1188,15.8416,49.7258,52.9412,45.6,15.0281,63.8,可购买,1002169575
7,968046,摩根亚洲股息美元,美元,2026-04-23,18.39,-0.4331,0.1089,7.481,7.481,15.3701,48.7864,64.05,69.963,12.3396,83.9,不可购买,1001766167
8,968047,摩根亚洲股息美元派息,美元,2026-04-23,13.73,-0.3628,0.1459,7.5483,7.5567,15.4099,48.7828,64.6895,70.5981,12.4536,84.5418,可购买,1001766168
9,968042,惠理价值基金P美元,美元,2026-04-23,12.2206,-0.8583,1.0201,14.1984,7.4716,11.2886,47.5811,69.9288,56.7346,10.9914,22.206,不可购买,1001713915
10,968041,惠理价值基金P人民币对冲,人民币,2026-04-23,14.482,-1.0069,1.1292,15.8291,7.9659,11.9511,47.1524,64.4803,47.3005,11.9927,44.82,可购买,1001713914
11,968045,摩根亚洲股息人民币对冲派息,人民币,2026-04-23,13.43,-0.4448,0.0745,7.1546,6.7791,13.8151,44.6061,55.9893,57.2192,11.4678,75.59,可购买,1001766166
12,968044,摩根亚洲股息-PRC人民币对冲份额(累计),人民币,2026-04-23,17.54,-0.3975,0.1142,7.2127,6.8209,13.7484,44.6002,55.7726,57.1685,11.4358,75.4,可购买,1001766138
13,968073,摩根亚洲增长人民币,人民币,2026-04-23,16.82,-0.3555,0.8998,12.5084,6.8615,12.5837,44.5017,52.0796,56.7568,13.4953,68.2,可购买,1002169576
14,968014,东方汇理亚太股息基金人民币累算,人民币,2026-04-22,1.303,-0.2526,1.9961,7.6949,7.7661,13.8787,43.3286,42.2334,45.2134,12.086,30.3,不可购买,1001044778
15,968068,惠理高息股票基金P累积美元类别,美元,2026-04-23,13.5874,-0.254,0.6549,8.7305,5.6415,14.5823,42.7338,35.874,35.874,11.5211,35.874,不可购买,1002079187
16,968066,惠理高息股票基金P每月派息人民币对冲类别,人民币,2026-04-23,13.082,-0.2706,0.6099,8.507,5.0177,13.36,41.9023,52.5722,40.6196,10.753,71.6347,可购买,1002079185
17,968067,惠理高息股票基金P累积人民币对冲类别,人民币,2026-04-23,17.2509,-0.2671,0.613,8.5392,4.8693,13.2268,41.5923,52.4093,40.4373,10.5749,72.509,可购买,1002079186
18,968048,摩根亚洲股息人民币,人民币,2026-04-23,18.74,-0.4251,0.2675,6.5378,5.518,10.7565,39.7465,54.7481,68.8288,10.1058,87.4,可购买,1001766169
19,968049,摩根亚洲股息人民币派息,人民币,2026-04-23,13.96,-0.428,0.2153,6.5205,5.5051,10.6624,39.5815,55.0713,68.64,10.0456,87.6329,可购买,1001766170
20,968040,惠理价值基金P人民币非对冲,人民币,2026-04-23,15.7048,-0.693,1.2507,13.1967,5.8168,7.381,39.5461,61.5554,56.7314,8.9522,57.048,可购买,1001713913
21,968015,东方汇理亚太股息基金人民币分派,人民币,2026-04-22,0.8561,-0.2563,2.0016,7.2269,7.2807,12.7931,39.2484,75.7393,75.1058,11.0232,11.7175,不可购买,1001045769
22,968038,汇丰亚太股票(日本除外)BC类-港元,港元,2026-04-23,11.3898,-0.0816,0.5118,10.9663,6.73,12.5508,37.8677,50.1087,49.0168,11.8577,13.898,不可购买,1001647519
23,968039,汇丰亚太股票(日本除外)BM2类-港元,港元,2026-04-23,9.4023,-0.0818,0.5141,10.9616,6.7299,12.5489,37.8587,50.0918,49.3074,11.8581,13.8793,不可购买,1001647520
24,968011,摩根太平洋证券美元,美元,2026-04-23,26.97,-0.443,-0.663,10.3519,3.9707,10.3519,37.6723,51.7727,49.4183,10.2617,169.7,不可购买,1000586349
25,968076,百达策略收益累积USD,美元,2026-04-23,13.311,-0.269,0.7646,8.8888,4.7755,11.4488,37.125,,,10.374,33.11,不可购买,1002185387
26,968034,汇丰亚太股票(日本除外)BC类-美元,美元,2026-04-23,11.4094,-0.0744,0.4251,11.0058,6.2644,11.6675,36.5774,50.1731,49.3279,11.1583,14.094,不可购买,1001647515
27,968035,汇丰亚太股票(日本除外)BM2类-美元,美元,2026-04-23,9.4208,-0.0753,0.4242,11.0045,6.2642,11.6662,36.5763,50.1722,49.593,11.1586,14.0953,不可购买,1001647516
28,968064,惠理高息股票基金P累积人民币类别,人民币,2026-04-23,17.7645,-0.0905,0.8968,7.6734,4.0917,10.5142,34.651,48.4842,48.1894,9.5769,77.645,可购买,1002079183
29,968065,惠理高息股票基金P每月派息人民币类别,人民币,2026-04-23,13.2131,-0.09,0.8934,7.5802,4.1241,10.6689,34.5759,48.674,48.3235,9.6036,73.4941,可购买,1002079184
30,968077,东方汇理创新动力股票基金分派,人民币,2026-04-22,1.2737,1.9857,3.984,13.8656,3.6202,4.1541,34.4558,41.5745,69.1601,4.282,35.954,可购买,1002185388
31,968078,东方汇理创新动力股票基金累算,人民币,2026-04-22,1.3662,1.9933,3.9884,13.869,3.6256,4.1629,34.4553,32.615,58.4184,4.2821,36.62,可购买,1002185389
32,968010,摩根太平洋证券人民币对冲累计,人民币,2026-04-23,27.17,-0.4397,-0.6581,10.0446,3.3473,8.9415,33.9083,43.9089,37.8488,9.4241,171.7,可购买,1000654965
33,968075,百达策略收益累积CNY,人民币,2026-04-23,16.0454,-0.3106,0.7149,8.6174,4.124,10.0379,33.3295,34.351,48.486,9.5092,60.454,可购买,1002185380
34,968156,东亚联丰环球股票基金R(2)类别美元,美元,2026-04-23,12.25,-0.2443,0.9061,9.2775,3.6379,7.8345,31.0161,,,6.1526,23.4879,不可购买,1003886901
35,968162,摩根太平洋证券人民币,人民币,2026-04-23,13.08,-0.3808,-0.5323,9.3645,2.1077,5.9109,29.249,,,7.7429,29.1214,可购买,1004005547
36,968167,施罗德亚洲高息股债基金-M类别(人民币对冲派息),人民币,2026-04-22,115.7726,-0.0147,1.3708,6.3968,6.384,11.0298,28.8452,,,9.787,24.4326,不可购买,1004008727
37,968013,施罗德亚洲高息股债基金-M类别(人民币对冲累积),人民币,2026-04-22,161.5505,-0.015,1.3678,6.391,6.3563,10.9681,28.6589,31.4721,31.5235,9.7526,72.1369,可购买,1001041191
38,968168,百达策略收益累积CNY(非对冲),人民币,2026-04-23,12.1293,-0.2771,0.8531,7.9071,2.7959,6.8698,28.5851,,,8.0138,21.293,可购买,1004090939
39,968008,恒生中国企业指数(港币),港元,2017-11-09,46.06,0.5896,1.0975,3.0886,7.0416,19.1104,28.1225,16.372,17.7103,27.6961,11.7419,不可购买,1000621096
40,968036,汇丰亚太股票(日本除外)BC类-人民币,人民币,2026-04-23,11.5069,-0.0842,0.5101,9.9991,4.249,7.0589,28.0422,41.2826,47.7839,8.7732,15.069,不可购买,1001647517
41,968037,汇丰亚太股票(日本除外)BM2类-人民币,人民币,2026-04-23,9.5211,-0.084,0.5088,9.9994,4.249,7.0582,28.042,41.2604,48.0984,8.7726,15.3048,不可购买,1001647518
42,968033,东方汇理灵活配置增长基金累算,人民币,2026-04-22,1.5874,0.202,0.954,7.8617,1.7108,5.6646,25.8243,29.0674,27.1344,4.503,58.74,可购买,1001416619
43,968022,中银香港环球股,人民币,2026-04-22,363.7729,0.843,1.438,8.7962,1.3691,3.7159,25.4134,33.9443,63.3347,3.4968,184.8262,可购买,1001277264
44,968032,东方汇理灵活配置增长基金分派,人民币,2026-04-22,1.1392,0.1935,0.9571,7.5326,1.4064,5.0535,25.1042,53.6618,49.1327,3.9037,40.662,可购买,1001416618
45,968148,兴证国际核心精选系列-中国核心资产基金M类(人民币),人民币,2025-12-22,84.62,0.0591,0.9906,-0.7506,0.5705,9.6256,23.7315,45.096,17.4788,21.7904,-15.38,不可购买,1001919879
46,968166,施罗德亚洲高息股债基金-M类别(人民币派息),人民币,2026-04-22,109.3252,0.1153,1.6142,5.4684,4.8832,7.6268,23.5392,,,8.2001,19.0101,不可购买,1004008723
47,968165,施罗德亚洲高息股债基金-M类别(人民币累积),人民币,2026-04-22,119.4011,0.1152,1.6142,5.4652,4.8842,7.6281,23.5377,,,8.201,19.712,不可购买,1004008719
48,968157,东亚联丰环球股票基金R(3)类别人民币,人民币,2026-04-23,116.62,-0.1797,1.0573,8.3327,1.2545,3.4049,22.3034,,,3.9302,12.8836,可购买,1003886902
49,968158,摩根宜安香港人民币对冲,人民币,2026-04-23,12.28,-1.0475,-2.3847,6.8755,-4.7324,0.0815,18.6473,,,-0.3247,22.8,可购买,1004056091
50,968029,恒生指数(人民币),人民币,2026-04-23,1.0031,-0.9675,-1.8781,6.092,-3.4367,-0.8794,17.7762,55.8335,30.8164,-0.2684,0.31,可购买,1001376375
51,968043,惠理价值基金P港元,港元,2026-04-23,11.1522,-0.8676,1.0419,14.5507,7.8414,12.1591,16.1591,11.522,11.522,11.4707,11.522,不可购买,1001713916
52,968031,中银香港全天候香港股票基金,人民币,2026-04-23,9.16,-1.3994,-3.0688,7.3856,-6.5307,-4.8806,14.1454,33.5567,2.5526,-1.0799,-27.362,不可购买,1001402919
53,968030,中银香港香港股,人民币,2026-04-22,44.2223,-1.1569,1.0555,2.184,-4.4117,-3.6285,13.9832,55.8039,37.7564,-1.0751,37.7238,可购买,1001386871
54,968174,东方汇理创新动力股票基金非对冲分派,人民币,2026-04-22,1.1092,2.0799,4.2187,12.632,1.986,0.6442,10.92,,,2.353,10.92,不可购买,1004207498
55,968173,东方汇理创新动力股票基金非对冲累算,人民币,2026-04-22,1.1017,2.0849,4.2191,12.9254,2.2554,1.1569,10.17,,,2.8761,10.17,不可购买,1004169447
56,968171,东方汇理灵活配置增长基金非对冲累算,人民币,2026-04-22,1.098,0.3015,1.1888,6.9342,0.3289,2.5497,9.8,,,3.0502,9.8,不可购买,1004169445
57,968151,瑞银中国机会股票基金,人民币,2026-04-23,84.678,-1.2732,-2.0565,4.5046,-7.7722,-11.8846,8.7344,30.2057,16.823,-6.8059,-15.322,可购买,1002781356
58,968097,汇丰亚洲高收益债券BM2类-港元,港元,2026-04-23,5.1691,-0.1719,-0.1622,2.559,0.2649,1.0024,8.2791,14.1665,11.017,0.9089,-13.4506,不可购买,1002200688
59,968096,汇丰亚洲高收益债券BC类-港元,港元,2026-04-23,8.5947,-0.1731,-0.1591,2.5645,0.2438,0.9917,8.2647,13.2357,10.0953,0.9064,-14.053,不可购买,1002200686
60,968019,东亚联丰亚洲债券及货币A美元累积,美元,2026-04-23,24.76,-0.1613,0.0,3.772,0.6504,1.3923,8.2168,17.2348,22.3925,1.977,8.5965,不可购买,1001261478
