序号,截止日期,基金家数,机构持有比列,个人持有比列,内部持有比列,总份额
1,2025-12-31,24418,43.54,55.85,2.0,321404.3
2,2025-06-30,23094,43.98,55.59,1.66,312638.4
3,2024-12-31,21852,44.59,55.03,1.53,303777.38
4,2024-06-30,20630,45.44,54.31,1.31,299481.3
5,2023-12-31,19227,43.92,55.86,1.32,266178.85
6,2023-06-30,17981,45.77,54.12,1.14,263786.82
7,2022-12-31,16726,46.74,53.23,1.12,245886.54
8,2022-06-30,15373,48.43,51.67,0.92,245830.19
9,2021-12-31,13551,47.37,52.84,0.81,223047.85
10,2021-06-30,11800,46.79,53.68,0.65,203021.96
11,2020-12-31,10613,48.55,51.8,0.6,177103.29
12,2020-06-30,9618,50.46,49.83,0.58,161524.18
13,2019-12-31,8602,49.35,50.73,0.48,148597.63
14,2019-06-30,7816,48.47,51.78,0.45,147282.4
15,2018-12-31,7121,48.11,52.39,0.34,142042.26
16,2018-06-30,7021,44.02,56.0,0.28,140090.11
17,2017-12-31,6591,48.18,51.91,0.24,122782.24
18,2017-06-30,6120,49.29,50.81,0.27,117937.68
19,2016-12-31,4921,53.63,46.8,0.31,110089.49
20,2016-06-30,4179,54.11,46.11,0.26,116865.09
21,2015-12-31,4193,47.42,52.57,0.4,122292.88
22,2015-06-30,3339,38.34,61.55,0.55,91637.69
23,2014-12-31,2500,28.3,72.02,0.64,61490.76
24,2014-06-30,2227,27.46,72.38,0.91,57789.93
25,2013-12-31,1960,26.46,73.2,1.3,42607.26
26,2013-06-30,1688,24.29,75.51,1.36,36135.36
27,2012-12-31,1391,27.56,72.49,1.47,30319.83
28,2012-06-30,1169,23.78,75.82,2.24,27154.95
29,2011-12-31,1017,24.36,75.58,1.94,26469.05
30,2011-06-30,876,20.19,79.76,1.35,23881.04
31,2010-12-31,750,20.98,78.96,1.34,23378.68
32,2010-06-30,664,16.12,83.55,0.96,23800.47
33,2009-12-31,600,19.66,80.34,0.35,23830.36
34,2009-06-30,522,14.1,85.9,0.03,22587.19
35,2008-12-31,455,15.23,84.31,0.02,25548.39
36,2008-06-30,391,11.87,88.56,0.01,22661.57
37,2007-12-31,367,10.65,89.74,0.01,22415.78
38,2007-06-30,340,14.51,85.67,0.33,11971.14
39,2006-12-31,300,31.2,67.94,0.0,4828.31
40,2006-06-30,249,46.91,50.57,0.0,3576.32
41,2005-12-31,211,46.04,50.15,0.0,4721.09
42,2005-06-30,184,45.49,54.28,0.0,4338.6
43,2004-12-31,153,41.09,58.9,0.0,3182.37
44,2004-06-30,127,45.74,54.25,0.0,2576.85
