业绩类型,周期,本产品区间收益,本产品最大回撒,周期收益同类排名
年度业绩,成立以来,632.9602,59.09,108/5313
年度业绩,今年以来,4.0627863479,15.89,3170/5313
年度业绩,2025,32.96,12.48,2029/5118
年度业绩,2024,5.25,15.36,1900/4533
年度业绩,2023,-21.99,26.58,3456/4165
年度业绩,2022,-17.04,27.87,1577/3470
年度业绩,2021,-7.36,21.63,2232/2604
年度业绩,2020,27.63,14.39,955/1492
年度业绩,2019,26.02,11.81,629/875
年度业绩,2018,-19.05,23.65,222/652
年度业绩,2017,17.19,6.94,229/540
年度业绩,2016,-22.73,24.67,379/484
年度业绩,2015,25.72,40.81,366/460
年度业绩,2014,15.29,10.66,41/80
年度业绩,2013,15.71,9.96,25/75
年度业绩,2012,7.25,12.67,16/72
年度业绩,2011,-24.45,29.07,44/72
年度业绩,2010,3.45,16.23,37/71
年度业绩,2009,67.35,21.29,31/71
年度业绩,2008,-44.73,53.97,14/71
年度业绩,2007,133.29,15.58,12/71
年度业绩,2006,117.64,12.46,22/60
年度业绩,2005,-5.33,18.35,46/48
年度业绩,2004,3.92,18.06,6/40
年度业绩,2003,13.1,12.68,11/22
年度业绩,2002,-3.1,11.93,6/11
阶段业绩,近1月,11.4737847481,,2225/5241
阶段业绩,近3月,-5.6903825987,15.89,3848/5113
阶段业绩,近6月,6.8246435827,15.89,2753/4884
阶段业绩,近1年,35.8805743259,15.89,2316/4530
阶段业绩,近3年,21.8992907504,29.9,1820/3500
阶段业绩,近5年,-13.0744852171,53.15,1226/1797
