基金代码,基金简称,2026-04-24-万份收益,2026-04-24-7日年化%,2026-04-24-单位净值,2026-04-23-万份收益,2026-04-23-7日年化%,2026-04-23-单位净值,日涨幅,成立日期,基金经理,手续费,可购全部
000713,摩根天添宝货币B,---,---,---,0.2561,0.9200%,---,---,2014-11-25,孟晨波 等,0费率,购买
004501,嘉实现金添利货币,---,---,---,0.2813,1.0200%,---,---,2017-03-29,李��,0费率,购买
001101,银华惠添益货币A,---,---,---,0.2808,1.0060%,---,---,2016-07-21,魏昕宇,0费率,购买
002958,财通财通宝货币B,---,---,---,0.3264,1.2400%,---,---,2016-07-27,罗晓倩 等,0费率,购买
002957,财通财通宝货币A,---,---,---,0.2599,0.9950%,---,---,2016-07-27,罗晓倩 等,0费率,购买
002883,华润元大现金通货币A,---,---,---,0.2760,1.0230%,---,---,2016-07-27,程涛涛 等,0费率,购买
003042,交银活期通货币A,---,---,---,0.2667,1.0070%,---,---,2016-07-27,黄莹洁,0费率,购买
003043,交银活期通货币E,---,---,---,0.3325,1.2500%,---,---,2016-07-27,黄莹洁,0费率,购买
410002,华富货币A,---,---,---,0.2690,0.9120%,---,---,2006-06-21,马思嘉,0费率,购买
400005,东方金账簿货币A,---,---,---,0.3455,1.3070%,---,---,2006-08-02,郑雪莹,0费率,购买
482002,工银货币A,---,---,---,0.2250,0.8620%,---,---,2006-03-20,王朔 等,0费率,购买
460106,华泰柏瑞货币B,---,---,---,0.3159,1.3560%,---,---,2009-05-06,郑青,0费率,购买
420106,天弘现金管家货币B,---,---,---,0.2869,1.3110%,---,---,2012-06-20,刘莹 等,0费率,购买
420006,天弘现金管家货币A,---,---,---,0.2109,1.0650%,---,---,2012-06-20,刘莹 等,0费率,购买
541011,汇丰晋信货币B,---,---,---,0.2647,1.3300%,---,---,2011-11-02,李媛媛 等,0费率,购买
583001,东吴货币A,---,---,---,0.2906,1.0580%,---,---,2010-05-11,邵笛 等,0费率,购买
000868,国投瑞银增利宝货币A,---,---,---,0.2889,1.0540%,---,---,2014-11-13,颜文浩,0费率,购买
000860,银华惠增利货币A,---,---,---,0.3560,1.3490%,---,---,2014-11-14,冯小莺 等,0费率,购买
003075,国联货币E,---,---,---,0.2477,0.9090%,---,---,2016-08-18,李倩 等,0费率,购买
202307,南方收益宝货币A,---,---,---,0.3068,1.1280%,---,---,2013-01-22,蔡奕奕 等,0费率,购买
202308,南方收益宝货币B,---,---,---,0.3725,1.3710%,---,---,2013-01-22,蔡奕奕 等,0费率,购买
004167,安信活期宝货币B,---,---,---,0.3986,1.2910%,---,---,2016-12-22,任凭 等,0费率,购买
007866,创金合信货币C,---,---,---,0.3352,1.2630%,---,---,2019-08-19,郑振源 等,0费率,购买
003534,浦银安盛日日丰货币A,---,---,---,0.3087,1.1240%,---,---,2016-11-07,曹治国,0费率,购买
000818,诺安天天宝C,---,---,---,0.2603,1.0740%,---,---,2014-09-24,岳帅 等,0费率,购买
005134,长信长金通货币A,---,---,---,0.3418,1.2660%,---,---,2017-09-08,陆莹 等,0费率,购买
003228,浦银安盛日日鑫货币A,---,---,---,0.2974,1.1230%,---,---,2016-11-30,廉素君 等,0费率,购买
003792,民生加银现金宝货币C,---,---,---,0.2274,1.0730%,---,---,2017-04-24,李文君 等,0费率,购买
001842,九泰日添金货币A,---,---,---,0.2412,0.9910%,---,---,2015-12-08,王�[,0费率,购买
002260,中信建投添鑫宝A,---,---,---,0.1828,0.8250%,---,---,2015-12-16,潘泓宇,0费率,购买
