序号,基金代码,基金简称,日期,万份收益,年化收益率7日,年化收益率14日,年化收益率28日,近1月,近3月,近6月,近1年,近2年,近3年,近5年,今年来,成立来,手续费
1,000682,信澳慧管家货币C,2026-04-23,0.4146,1.46,1.4732,1.4753,0.13,0.37,0.76,1.56,3.41,5.49,9.82,0.47,36.4,0.00%
2,016778,长城收益宝货币C,2026-04-23,0.3709,1.37,1.3777,1.3983,0.12,0.35,0.73,1.53,3.47,5.9,,0.45,7.27,0.00%
3,004121,兴银现金添利A,2026-04-23,0.5042,1.46,1.3986,1.4321,0.12,0.35,0.72,1.51,3.36,5.99,9.84,0.44,23.35,0.00%
4,004869,国联日盈B,2026-04-23,0.3635,1.32,1.5846,1.475,0.12,0.36,0.72,1.51,3.33,5.68,9.77,0.45,22.48,0.00%
5,519589,交银货币B,2026-04-23,0.3645,1.346,1.4521,1.3932,0.12,0.35,0.73,1.51,3.32,5.61,10.29,0.44,68.81,0.00%
6,000716,工银薪金货币B,2026-04-23,0.3474,1.284,1.4482,1.4364,0.12,0.36,0.73,1.5,3.32,5.68,10.38,0.45,38.94,0.00%
7,000627,大成丰财宝货币B,2026-04-23,0.3622,1.373,1.3766,1.3813,0.12,0.35,0.71,1.5,3.31,5.46,10.19,0.44,37.48,0.00%
8,000725,大成添利宝货币B,2026-04-23,0.3948,1.366,1.3712,1.379,0.12,0.35,0.71,1.5,3.38,5.65,9.75,0.44,36.28,0.00%
9,001526,鑫元安鑫宝A,2026-04-23,0.3678,1.363,1.386,1.383,0.12,0.35,0.72,1.5,3.33,5.66,10.41,0.44,24.77,0.00%
10,002890,交银天利宝货币E,2026-04-23,0.3912,1.362,1.3911,1.401,0.12,0.36,0.74,1.5,3.31,5.66,10.82,0.45,28.6,0.00%
11,007866,创金合信货币C,2026-04-23,0.3352,1.263,1.3798,1.4095,0.12,0.35,0.72,1.5,3.39,5.76,10.25,0.44,14.9,0.00%
12,010883,中信保诚智惠金货币C,2026-04-23,0.3252,1.378,1.3284,1.3235,0.11,0.36,0.72,1.5,3.4,5.78,10.03,0.45,11.0,0.00%
13,000602,富国安益货币A,2026-04-23,0.4001,1.364,1.3536,1.3975,0.12,0.35,0.71,1.49,3.36,5.71,10.52,0.44,34.86,0.00%
14,001698,大成恒丰宝货币B,2026-04-23,0.3757,1.355,1.3588,1.388,0.12,0.35,0.71,1.49,3.39,5.71,8.66,0.44,27.69,0.00%
15,001821,兴全天添益货币B,2026-04-23,0.3705,1.375,1.3796,1.3991,0.12,0.35,0.71,1.49,3.38,5.79,10.83,0.44,32.2,0.00%
16,002234,泰信天天收益货币B,2026-04-23,0.3382,1.305,1.3125,1.5141,0.13,0.35,0.73,1.49,3.29,5.76,10.73,0.45,27.21,0.00%
17,002937,华夏沃利货币B,2026-04-23,0.3686,1.558,1.4973,1.4757,0.12,0.35,0.72,1.49,3.36,5.67,10.53,0.44,26.92,0.00%
18,004137,博时合惠货币B,2026-04-23,0.3662,1.357,1.3673,1.3937,0.12,0.35,0.71,1.49,3.35,5.69,10.68,0.44,28.05,0.00%
19,004417,兴全货币B,2026-04-23,0.362,1.343,1.3475,1.361,0.11,0.35,0.71,1.49,3.35,5.72,10.71,0.44,27.07,0.00%
20,005107,广发添利货币B,2026-04-23,0.5202,1.422,1.4181,1.4185,0.12,0.35,0.72,1.49,3.36,5.68,10.35,0.44,21.77,0.00%
21,163820,中银货币B,2026-04-23,0.3635,1.374,1.3825,1.4026,0.12,0.35,0.72,1.49,3.35,5.64,10.33,0.44,49.55,0.00%
22,310339,申万菱信收益宝货币B,2026-04-23,0.3346,1.466,1.4305,1.4607,0.12,0.35,0.72,1.49,3.35,5.66,9.91,0.44,42.86,0.00%
23,519507,万家货币B,2026-04-23,0.3771,1.376,1.3611,1.3812,0.12,0.35,0.71,1.49,3.36,5.68,10.42,0.44,42.45,0.00%
24,000621,易方达现金增利货币B,2026-04-23,0.3723,1.388,1.3931,1.4013,0.12,0.35,0.72,1.48,3.33,5.71,10.81,0.45,37.26,0.00%
25,000700,宏利货币B,2026-04-23,0.3561,1.506,1.3966,1.3464,0.11,0.34,0.71,1.48,3.33,5.7,10.76,0.43,38.62,0.00%
26,000662,银华活钱宝货币F,2026-04-23,0.3686,1.356,1.3561,1.3767,0.12,0.35,0.71,1.48,3.31,5.64,10.37,0.44,36.24,0.00%
27,000759,平安财富宝货币A,2026-04-23,0.396,1.371,1.379,1.4057,0.12,0.35,0.71,1.48,3.34,5.67,10.49,0.44,38.88,0.00%
28,000830,易方达天天发货币B,2026-04-23,0.364,1.34,1.3425,1.3652,0.12,0.35,0.71,1.48,3.36,5.74,10.47,0.44,26.26,0.00%
