基金代码,拼音缩写,基金简称,基金类型,拼音全称
000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE
000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE
000003,ZHKZZZQA,中海可转债债券A,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANA
000004,ZHKZZZQC,中海可转债债券C,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANC
000005,JSZQXYDQZQ,嘉实增强信用定期债券,债券型-混合一级,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA
000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,指数型-股票,JIASHIZHONGZHENG500ETFLIANJIEA
000009,YFDTTLCHBA,易方达天天理财货币A,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIA
000010,YFDTTLCHBB,易方达天天理财货币B,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIB
000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
000013,YFDTTLCHBR,易方达天天理财货币R,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIR
000014,HXJLZQA,华夏聚利债券A,债券型-混合一级,HUAXIAJULIZHAIQUANA
000015,HXCZZQA,华夏纯债债券A,债券型-长债,HUAXIACHUNZHAIZHAIQUANA
000016,HXCZZQC,华夏纯债债券C,债券型-长债,HUAXIACHUNZHAIZHAIQUANC
000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE
000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA
000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE
000024,DMSLZQZQA,大摩双利增强债券A,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANA
000025,DMSLZQZQC,大摩双利增强债券C,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANC
000028,HFAXZQA,华富安鑫债券A,债券型-混合二级,HUAFUANXINZHAIQUANA
000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA
000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA
