基金代码,基金名称,投资类型,募集起始日,募集终止日,管理人,基金经理,认购费率,最低认购,基金类型,投资风格
016949,泰信添瑞债券A,债券型,2026-04-13,2026-04-28,泰信基金管理有限公司,张安格,0.3,1.0,开放式基金,
022411,华富淳丰保守养老目标一年持有期混合(FOF),基金型,2026-04-13,2026-04-24,华富基金管理有限公司,严律,0.5,10.0,开放式基金,
022575,人保民鸿混合A,混合型,2026-04-09,2026-07-08,中国人保资产管理有限公司,郭毅,0.4,1.0,开放式基金,
022576,人保民鸿混合C,混合型,2026-04-09,2026-07-08,中国人保资产管理有限公司,郭毅,0.0,1.0,开放式基金,
025538,永赢元嘉平衡多资产90天持有混合(FOF)A,基金型,2026-02-13,2026-05-12,永赢基金管理有限公司,李程,0.5,10.0,开放式基金,
025539,永赢元嘉平衡多资产90天持有混合(FOF)C,基金型,2026-02-13,2026-05-12,永赢基金管理有限公司,李程,0.0,10.0,开放式基金,
025767,尚正臻瑞3个月持有债券A,债券型,2026-03-18,2026-06-17,尚正基金管理有限公司,段吉华,0.3,10.0,开放式基金,
025768,尚正臻瑞3个月持有债券C,债券型,2026-03-18,2026-06-17,尚正基金管理有限公司,段吉华,0.0,10.0,开放式基金,
025872,鑫元浦鑫回报混合A,混合型,2026-04-08,2026-07-07,鑫元基金管理有限公司,刘宇涛,0.5,1.0,开放式基金,
025873,鑫元浦鑫回报混合C,混合型,2026-04-08,2026-07-07,鑫元基金管理有限公司,刘宇涛,0.0,1.0,开放式基金,
025894,景顺长城盈丰多元配置三个月持有期混合(ETF-FOF)A,基金型,2026-04-14,2026-07-13,景顺长城基金管理有限公司,江虹,0.8,1.0,开放式基金,
025895,景顺长城盈丰多元配置三个月持有期混合(ETF-FOF)C,基金型,2026-04-14,2026-07-13,景顺长城基金管理有限公司,江虹,0.0,1.0,开放式基金,
026047,鑫元融鑫添益债券A,债券型,2026-04-22,2026-07-21,鑫元基金管理有限公司,曹建华,0.3,1.0,开放式基金,
026048,鑫元融鑫添益债券C,债券型,2026-04-22,2026-07-21,鑫元基金管理有限公司,曹建华,0.0,1.0,开放式基金,
026085,汇丰晋信慧泰债券A,债券型,2026-04-21,2026-07-20,汇丰晋信基金管理有限公司,吴刘,0.3,1000.0,开放式基金,
026086,汇丰晋信慧泰债券C,债券型,2026-04-21,2026-07-20,汇丰晋信基金管理有限公司,吴刘,0.0,1000.0,开放式基金,
026158,鹏华上证科创板200指数增强A,股票型,2026-04-07,2026-04-24,鹏华基金管理有限公司,时赟超,0.3,1.0,开放式基金,平衡型
026159,鹏华上证科创板200指数增强C,股票型,2026-04-07,2026-04-24,鹏华基金管理有限公司,时赟超,0.0,1.0,开放式基金,平衡型
026208,金元顺安丰惠债券A,债券型,2026-04-08,2026-04-28,金元顺安基金管理有限公司,苏利华,0.3,10.0,开放式基金,
026209,金元顺安丰惠债券C,债券型,2026-04-08,2026-04-28,金元顺安基金管理有限公司,苏利华,0.0,10.0,开放式基金,
026246,汇丰晋信港股精选股票(QDII)人民币A,股票型,2026-04-08,2026-04-28,汇丰晋信基金管理有限公司,许廷全,0.8,10.0,开放式基金,成长型
026247,汇丰晋信港股精选股票(QDII)人民币C,股票型,2026-04-08,2026-04-28,汇丰晋信基金管理有限公司,许廷全,0.0,10.0,开放式基金,成长型
026248,汇丰晋信港股精选股票(QDII)美元现汇A,股票型,2026-04-08,2026-04-28,汇丰晋信基金管理有限公司,许廷全,0.8,10.0,开放式基金,成长型
026259,银华医疗创新混合(QDII)A,混合型,2026-04-07,2026-04-27,银华基金管理股份有限公司,秦锋,0.8,10.0,开放式基金,成长型
026260,银华医疗创新混合(QDII)C,混合型,2026-04-07,2026-04-27,银华基金管理股份有限公司,秦锋,0.0,10.0,开放式基金,成长型
026300,前海开源裕安3个月持有期混合(FOF)A,基金型,2026-04-30,2026-07-29,前海开源基金管理有限公司,刘田,0.5,10.0,开放式基金,
026301,前海开源裕安3个月持有期混合(FOF)C,基金型,2026-04-30,2026-07-29,前海开源基金管理有限公司,刘田,0.0,10.0,开放式基金,
026312,惠升和利安丰60天持有债券A,债券型,2026-04-07,2026-04-24,惠升基金管理有限责任公司,卓勇,0.3,1.0,开放式基金,
026313,惠升和利安丰60天持有债券C,债券型,2026-04-07,2026-04-24,惠升基金管理有限责任公司,卓勇,0.0,1.0,开放式基金,
026334,鹏扬辰利债券A,债券型,2026-05-11,2026-05-22,鹏扬基金管理有限公司,吴西燕,0.3,10.0,开放式基金,
026335,鹏扬辰利债券C,债券型,2026-05-11,2026-05-22,鹏扬基金管理有限公司,吴西燕,0.0,10.0,开放式基金,
026338,国泰盈享配置6个月持有混合发起(FOF)A,基金型,2026-04-15,2026-04-30,国泰基金管理有限公司,徐皓,0.5,1.0,开放式基金,
026339,国泰盈享配置6个月持有混合发起(FOF)C,基金型,2026-04-15,2026-04-30,国泰基金管理有限公司,徐皓,0.0,1.0,开放式基金,
026351,博道衍晟混合A,混合型,2026-04-01,2026-04-24,博道基金管理有限公司,刘玮明,0.5,1.0,开放式基金,
026352,博道衍晟混合C,混合型,2026-04-01,2026-04-24,博道基金管理有限公司,刘玮明,0.0,1.0,开放式基金,
026365,招商周期精选混合A,混合型,2026-05-11,2026-05-22,招商基金管理有限公司,朱红裕,0.8,1.0,开放式基金,平衡型
026366,招商周期精选混合C,混合型,2026-05-11,2026-05-22,招商基金管理有限公司,朱红裕,0.0,1.0,开放式基金,平衡型
026367,永赢致远成长混合A,混合型,2026-05-06,2026-05-22,永赢基金管理有限公司,钱厚翔,0.8,1.0,开放式基金,成长型
026368,永赢致远成长混合C,混合型,2026-05-06,2026-05-22,永赢基金管理有限公司,钱厚翔,0.0,1.0,开放式基金,成长型
026409,银华启恒90天持有期债券A,债券型,2026-04-27,2026-05-20,银华基金管理股份有限公司,冯帆,0.3,1.0,开放式基金,
026410,银华启恒90天持有期债券C,债券型,2026-04-27,2026-05-20,银华基金管理股份有限公司,冯帆,0.0,1.0,开放式基金,
026415,汇百川CFETS0-5年期气候变化高等级债券综合指数,债券型,2026-03-18,2026-06-17,汇百川基金管理有限公司,倪伟,0.3,,开放式基金,
