基金代码,基金简称,2026-04-24-单位净值,2026-04-24-累计净值,2026-04-23-单位净值,2026-04-23-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
013942,华宝中证稀有金属指数增强发起A,1.2605,1.2605,1.2281,1.2281,0.0324,2.64,开放申购,开放赎回,0.10%
013943,华宝中证稀有金属指数增强发起C,1.2441,1.2441,1.2122,1.2122,0.0319,2.63,开放申购,开放赎回,0.00%
010335,华宝竞争优势混合A,1.0737,1.0737,1.0525,1.0525,0.0212,2.01,开放申购,开放赎回,0.15%
019925,华宝竞争优势混合C,1.0637,1.0637,1.0427,1.0427,0.021,2.01,开放申购,开放赎回,0.00%
000867,华宝品质生活股票,1.266,1.316,1.263,1.313,0.003,0.24,开放申购,开放赎回,0.15%
011389,国都聚成混合,0.6363,0.6363,0.6359,0.6359,0.0004,0.06,开放申购,开放赎回,0.10%
018570,华宝安元债券A,1.1461,1.1461,1.1455,1.1455,0.0006,0.05,开放申购,开放赎回,0.08%
024305,华宝安元债券D,1.1445,1.1445,1.1439,1.1439,0.0006,0.05,开放申购,开放赎回,0.80%
018571,华宝安元债券C,1.1369,1.1369,1.1363,1.1363,0.0006,0.05,开放申购,开放赎回,0.00%
016806,华宝安融六个月持有期债券A,1.0271,1.0271,1.0268,1.0268,0.0003,0.03,开放申购,开放赎回,0.08%
016807,华宝安融六个月持有期债券C,1.0137,1.0137,1.0134,1.0134,0.0003,0.03,开放申购,开放赎回,0.00%
022218,华宝宝裕债券D,1.0972,1.0972,1.097,1.097,0.0002,0.02,暂停申购,开放赎回,0.00%
006826,华宝宝裕债券A,1.0991,1.1961,1.099,1.196,0.0001,0.01,暂停申购,开放赎回,0.80%
007805,华宝浮动净值货币,108.0182,110.0182,108.0199,110.0199,-0.0017,0.00,暂停申购,开放赎回,0.00%
240004,华宝动力组合混合A,3.3624,5.8724,3.3623,5.8723,0.0001,0.00,开放申购,开放赎回,0.15%
002020,国都创新驱动,0.82,0.86,0.82,0.86,0,0.00,开放申购,开放赎回,0.15%
021341,华宝0-2年政金债指数C,1.0337,1.0337,1.0338,1.0338,-0.0001,-0.01,开放申购,开放赎回,0.00%
021340,华宝0-2年政金债指数A,1.0317,1.0317,1.0318,1.0318,-0.0001,-0.01,开放申购,开放赎回,0.05%
007435,华宝宝怡债券,1.101,1.2318,1.1012,1.232,-0.0002,-0.02,暂停申购,开放赎回,0.80%
015414,华宝宝隆债券A,1.0621,1.1041,1.0623,1.1043,-0.0002,-0.02,限大额,开放赎回,0.08%
015415,华宝宝隆债券C,1.0596,1.1016,1.0598,1.1018,-0.0002,-0.02,限大额,开放赎回,0.00%
009947,华宝宝泓债券,1.1157,1.1707,1.116,1.171,-0.0003,-0.03,暂停申购,开放赎回,0.08%
020154,华宝0-3年政金债指数C,1.0715,1.0715,1.0718,1.0718,-0.0003,-0.03,开放申购,开放赎回,0.00%
020153,华宝0-3年政金债指数A,1.0707,1.0707,1.071,1.071,-0.0003,-0.03,开放申购,开放赎回,0.05%
024065,华宝新活力混合I,2.1491,2.1491,2.1499,2.1499,-0.0008,-0.04,开放申购,开放赎回,0.00%
003154,华宝新活力混合C,2.1475,2.2025,2.1484,2.2034,-0.0009,-0.04,开放申购,开放赎回,0.00%
012745,华宝宝瑞一年定开债,1.148,1.183,1.1486,1.1836,-0.0006,-0.05,暂停申购,暂停赎回,0.08%
001088,华宝国策导向混合A,1.494,1.494,1.509,1.509,-0.015,-0.99,开放申购,开放赎回,0.15%
019108,华宝国策导向混合C,1.471,1.471,1.486,1.486,-0.015,-1.01,开放申购,开放赎回,0.00%
026754,华宝中证光伏产业指数发起,0.9418,0.9418,0.9558,0.9558,-0.014,-1.46,开放申购,开放赎回,0.03%
240011,华宝大盘精选混合,5.9949,6.6217,6.1206,6.7474,-0.1257,-2.05,开放申购,开放赎回,0.15%
240009,华宝先进成长混合,5.4808,5.7488,5.6226,5.8906,-0.1418,-2.52,开放申购,开放赎回,0.15%
009756,华宝宝利定开债券,1.023,1.248,,,,,暂停申购,暂停赎回,0.06%
007869,汇添富汇鑫货币B,,,112.8969,112.8969,,,暂停申购,开放赎回,0.00%
007746,华安现金润利,,,112.2284,112.2284,,,开放申购,开放赎回,0.00%
007868,汇添富汇鑫货币A,,,111.8287,111.8287,,,暂停申购,开放赎回,0.00%
007858,鹏华浮动净值型发起式货币,,,110.3422,1.1084,,,限大额,开放赎回,0.00%
007708,中银瑞福浮动净值型货币A,,,106.1763,111.5308,,,暂停申购,开放赎回,0.00%
007709,中银瑞福浮动净值型货币C,,,106.1763,111.8803,,,暂停申购,开放赎回,0.00%
160641,鹏华丰锐债券LOF,,,104.8839,1.5121,,,开放申购,开放赎回,0.08%
007696,嘉实融享货币,,,101.3547,115.0247,,,暂停申购,开放赎回,0.00%
003816,银华日利B,,,100.4255,133.3945,,,开放申购,开放赎回,0.00%
511880,银华日利ETF,,,100.3755,133.6429,,,场内交易,场内交易,0.00%
000011,华夏大盘精选混合A,,,22.262,29.568,,,开放申购,开放赎回,0.15%
012628,华夏大盘精选混合C,,,21.542,22.042,,,开放申购,开放赎回,0.00%
070002,嘉实增长混合,,,20.3177,21.0087,,,暂停申购,开放赎回,0.15%
166301,华商新趋势优选灵活配置混合,,,16.673,16.673,,,开放申购,开放赎回,0.15%
960007,摩根新兴动力混合H,,,11.9269,11.9269,,,开放申购,开放赎回,
377240,摩根新兴动力混合A,,,11.9185,11.9185,,,开放申购,开放赎回,0.15%
014642,摩根新兴动力混合C,,,11.6664,11.6664,,,开放申购,开放赎回,0.00%
720001,财通价值动量混合A,,,11.418,11.889,,,开放申购,开放赎回,0.15%
660015,农银行业轮动混合A,,,11.188,11.288,,,开放申购,开放赎回,0.15%
015850,农银行业轮动混合C,,,11.0119,11.0119,,,开放申购,开放赎回,0.00%
910004,东方红启恒三年持有混合A,,,10.9419,11.4949,,,暂停申购,暂停赎回,
001437,易方达瑞享混合I,,,10.5424,10.5424,,,开放申购,开放赎回,0.06%
011724,东方红启恒三年持有混合B,,,10.2522,10.2522,,,暂停申购,开放赎回,1.20%
040025,华安科技动力混合A,,,10.127,10.914,,,开放申购,开放赎回,0.15%
000929,博时黄金D,,,10.0357,4.2519,,,暂停申购,开放赎回,0.05%
014975,华安科技动力混合C,,,9.89,9.89,,,开放申购,开放赎回,0.00%
000930,博时黄金I,,,9.8527,4.0982,,,暂停申购,开放赎回,0.00%
162204,宏利行业精选混合A,,,9.8043,11.6093,,,开放申购,开放赎回,0.15%
015601,宏利行业精选混合C,,,9.5877,9.5877,,,开放申购,开放赎回,0.00%
700003,平安策略先锋混合,,,9.435,9.535,,,开放申购,开放赎回,0.15%
519674,银河创新成长混合A,,,9.3921,9.3921,,,开放申购,开放赎回,0.15%
014143,银河创新成长混合C,,,9.1485,9.1485,,,开放申购,开放赎回,0.00%
100039,富国通胀通缩主题轮动混合A,,,9.111,9.161,,,开放申购,开放赎回,0.15%
090018,大成新锐产业混合A,,,9.076,9.576,,,限大额,开放赎回,0.15%
000404,易方达新兴成长灵活配置,,,9.058,9.058,,,开放申购,开放赎回,0.15%
018460,大成新锐产业混合C,,,8.949,8.949,,,限大额,开放赎回,0.00%
015692,富国通胀通缩主题轮动混合C,,,8.909,8.909,,,开放申购,开放赎回,0.00%
240008,华宝收益增长混合A,,,8.5565,8.5565,,,开放申购,开放赎回,0.15%
001438,易方达瑞享混合E,,,8.5283,8.5283,,,开放申购,开放赎回,0.00%
630002,华商盛世成长混合,,,8.472,10.127,,,开放申购,开放赎回,0.15%
470009,汇添富民营活力混合,,,8.374,8.624,,,开放申购,开放赎回,0.15%
015573,华宝收益增长混合C,,,8.351,8.351,,,开放申购,开放赎回,0.00%
006265,红土创新新科技股票A,,,8.2665,8.3165,,,开放申购,开放赎回,0.15%
026155,红土创新新科技股票C,,,8.2506,8.2506,,,开放申购,开放赎回,0.00%
519732,交银定期支付双息平衡混合,,,8.037,8.037,,,开放申购,开放赎回,0.15%
165516,中信保诚周期轮动混合(LOF)A,,,7.9973,9.1363,,,开放申购,开放赎回,0.15%
000308,建信创新中国混合,,,7.924,7.924,,,开放申购,开放赎回,0.15%
519091,新华泛资源优势混合,,,7.8734,7.8734,,,开放申购,开放赎回,0.15%
006533,易方达科融混合,,,7.8337,7.8337,,,限大额,开放赎回,0.15%
014335,中信保诚周期轮动混合(LOF)C,,,7.7952,7.7952,,,开放申购,开放赎回,0.00%
