净值日期,单位净值,日增长率
2001-12-18,1.0,0.0
2001-12-21,1.0,0.0
2001-12-28,1.0,0.0
2002-01-04,1.0,0.0
2002-01-11,1.001,0.1
2002-01-18,1.0,-0.0999
2002-01-25,1.005,0.5
2002-01-30,1.002,-0.2985
2002-01-31,1.002,0.7984
2002-02-01,1.009,-0.099
2002-02-04,1.011,0.1982
2002-02-05,1.012,0.0989
2002-02-06,1.009,-0.2964
2002-02-07,1.012,0.2973
2002-02-08,1.012,0.0
2002-02-25,1.014,0.1976
2002-02-26,1.015,0.0986
2002-02-27,1.015,0.0
2002-02-28,1.013,-0.197
2002-03-01,1.011,-0.1974
2002-03-04,1.013,0.1978
2002-03-05,1.019,0.5923
2002-03-06,1.02,0.0981
2002-03-07,1.026,0.5882
2002-03-08,1.031,0.4873
2002-03-11,1.036,0.485
2002-03-12,1.03,-0.5792
2002-03-13,1.025,-0.4854
2002-03-14,1.034,0.878
2002-03-15,1.025,-0.8704
2002-03-18,1.027,0.1951
2002-03-19,1.035,0.779
2002-03-20,1.039,0.3865
2002-03-21,1.04,0.0962
2002-03-22,1.036,-0.3846
2002-03-25,1.036,0.0
2002-03-26,1.03,-0.5792
2002-03-27,1.032,0.1942
2002-03-28,1.032,0.0
2002-03-29,1.023,-0.8721
2002-03-31,1.023,0.0
2002-04-01,1.024,0.0978
2002-04-02,1.019,-0.4883
2002-04-03,1.02,0.0981
2002-04-04,1.03,0.9804
2002-04-05,1.029,-0.0971
2002-04-08,1.029,0.0
2002-04-09,1.041,1.1662
2002-04-10,1.045,0.3842
2002-04-11,1.04,-0.4785
2002-04-12,1.042,0.1923
2002-04-15,1.041,-0.096
2002-04-16,1.04,-0.0961
2002-04-17,1.042,0.1923
2002-04-18,1.037,-0.4798
2002-04-19,1.039,0.1929
2002-04-22,1.037,-0.1925
2002-04-23,1.036,-0.0964
2002-04-24,1.031,-0.4826
2002-04-25,1.033,0.194
2002-04-26,1.038,0.484
2002-04-29,1.045,0.6744
2002-04-30,1.046,0.0957
2002-05-08,1.043,-0.2868
2002-05-09,1.043,0.0
2002-05-10,1.042,-0.0959
2002-05-13,1.037,-0.4798
2002-05-14,1.037,0.0
2002-05-15,1.034,-0.2893
2002-05-16,1.025,-0.8704
2002-05-17,1.031,0.5854
2002-05-20,1.025,-0.582
2002-05-21,1.036,1.0732
2002-05-22,1.033,-0.2896
2002-05-23,1.035,0.1936
2002-05-24,1.033,-0.1932
2002-05-27,1.036,0.2904
2002-05-28,1.037,0.0965
2002-05-29,1.029,-0.7715
2002-05-30,1.03,0.0972
2002-05-31,1.027,-0.2913
2002-06-03,1.018,-0.8763
2002-06-04,1.02,0.1965
2002-06-05,1.012,-0.7843
2002-06-06,1.031,1.8775
2002-06-07,1.033,0.194
2002-06-10,1.03,-0.2904
2002-06-11,1.033,0.2913
2002-06-12,1.03,-0.2904
2002-06-13,1.024,-0.5825
2002-06-14,1.018,-0.5859
2002-06-17,1.018,0.0
2002-06-18,1.028,0.9823
2002-06-19,1.022,-0.5837
2002-06-20,1.025,0.2935
2002-06-21,1.042,1.6585
2002-06-24,1.086,4.2226
2002-06-25,1.087,0.0921
2002-06-26,1.065,0.46
2002-06-27,1.065,0.0
