序号,债券代码,债券名称,占净值比例,持仓市值,季度
1,230304,23进出04,4.59,11114.27,2023年4季度债券投资明细
2,101564021,15华能集MTN002,4.29,10379.44,2023年4季度债券投资明细
3,101901385,19中石油MTN006,3.78,9145.32,2023年4季度债券投资明细
4,230301,23进出01,2.11,5099.89,2023年4季度债券投资明细
5,160303,16进出03,1.73,4193.82,2023年4季度债券投资明细
6,113670,金23转债,0.08,202.92,2023年4季度债券投资明细
7,113563,柳药转债,0.04,98.39,2023年4季度债券投资明细
8,123119,康泰转2,0.02,48.59,2023年4季度债券投资明细
9,127073,天赐转债,0.02,58.98,2023年4季度债券投资明细
10,113633,科沃转债,0.02,47.19,2023年4季度债券投资明细
11,113061,拓普转债,0.01,21.62,2023年4季度债券投资明细
12,123114,三角转债,0.01,28.72,2023年4季度债券投资明细
13,128134,鸿路转债,0.01,31.98,2023年4季度债券投资明细
14,118031,天23转债,0.0,0.2,2023年4季度债券投资明细
15,118019,金盘转债,0.0,2.33,2023年4季度债券投资明细
16,123107,温氏转债,0.0,0.03,2023年4季度债券投资明细
17,123117,健帆转债,0.0,0.18,2023年4季度债券投资明细
18,230304,23进出04,4.05,11047.16,2023年3季度债券投资明细
19,101564021,15华能集MTN002,3.77,10301.03,2023年3季度债券投资明细
20,101901385,19中石油MTN006,3.45,9405.76,2023年3季度债券投资明细
21,220216,22国开16,2.97,8119.4,2023年3季度债券投资明细
22,220411,22农发11,1.86,5088.53,2023年3季度债券投资明细
23,113648,巨星转债,0.06,175.04,2023年3季度债券投资明细
24,113563,柳药转债,0.04,104.69,2023年3季度债券投资明细
25,123117,健帆转债,0.02,61.57,2023年3季度债券投资明细
26,113633,科沃转债,0.02,66.63,2023年3季度债券投资明细
27,127073,天赐转债,0.02,55.47,2023年3季度债券投资明细
28,123119,康泰转2,0.02,50.93,2023年3季度债券投资明细
29,113661,福22转债,0.01,40.55,2023年3季度债券投资明细
30,113061,拓普转债,0.01,22.23,2023年3季度债券投资明细
31,128134,鸿路转债,0.01,35.97,2023年3季度债券投资明细
32,123114,三角转债,0.01,31.16,2023年3季度债券投资明细
33,118019,金盘转债,0.0,2.39,2023年3季度债券投资明细
34,118031,天23转债,0.0,0.21,2023年3季度债券投资明细
35,123107,温氏转债,0.0,0.02,2023年3季度债券投资明细
36,220014,22附息国债14,3.83,11197.77,2023年2季度债券投资明细
37,101564021,15华能集MTN002,3.5,10239.61,2023年2季度债券投资明细
38,101901385,19中石油MTN006,3.2,9351.59,2023年2季度债券投资明细
39,220216,22国开16,2.77,8084.53,2023年2季度债券投资明细
40,200207,20国开07,2.11,6168.95,2023年2季度债券投资明细
41,123114,三角转债,0.15,445.84,2023年2季度债券投资明细
42,113648,巨星转债,0.06,184.35,2023年2季度债券投资明细
43,113563,柳药转债,0.04,108.85,2023年2季度债券投资明细
44,113633,科沃转债,0.02,67.83,2023年2季度债券投资明细
45,123119,康泰转2,0.02,47.93,2023年2季度债券投资明细
46,123117,健帆转债,0.02,60.68,2023年2季度债券投资明细
47,127073,天赐转债,0.02,62.25,2023年2季度债券投资明细
48,113061,拓普转债,0.01,22.68,2023年2季度债券投资明细
49,113661,福22转债,0.01,43.46,2023年2季度债券投资明细
50,128134,鸿路转债,0.01,36.04,2023年2季度债券投资明细
51,118019,金盘转债,0.0,2.3,2023年2季度债券投资明细
52,123107,温氏转债,0.0,0.03,2023年2季度债券投资明细
53,220014,22附息国债14,3.8,11139.61,2023年1季度债券投资明细
54,101564021,15华能集MTN002,3.57,10476.87,2023年1季度债券投资明细
55,101901385,19中石油MTN006,3.15,9245.03,2023年1季度债券投资明细
56,220216,22国开16,2.74,8027.62,2023年1季度债券投资明细
57,200207,20国开07,2.09,6133.08,2023年1季度债券投资明细
58,123114,三角转债,0.15,444.77,2023年1季度债券投资明细
59,113648,巨星转债,0.06,176.94,2023年1季度债券投资明细
60,113563,柳药转债,0.04,107.36,2023年1季度债券投资明细
61,127073,天赐转债,0.02,61.26,2023年1季度债券投资明细
62,123117,健帆转债,0.02,67.79,2023年1季度债券投资明细
63,113633,科沃转债,0.02,67.44,2023年1季度债券投资明细
64,123119,康泰转2,0.02,51.18,2023年1季度债券投资明细
65,113061,拓普转债,0.01,22.16,2023年1季度债券投资明细
66,128134,鸿路转债,0.01,37.6,2023年1季度债券投资明细
67,118019,金盘转债,0.0,2.54,2023年1季度债券投资明细
68,123107,温氏转债,0.0,0.03,2023年1季度债券投资明细
