序号,股票代码,股票名称,本期累计买入金额,占期初基金资产净值比例,季度
1,688281,华秦科技,13738.12,4.36,2023年4季度累计买入股票明细
2,600519,贵州茅台,10249.44,3.26,2023年4季度累计买入股票明细
3,002371,北方华创,9224.89,2.93,2023年4季度累计买入股票明细
4,002025,航天电器,8206.96,2.61,2023年4季度累计买入股票明细
5,600862,中航高科,7880.08,2.5,2023年4季度累计买入股票明细
6,000100,TCL科技,6535.15,2.08,2023年4季度累计买入股票明细
7,600941,中国移动,6239.52,1.98,2023年4季度累计买入股票明细
8,600378,昊华科技,5781.61,1.84,2023年4季度累计买入股票明细
9,002475,立讯精密,5690.78,1.81,2023年4季度累计买入股票明细
10,603986,兆易创新,5367.84,1.71,2023年4季度累计买入股票明细
11,300034,钢研高纳,5318.12,1.69,2023年4季度累计买入股票明细
12,600276,恒瑞医药,4919.0,1.56,2023年4季度累计买入股票明细
13,002415,海康威视,4862.49,1.54,2023年4季度累计买入股票明细
14,002230,科大讯飞,4741.17,1.51,2023年4季度累计买入股票明细
15,300408,三环集团,4582.06,1.46,2023年4季度累计买入股票明细
16,000333,美的集团,4348.61,1.38,2023年4季度累计买入股票明细
17,300760,迈瑞医疗,4305.37,1.37,2023年4季度累计买入股票明细
18,688012,中微公司,3603.95,1.14,2023年4季度累计买入股票明细
19,603589,口子窖,3492.94,1.11,2023年4季度累计买入股票明细
20,605168,三人行,3266.3,1.04,2023年4季度累计买入股票明细
21,688281,华秦科技,12833.86,4.08,2023年2季度累计买入股票明细
22,002025,航天电器,7807.23,2.48,2023年2季度累计买入股票明细
23,600862,中航高科,5482.89,1.74,2023年2季度累计买入股票明细
24,600378,昊华科技,4707.72,1.5,2023年2季度累计买入股票明细
25,000333,美的集团,4348.61,1.38,2023年2季度累计买入股票明细
26,300474,景嘉微,2782.7,0.88,2023年2季度累计买入股票明细
27,000738,航发控制,2748.84,0.87,2023年2季度累计买入股票明细
28,605168,三人行,2326.3,0.74,2023年2季度累计买入股票明细
29,300034,钢研高纳,2223.19,0.71,2023年2季度累计买入股票明细
30,601800,中国交建,2206.53,0.7,2023年2季度累计买入股票明细
31,600690,海尔智家,2102.62,0.67,2023年2季度累计买入股票明细
32,300031,宝通科技,2076.75,0.66,2023年2季度累计买入股票明细
33,603180,金牌厨柜,1953.8,0.62,2023年2季度累计买入股票明细
34,603589,口子窖,1911.59,0.61,2023年2季度累计买入股票明细
35,603259,药明康德,1901.82,0.6,2023年2季度累计买入股票明细
36,002371,北方华创,1843.21,0.59,2023年2季度累计买入股票明细
37,600276,恒瑞医药,1861.47,0.59,2023年2季度累计买入股票明细
38,688012,中微公司,1779.81,0.57,2023年2季度累计买入股票明细
39,600129,太极集团,1727.9,0.55,2023年2季度累计买入股票明细
40,301165,锐捷网络,1702.93,0.54,2023年2季度累计买入股票明细
