序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002025,航天电器,3.46,209.92,7947.67,2024年1季度股票投资明细
2,600862,中航高科,3.24,380.43,7441.16,2024年1季度股票投资明细
3,600941,中国移动,2.86,62.11,6568.75,2024年1季度股票投资明细
4,300395,菲利华,2.8,216.8,6417.42,2024年1季度股票投资明细
5,300034,钢研高纳,2.69,403.16,6168.33,2024年1季度股票投资明细
6,002371,北方华创,2.67,20.07,6134.03,2024年1季度股票投资明细
7,002475,立讯精密,2.3,179.77,5287.04,2024年1季度股票投资明细
8,600276,恒瑞医药,2.22,111.06,5105.35,2024年1季度股票投资明细
9,600522,中天科技,1.99,325.78,4570.69,2024年1季度股票投资明细
10,000100,TCL科技,1.82,893.37,4172.03,2024年1季度股票投资明细
11,002025,航天电器,4.85,246.26,11421.66,2024年2季度股票投资明细
12,603228,景旺电子,3.08,227.78,7243.29,2024年2季度股票投资明细
13,600862,中航高科,3.04,380.43,7144.43,2024年2季度股票投资明细
14,300395,菲利华,2.83,216.8,6666.74,2024年2季度股票投资明细
15,300034,钢研高纳,2.72,403.16,6406.2,2024年2季度股票投资明细
16,600522,中天科技,2.56,380.84,6036.31,2024年2季度股票投资明细
17,002475,立讯精密,2.37,141.91,5578.36,2024年2季度股票投资明细
18,002371,北方华创,1.98,14.57,4661.47,2024年2季度股票投资明细
19,002463,沪电股份,1.96,126.72,4625.28,2024年2季度股票投资明细
20,300408,三环集团,1.75,141.33,4125.42,2024年2季度股票投资明细
21,300308,中际旭创,1.45,24.71,3407.01,2024年2季度股票投资明细
22,002415,海康威视,1.39,105.57,3263.17,2024年2季度股票投资明细
23,600276,恒瑞医药,1.25,76.34,2935.97,2024年2季度股票投资明细
24,002241,歌尔股份,1.21,145.53,2839.29,2024年2季度股票投资明细
25,002938,鹏鼎控股,1.13,67.07,2666.7,2024年2季度股票投资明细
26,002126,银轮股份,1.12,151.78,2642.49,2024年2季度股票投资明细
27,002422,科伦药业,1.04,80.42,2439.14,2024年2季度股票投资明细
28,002384,东山精密,1.04,117.71,2436.6,2024年2季度股票投资明细
29,002273,水晶光电,1.03,142.59,2421.18,2024年2季度股票投资明细
30,002600,领益智造,1.02,337.86,2405.56,2024年2季度股票投资明细
31,600312,平高电气,0.95,114.88,2234.42,2024年2季度股票投资明细
32,600941,中国移动,0.94,20.53,2206.9,2024年2季度股票投资明细
33,002027,分众传媒,0.91,354.73,2149.66,2024年2季度股票投资明细
34,688041,海光信息,0.83,27.73,1949.93,2024年2季度股票投资明细
