序号,行业类别,占净值比例,市值,截止时间
1,制造业,56.58,136966.393202,2023-12-31
2,信息传输、软件和信息技术服务业,5.72,13849.954346,2023-12-31
3,批发和零售业,1.61,3895.257979,2023-12-31
4,金融业,1.4,3382.659,2023-12-31
5,科学研究和技术服务业,0.9,2179.468474,2023-12-31
6,卫生和社会工作,0.6,1447.636254,2023-12-31
7,采矿业,0.42,1012.166712,2023-12-31
8,文化、体育和娱乐业,0.15,358.496,2023-12-31
9,水利、环境和公共设施管理业,0.0,1.900211,2023-12-31
10,交通运输、仓储和邮政业,0.0,1.398141,2023-12-31
11,租赁和商务服务业,0.0,0.3058,2023-12-31
12,制造业,69.53,189787.963063,2023-09-30
13,科学研究和技术服务业,1.61,4388.935702,2023-09-30
14,批发和零售业,1.43,3896.705281,2023-09-30
15,金融业,1.17,3195.4081,2023-09-30
16,采矿业,1.17,3194.7589,2023-09-30
17,房地产业,0.96,2629.99041,2023-09-30
18,租赁和商务服务业,0.62,1688.184585,2023-09-30
19,信息传输、软件和信息技术服务业,0.52,1423.173173,2023-09-30
20,建筑业,0.21,571.626784,2023-09-30
21,卫生和社会工作,0.2,538.414546,2023-09-30
22,水利、环境和公共设施管理业,0.0,4.560998,2023-09-30
23,电力、热力、燃气及水生产和供应业,0.0,3.356397,2023-09-30
24,制造业,68.81,201157.775395,2023-06-30
25,批发和零售业,1.41,4129.958752,2023-06-30
26,房地产业,1.39,4067.173378,2023-06-30
27,科学研究和技术服务业,1.26,3684.969783,2023-06-30
28,采矿业,0.93,2716.7913,2023-06-30
29,信息传输、软件和信息技术服务业,0.78,2268.536719,2023-06-30
30,金融业,0.67,1962.9876,2023-06-30
31,租赁和商务服务业,0.35,1021.8266,2023-06-30
32,建筑业,0.34,982.386764,2023-06-30
33,卫生和社会工作,0.33,972.647166,2023-06-30
34,电力、热力、燃气及水生产和供应业,0.18,525.067947,2023-06-30
35,水利、环境和公共设施管理业,0.0,2.256657,2023-06-30
36,制造业,65.89,193354.962582,2023-03-31
37,科学研究和技术服务业,3.92,11490.739335,2023-03-31
38,租赁和商务服务业,1.9,5584.1935,2023-03-31
39,信息传输、软件和信息技术服务业,1.45,4256.190176,2023-03-31
40,金融业,1.35,3952.02181,2023-03-31
41,批发和零售业,0.9,2635.42924,2023-03-31
42,房地产业,0.86,2519.415738,2023-03-31
43,建筑业,0.24,708.283312,2023-03-31
44,交通运输、仓储和邮政业,0.24,699.4494,2023-03-31
45,文化、体育和娱乐业,0.23,669.0614,2023-03-31
46,卫生和社会工作,0.2,596.362379,2023-03-31
47,电力、热力、燃气及水生产和供应业,0.01,36.16032,2023-03-31
48,水利、环境和公共设施管理业,0.0,10.346959,2023-03-31
