序号,基金代码,基金简称,基金类型,最新净值/万份收益,最新净值/万份收益-报告时间,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,手续费
1,000001,华夏成长混合,混合型-灵活,1.127,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
2,000003,中海可转债债券A,债券型-混合二级,1.07,04-23,开放申购,开放赎回,,10.0,10000000000.0,0.08
3,000004,中海可转债债券C,债券型-混合二级,1.043,04-23,开放申购,开放赎回,,10.0,10000000000.0,0.0
4,000005,嘉实增强信用定期债券,债券型-混合一级,1.0239,04-23,暂停申购,暂停赎回,2026-06-08,10.0,100000000000.0,0.08
5,000006,西部利得量化成长混合A,混合型-偏股,2.9856,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
6,000008,嘉实中证500ETF联接A,指数型-股票,2.4087,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.12
7,000009,易方达天天理财货币A,货币型-普通货币,0.2564,04-23,限大额,开放赎回,,10.0,5000000.0,0.0
8,000010,易方达天天理财货币B,货币型-普通货币,0.3222,04-23,限大额,开放赎回,,5000000.0,5000000.0,0.0
9,000011,华夏大盘精选混合A,混合型-灵活,22.262,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
10,000013,易方达天天理财货币R,货币型-普通货币,0.325,04-23,限大额,开放赎回,,0.0,0.0,0.0
11,000014,华夏聚利债券A,债券型-混合一级,2.2373,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.06
12,000015,华夏纯债债券A,债券型-长债,1.1939,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
13,000016,华夏纯债债券C,债券型-长债,1.1827,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
14,000017,财通可持续混合,混合型-偏股,2.989,04-23,限大额,开放赎回,,10.0,500000.0,0.15
15,000020,景顺长城品质投资混合A,混合型-偏股,4.835,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
16,000021,华夏优势增长混合,混合型-偏股,3.415,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
17,000024,大摩双利增强债券A,债券型-混合一级,1.2509,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
18,000025,大摩双利增强债券C,债券型-混合一级,1.2206,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
19,000028,华富安鑫债券A,债券型-混合二级,1.1073,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
20,000029,富国宏观策略灵活配置混合A,混合型-灵活,3.546,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
21,000030,长城核心优选混合A,混合型-灵活,1.3118,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
22,000031,华夏复兴混合A,混合型-偏股,2.961,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
23,000032,易方达信用债债券A,债券型-长债,1.1304,04-23,暂停申购,开放赎回,,10.0,100000000000.0,0.08
24,000033,易方达信用债债券C,债券型-长债,1.1278,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
25,000037,广发景宁债券A,债券型-长债,1.2073,04-23,限大额,开放赎回,,10.0,10000000.0,0.08
26,000039,农银高增长混合,混合型-偏股,5.5043,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
27,000041,华夏全球股票(QDII)(人民币),QDII-普通股票,1.4442,04-22,限大额,开放赎回,,10.0,10000.0,0.16
28,000042,财通中证ESG100指数增强A,指数型-股票,2.2063,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.12
29,000043,嘉实美国成长股票人民币,QDII-普通股票,5.978,04-22,限大额,开放赎回,,10.0,100.0,0.15
30,000044,嘉实美国成长股票美元现汇,QDII-普通股票,5.315,04-22,暂停申购,开放赎回,,10.0,0.01,0.15
31,000045,工银产业债债券A,债券型-混合二级,1.602,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
32,000046,工银产业债债券B,债券型-混合二级,1.54,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
33,000047,华夏双债债券A,债券型-混合一级,2.1575,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
34,000048,华夏双债债券C,债券型-混合一级,2.091,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
35,000051,华夏沪深300ETF联接A,指数型-股票,1.7999,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.12
36,000053,鹏华永诚一年定开债券,债券型-长债,1.0619,04-23,暂停申购,暂停赎回,2026-06-26,10.0,100000000000.0,0.08
37,000054,鹏华双债增利债券A,债券型-混合二级,1.3634,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
38,000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,1.1084,04-22,限大额,开放赎回,,1.0,0.0,1.3
39,000056,建信消费升级混合,混合型-灵活,1.93,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
40,000057,中银消费主题混合A,混合型-偏股,1.54,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
41,000058,国联安安泰灵活配置混合A,混合型-灵活,1.5925,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.1
42,000059,国联安中证医药100A,指数型-股票,1.0019,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.12
43,000061,华夏盛世混合,混合型-偏股,2.303,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
44,000063,长盛电子信息主题混合A,混合型-灵活,1.763,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
45,000064,大摩18个月定开债C,债券型-长债,1.0616,04-17,暂停申购,暂停赎回,2027-05-03,100.0,100000000000.0,0.0
46,000065,国富焦点驱动混合A,混合型-灵活,2.2516,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
47,000066,诺安鸿鑫混合A,混合型-偏股,2.6228,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
48,000067,民生加银转债优选A,债券型-混合二级,0.8137,04-23,限大额,开放赎回,,10.0,5000000.0,0.08
49,000068,民生加银转债优选C,债券型-混合二级,0.7799,04-23,限大额,开放赎回,,10.0,5000000.0,0.0
50,000069,国投瑞银中高等级债券A,债券型-混合一级,1.1659,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
51,000070,国投瑞银中高等级债券C,债券型-混合一级,1.1622,04-23,开放申购,开放赎回,,10.0,10000000000.0,0.0
52,000071,华夏恒生ETF联接A,指数型-海外股票,1.5365,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.12
53,000072,华安稳健回报混合A,混合型-灵活,1.376,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
54,000073,摩根成长动力混合A,混合型-灵活,3.0574,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
55,000074,工银信用纯债一年定开债A,债券型-长债,1.876,04-23,暂停申购,暂停赎回,2026-05-22,10.0,100000000000.0,0.06
56,000075,华夏恒生ETF联接现汇,指数型-海外股票,0.2238,04-23,开放申购,开放赎回,,200.0,0.0,0.0
57,000076,华夏恒生ETF联接现钞,指数型-海外股票,0.2238,04-23,开放申购,开放赎回,,200.0,0.0,0.0
58,000077,工银信用纯债一年定开债C,债券型-长债,1.781,04-23,暂停申购,暂停赎回,2026-05-22,10.0,100000000000.0,0.0
59,000078,工银信用纯债三个月定开债A,债券型-长债,1.6799,04-23,暂停申购,暂停赎回,2026-06-08,10.0,100000000000.0,0.06
60,000079,工银信用纯债三个月定开债C,债券型-长债,1.5979,04-23,暂停申购,暂停赎回,2026-06-08,10.0,100000000000.0,0.0
61,000080,天治可转债增强债券A,债券型-混合二级,1.5505,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.08
62,000081,天治可转债增强债券C,债券型-混合二级,1.4754,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.0
63,000082,嘉实研究阿尔法股票A,股票型,2.385,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
64,000083,汇添富消费行业混合,混合型-偏股,4.714,04-23,开放申购,开放赎回,,10.0,100000000000.0,0.15
