代码,简称,基金经理,基金公司,5星评级家数,上海证券,招商证券,济安金信,晨星评级,手续费,类型
270007,广发大盘成长混合,李巍,广发,0,1.0,3.0,2.0,2.0,0.0015,混合型-灵活
270009,广发增强债券C,"张芊,方抗",广发,0,3.0,2.0,3.0,3.0,0.0,债券型-混合一级
270010,广发沪深300ETF联接A,霍华明,广发,1,,5.0,4.0,3.0,0.0012,指数型-股票
270014,广发货币B,温秀娟,广发,0,,,4.0,,0.0,货币型-普通货币
270025,广发行业领先混合A,程琨,广发,2,5.0,3.0,5.0,2.0,0.0015,混合型-偏股
270028,广发制造业精选混合A,李巍,广发,0,3.0,4.0,3.0,3.0,0.0015,混合型-偏股
240011,华宝大盘精选混合,郑英亮,华宝,2,3.0,5.0,2.0,5.0,0.0015,混合型-偏股
620009,金元顺安丰祥债券A,"周博洋,庄江林",金元顺安,0,4.0,3.0,3.0,3.0,0.0006,债券型-混合一级
630002,华商盛世成长混合,"孙蔚,王毅文",华商,2,5.0,4.0,5.0,4.0,0.0015,混合型-偏股
530002,建信货币A,"于倩倩,先轲宇,吴沛文",建信,0,,,4.0,,0.0,货币型-普通货币
000122,汇添富实业债债券A,"徐一恒,吴江宏,胡奕",汇添富,2,3.0,5.0,3.0,5.0,0.001,债券型-混合一级
000311,景顺长城沪深300指数增强A,黎海威,景顺长城,0,,3.0,3.0,3.0,0.0012,指数型-股票
206006,鹏华全球中短债(QDII)人民币A,郝黎黎,鹏华,0,,,1.0,4.0,0.0008,QDII-混合债
206007,鹏华消费优选混合,黄奕松,鹏华,0,1.0,1.0,2.0,2.0,0.0015,混合型-偏股
206009,鹏华新兴产业混合A,梁浩,鹏华,0,2.0,3.0,3.0,4.0,0.0015,混合型-偏股
410004,华富收益增强债券A,尹培俊,华富,0,3.0,3.0,3.0,3.0,0.0008,债券型-混合一级
217018,招商安瑞进取债券A,"况冲,黄晓婷",招商,0,1.0,3.0,1.0,4.0,0.0008,债券型-混合二级
460007,华泰柏瑞行业领先混合,吕慧建,华泰柏瑞,2,3.0,5.0,3.0,5.0,0.0015,混合型-偏股
001033,华夏安康债券C,武文琦,华夏,0,1.0,,2.0,1.0,0.0,债券型-混合二级
001057,华夏理财30天债券A,周飞,华夏,0,3.0,1.0,1.0,1.0,0.0,债券型-中短债
001061,华夏收益债券(QDII)A,江伟轩,华夏,2,,,5.0,5.0,0.0008,QDII-纯债
001065,华夏海外收益债券现汇,江伟轩,华夏,2,,,5.0,5.0,0.008,QDII-纯债
001066,华夏海外收益债券现钞,江伟轩,华夏,2,,,5.0,5.0,0.008,QDII-纯债
001078,华夏现金宝货币B,周飞,华夏,0,,,3.0,,0.0,货币型-普通货币
002021,华夏回报二号混合,王君正,华夏,0,2.0,3.0,2.0,2.0,0.002,混合型-平衡
000005,嘉实增强信用定期债券,吴翠,嘉实,0,,4.0,3.0,,0.0008,债券型-混合一级
481006,工银红利混合,林念,工银,0,3.0,3.0,4.0,4.0,0.0015,混合型-偏股
481012,工银深证红利ETF联接A,赵栩,工银,0,,3.0,3.0,1.0,0.001,指数型-股票
481017,工银量化策略混合A,张乐涛,工银,0,4.0,4.0,3.0,4.0,0.0015,混合型-偏股
162204,宏利行业精选混合A,孟杰,宏利,1,3.0,5.0,4.0,4.0,0.0015,混合型-偏股
000121,华夏永福混合A,陆晓天,华夏,1,2.0,4.0,3.0,5.0,0.0008,混合型-偏债
150015,银河银富货币B,张沛,银河,0,,,2.0,,0.0,货币型-普通货币
160615,鹏华沪深300ETF联接(LOF)A,王力,鹏华,2,,5.0,5.0,3.0,0.0012,指数型-股票
163005,长信利众债券(LOF)C,刘婧,长信,0,4.0,3.0,4.0,3.0,0.0,债券型-混合一级
163110,申万菱信量化小盘股票(LOF)A,夏祥全,申万,0,2.0,2.0,3.0,2.0,0.0015,股票型
460300,华泰柏瑞沪深300ETF联接A,柳军,华泰柏瑞,0,,4.0,4.0,3.0,0.001,指数型-股票
470007,汇添富上证综合指数A,吴振翔,汇添富,0,,2.0,1.0,3.0,0.001,指数型-股票
470010,汇添富多元收益债券A,"刘通,马翔",汇添富,0,2.0,4.0,3.0,4.0,0.0008,债券型-混合二级
470011,汇添富多元收益债券C,"刘通,马翔",汇添富,0,2.0,,3.0,4.0,0.0,债券型-混合二级
470018,汇添富双利债券A,"吴江宏,陈思行",汇添富,0,2.0,4.0,3.0,4.0,0.0008,债券型-混合二级
470028,汇添富社会责任混合A,詹杰,汇添富,0,2.0,1.0,2.0,2.0,0.0015,混合型-偏股
002031,华夏策略混合,陈伟彦,华夏,0,2.0,3.0,3.0,3.0,0.0015,混合型-灵活
020002,国泰金龙债券A,"茅利伟,刘嵩扬",国泰,0,3.0,3.0,3.0,4.0,0.0008,债券型-混合一级
020007,国泰货币A,"丁士恒,陶然,周峥奇",国泰,1,,,5.0,,0.0,货币型-普通货币
519029,华夏稳增混合,彭海伟,华夏,1,3.0,4.0,5.0,4.0,0.0015,混合型-灵活
000015,华夏纯债债券A,柳万军,华夏,0,3.0,3.0,3.0,3.0,0.0008,债券型-长债
000016,华夏纯债债券C,柳万军,华夏,0,3.0,,3.0,3.0,0.0,债券型-长债
162208,宏利首选企业股票A,李坤元,宏利,0,4.0,2.0,4.0,2.0,0.0015,股票型
240012,华宝增强收益债券A,曾健飞,华宝,1,1.0,4.0,2.0,5.0,0.0008,债券型-混合二级
240013,华宝增强收益债券B,曾健飞,华宝,1,1.0,,2.0,5.0,0.0,债券型-混合二级
240014,华宝中证A100ETF联接A,陈建华,华宝,1,,3.0,5.0,3.0,0.0008,指数型-股票
240019,华宝中证银行ETF联接A,丰晨成,华宝,0,,2.0,2.0,4.0,0.001,指数型-股票
164808,工银四季收益债券A,"何秀红,黄杨荔",工银,1,5.0,4.0,4.0,4.0,0.0008,债券型-混合一级
163208,诺安油气能源,唐晨,诺安,0,,,2.0,,0.0015,QDII-普通股票
350002,天治低碳经济混合,"李申,卓佳亮",天治,0,3.0,1.0,4.0,1.0,0.0015,混合型-灵活
510290,上证380ETF南方,孙伟,南方,0,,4.0,4.0,2.0,,指数型-股票
560003,益民创新优势混合A,"张婷,马泉林",益民,0,2.0,3.0,2.0,2.0,0.0015,混合型-灵活
560006,益民核心增长混合,"王勇,关旭",益民,0,1.0,2.0,1.0,2.0,0.0015,混合型-灵活
571002,诺德灵活配置混合,朱红,诺德,0,2.0,2.0,3.0,3.0,0.0015,混合型-灵活
040013,华安强化收益债券B,郑伟山,华安,1,2.0,,2.0,5.0,0.0,债券型-混合二级
040018,华安香港精选股票(QDII),"苏圻涵,翁启森",华安,0,,,3.0,4.0,0.0016,QDII-普通股票
040019,华安稳固收益债券C,石雨欣,华安,0,3.0,2.0,3.0,3.0,0.0,债券型-混合一级
040020,华安升级主题混合A,饶晓鹏,华安,0,1.0,2.0,2.0,3.0,0.0015,混合型-偏股
159906,深成长ETF大成,李淏玮,大成,0,,2.0,3.0,4.0,,指数型-股票
159909,TMT50ETF招商,侯昊,招商,0,,4.0,4.0,4.0,,指数型-股票
159910,基本面120ETF嘉实,李直,嘉实,0,,3.0,3.0,2.0,,指数型-股票
510310,沪深300ETF易方达,"余海燕,庞亚平",易方达,1,,4.0,5.0,3.0,0.0005,指数型-股票
000057,中银消费主题混合A,杨庆运,中银,1,5.0,1.0,3.0,2.0,0.0015,混合型-偏股
161811,银华沪深300指数A,"张凯,杨腾",银华,0,,2.0,1.0,3.0,0.0012,指数型-股票
161812,银华深证100指数(LOF),"张凯,杨腾",银华,0,,2.0,2.0,3.0,0.0012,指数型-股票
161818,银华消费主题混合A,薄官辉,银华,0,2.0,2.0,3.0,2.0,0.0015,混合型-偏股
161820,银华纯债信用债券(LOF)A,李丹,银华,0,3.0,3.0,3.0,3.0,0.0008,债券型-长债
161907,红利ETF联接,杨坤,万家,0,,3.0,2.0,3.0,0.001,指数型-股票
164902,交银信用添利债券(LOF),唐赟,交银,0,4.0,3.0,3.0,4.0,0.0008,债券型-混合一级
165310,建信沪深300指数增强(LOF)A,"梁洪昀,薛玲",建信,0,4.0,3.0,4.0,3.0,0.0015,指数型-股票
165312,建信央视财经50指数(LOF),叶乐天,建信,0,,3.0,2.0,3.0,0.0012,指数型-股票
165511,中信保诚中证500指数(LOF)A,黄稚,中信保诚,0,,2.0,2.0,3.0,0.0012,指数型-股票
165512,中信保诚新机遇混合(LOF),马文文,中信保诚,0,2.0,2.0,3.0,2.0,0.0015,混合型-偏股
000209,中信保诚新兴产业混合A,孙浩中,中信保诚,0,1.0,2.0,2.0,2.0,0.0015,混合型-偏股
340009,兴全磐稳增利债券A,张睿,兴证全球,0,3.0,4.0,3.0,3.0,0.0008,债券型-混合一级
580005,东吴进取策略混合A,赵梅玲,东吴,0,3.0,1.0,3.0,1.0,0.0015,混合型-灵活
580006,东吴新经济混合A,徐慢,东吴,0,1.0,4.0,1.0,2.0,0.0015,混合型-偏股
580007,东吴安享量化混合A,谭菁,东吴,0,1.0,2.0,1.0,1.0,0.0015,混合型-灵活
580008,东吴新产业精选股票A,刘瑞,东吴,1,5.0,4.0,3.0,3.0,0.0015,股票型
159004,招商保证金快线B,曹晋文,招商,0,,,3.0,,0.0,货币型-普通货币
510510,中证500ETF广发,刘杰,广发,1,,5.0,4.0,3.0,,指数型-股票
660011,农银中证500指数A,宋永安,农银,0,,4.0,3.0,2.0,0.0015,指数型-股票
510660,医药ETF华夏,司帆,华夏,0,,3.0,2.0,4.0,,指数型-股票
510880,红利ETF华泰柏瑞,"柳军,李茜",华泰柏瑞,0,,2.0,2.0,4.0,,指数型-股票
511880,银华日利ETF,王树丽,银华,0,,,3.0,,0.0,货币型-普通货币
000066,诺安鸿鑫混合A,李迪,诺安,0,2.0,4.0,3.0,3.0,0.0015,混合型-偏股
000077,工银信用纯债一年定开债C,"何秀红,段玮",工银,0,,,4.0,,0.0,债券型-长债
000078,工银信用纯债三个月定开债A,"周晖,谭幸",工银,0,,4.0,3.0,,0.0006,债券型-长债
020018,国泰金鹿混合,赵大震,国泰,0,3.0,4.0,4.0,3.0,0.0015,混合型-偏股
020019,国泰双利债券A,陈志华,国泰,0,3.0,3.0,4.0,3.0,0.001,债券型-混合二级
519021,国泰金鼎价值混合,顾益辉,国泰,0,1.0,2.0,1.0,3.0,0.0015,混合型-灵活
519023,海富通稳健添利债券C,谈云飞,海富通,0,3.0,2.0,2.0,3.0,0.0,债券型-混合一级
240022,华宝资源优选混合A,"丁靖斐,杨奇",华宝,3,4.0,5.0,5.0,5.0,0.0015,混合型-偏股
241001,华宝海外中国成长混合,"周晶,杨洋",华宝,0,,,3.0,2.0,0.0015,QDII-混合偏股
253050,国联安货币A,"万莉,洪阳玚",国联安,0,,,3.0,,0.0,货币型-普通货币
