代码,简称,基金经理,基金公司,3年期评级-3年评级,3年期评级-较上期,单位净值,日期,日增长率,近1年涨幅,近3年涨幅,近5年涨幅,手续费,类型
000005,嘉实增强信用定期债券,吴翠,嘉实基金,3,0.0,1.0239,2026-04-23,-0.02,1.78,9.49,17.68,0.08%,纯债型
000011,华夏大盘精选混合A,屠环宇,华夏基金,3,1.0,22.262,2026-04-23,-0.44,53.11,40.11,11.12,0.15%,混合型
000009,易方达天天理财货币A,"石大怿,刘朝阳",易方达基金,3,0.0,0.2564,2026-04-23,0.941,1.1,4.51,8.54,0.00%,货币型
000010,易方达天天理财货币B,"石大怿,刘朝阳",易方达基金,3,0.0,0.3222,2026-04-23,1.183,1.34,5.26,9.85,0.00%,货币型
000006,西部利得量化成长混合A,盛丰衍,西部利得基金,5,0.0,2.9856,2026-04-23,-1.36,49.73,51.28,58.85,0.15%,混合型
000013,易方达天天理财货币R,"石大怿,刘朝阳",易方达基金,3,0.0,0.325,2026-04-23,1.193,1.35,5.29,9.91,0.00%,货币型
000014,华夏聚利债券A,"武文琦,陆晓天",华夏基金,5,0.0,2.2373,2026-04-23,-0.52,23.61,24.16,30.99,0.06%,一级债
000021,华夏优势增长混合,郑晓辉,华夏基金,3,0.0,3.415,2026-04-23,-1.01,47.9,33.87,15.72,0.15%,混合型
000025,大摩双利增强债券C,吴慧文,摩根士丹利基金,3,1.0,1.2206,2026-04-23,-0.14,4.14,9.27,13.99,0.00%,纯债型
000024,大摩双利增强债券A,吴慧文,摩根士丹利基金,3,1.0,1.2509,2026-04-23,-0.14,4.56,10.59,16.32,0.08%,纯债型
000016,华夏纯债债券C,柳万军,华夏基金,4,0.0,1.1827,2026-04-23,-0.03,1.66,8.8,15.53,0.00%,纯债型
000031,华夏复兴混合A,"郑煜,黄皓",华夏基金,3,0.0,2.961,2026-04-23,-0.3,62.6,11.74,-10.71,0.15%,混合型
000033,易方达信用债债券C,纪玲云,易方达基金,3,0.0,1.1278,2026-04-23,-0.04,1.57,10.65,17.94,0.00%,纯债型
000039,农银高增长混合,左腾飞,农银汇理基金,4,1.0,5.5043,2026-04-23,-1.2,57.15,40.26,85.5,0.15%,混合型
000032,易方达信用债债券A,纪玲云,易方达基金,3,0.0,1.1304,2026-04-23,-0.04,1.99,11.99,20.23,0.08%,纯债型
