代码,简称,基金经理,基金公司,3年期评级-3年评级,3年期评级-较上期,单位净值,日期,日增长率,近1年涨幅,近3年涨幅,近5年涨幅,手续费
005660,嘉实资源精选股票A,刘杰,嘉实基金,5,0.0,5.3813,2026-04-23,-2.22,97.84,109.84,135.71,0.15%
005161,华商上游产业股票A,张文龙,华商基金,5,0.0,4.4861,2026-04-23,-1.58,90.19,90.78,181.24,0.15%
007130,中庚小盘价值股票,韩逸平,中庚基金,5,0.0,3.0861,2026-04-23,-1.01,34.98,25.88,104.7,0.15%
320020,诺安策略精选股票,"孔宪政,周颖恺",诺安基金,5,1.0,1.8118,2026-04-23,0.35,3.58,-14.53,1.9,0.15%
007538,永赢沪深300A,刘庭宇,永赢基金,5,,1.4656,2026-04-23,-0.26,27.69,27.03,9.59,0.10%
007657,东方红中证竞争力指数A,"徐习佳,戎逸洲",东方红资产管理,5,,1.7059,2026-04-23,-0.66,49.16,45.8,15.45,0.12%
159958,工银瑞信创业板ETF,赵栩,工银瑞信基金,5,1.0,2.2528,2026-04-23,-0.88,92.35,65.42,29.69,
005313,万家中证1000指数增强A,乔亮,万家基金,5,0.0,1.671,2026-04-23,-1.68,52.66,34.51,72.63,0.15%
004788,富荣沪深300指数增强A,"郎骋成,孟亚强",富荣基金,5,0.0,2.6147,2026-04-23,-1.09,47.42,43.04,30.69,0.12%
159977,天弘创业板ETF,洪明华,天弘基金,5,,1.9389,2026-04-23,-0.87,92.63,63.37,28.37,
006165,建信中证1000指数增强A,"叶乐天,赵云煜",建信基金,5,1.0,2.3241,2026-04-23,-1.37,51.87,46.29,73.37,0.15%
007143,国投瑞银沪深300量化A,殷瑞飞,国投瑞银基金,5,0.0,1.6017,2026-04-23,-0.37,28.58,24.53,8.66,0.12%
006729,万家中证500指数增强A,乔亮,万家基金,5,1.0,1.7728,2026-04-23,-0.86,59.75,46.13,62.34,0.10%
320014,诺安沪深300指数增强A,孔宪政,诺安基金,5,0.0,1.8849,2026-04-23,-0.34,24.7,26.95,14.01,0.12%
001832,易方达瑞恒灵活配置混合,萧楠,易方达基金,5,0.0,3.3851,2026-04-23,-0.41,48.37,30.75,28.56,0.06%
001907,国投瑞银境煊灵活配置混合A,周思捷,国投瑞银基金,5,0.0,3.9367,2026-04-23,0.55,48.24,20.72,58.08,0.15%
002542,长城久鼎混合A,廖瀚博,长城基金,5,,3.2567,2026-04-23,-1.61,73.85,36.33,36.24,0.15%
005299,万家成长优选混合A,耿嘉洲,万家基金,5,0.0,4.4113,2026-04-23,-0.25,79.04,57.45,83.45,0.15%
005262,鑫元欣享灵活配置混合A,李彪,鑫元基金,5,0.0,1.4122,2026-04-23,-0.57,35.95,20.08,31.0,0.12%
005535,泰信竞争优选混合,徐慕浩,泰信基金,5,0.0,1.9652,2026-04-23,0.49,23.31,13.87,16.5,0.15%
005671,前海联合研究优选混合A,张勇,前海联合,5,0.0,,,,-33.62,-35.21,81.05,0.15%
005695,华安睿明两年定开混合A,陆奔,华安基金,5,0.0,1.0315,2026-04-17,,19.35,16.84,45.76,0.15%
005821,万家新机遇龙头企业混合A,束金伟,万家基金,5,0.0,1.6451,2026-04-23,-0.71,39.95,16.59,54.83,0.15%
005004,交银品质升级混合A,韩威俊,交银施罗德基金,5,0.0,1.3614,2026-04-23,1.32,-11.1,-33.3,-42.19,0.15%
006624,中泰玉衡价值优选混合A,姜诚,中泰证券(上海)资管,5,0.0,2.6984,2026-04-23,0.26,12.47,23.2,59.89,0.15%
006567,中泰星元灵活配置混合A,姜诚,中泰证券(上海)资管,5,0.0,2.9329,2026-04-23,0.34,11.25,19.32,52.31,0.15%
519198,万家颐和灵活配置混合A,章恒,万家基金,5,0.0,1.7854,2026-04-23,0.49,21.28,8.13,62.06,0.15%
006377,广发趋势动力混合A,王鹏,广发基金,5,1.0,1.4269,2026-04-23,-1.3,7.58,-20.0,-8.95,0.15%
006392,中信保诚创新成长混合A,王睿,中信保诚基金,5,0.0,3.3601,2026-04-23,-1.38,32.84,11.04,21.41,0.15%
007549,中泰开阳价值优选混合A,田瑀,中泰证券(上海)资管,5,,2.2792,2026-04-23,0.8,29.87,5.79,9.65,0.15%
005708,国联安远见成长混合,储乐延,国联安基金,5,0.0,2.5304,2026-04-23,-0.84,7.87,9.06,14.72,0.15%
007346,易方达科技创新混合,蔡荣成,易方达基金,5,0.0,5.3989,2026-04-23,-0.79,132.58,88.62,132.49,0.15%
005680,财通资管价值成长混合A,李响,财通资管,5,1.0,2.5728,2026-04-23,0.18,26.73,-0.11,3.93,0.15%
005352,鹏扬景泰成长混合A,朱国庆,鹏扬基金,5,0.0,2.0954,2026-04-23,-0.46,44.49,5.35,9.92,0.12%
007460,华安成长创新混合A,胡宜斌,华安基金,5,1.0,2.7971,2026-04-23,0.15,42.54,19.02,47.43,0.15%
006533,易方达科融混合,刘健维,易方达基金,5,0.0,7.8337,2026-04-23,-0.52,168.69,198.75,268.99,0.15%
006568,国联安行业领先混合,呼荣权,国联安基金,5,0.0,2.3792,2026-04-23,-0.87,25.78,15.46,26.71,0.15%
006551,中庚价值领航混合,刘晟,中庚基金,5,0.0,3.886,2026-04-23,-0.92,62.1,59.48,129.45,0.15%
004848,中欧睿泓定开混合,袁维德,中欧基金,5,0.0,2.4979,2026-04-17,,21.02,14.8,25.83,0.15%
005014,泰康景泰回报混合A,宋仁杰,泰康基金,5,1.0,1.8109,2026-04-23,-0.03,6.5,12.91,20.72,0.12%
005416,鹏华尊惠定期开放混合A,汤志彦,鹏华基金,5,0.0,1.994,2026-02-13,-0.15,13.34,8.94,22.28,0.08%
005876,易方达鑫转增利混合A,杨康,易方达基金,5,0.0,2.6724,2026-04-23,-0.65,31.78,29.3,63.85,0.10%
004913,中银证券聚瑞混合A,吕文晔,中银证券,5,0.0,1.5198,2026-04-23,-0.87,9.2,2.54,25.29,0.10%
006013,易方达鑫转招利混合A,胡文伯,易方达基金,5,1.0,2.1581,2026-04-23,-1.01,34.64,33.94,44.25,0.10%
006972,金鹰民安回报定开A,林龙军,金鹰基金,5,,1.2238,2026-04-23,-1.38,38.96,16.15,22.08,0.08%
006700,红土创新稳健混合A,"陈若劲,邱骏",红土创新基金,5,1.0,1.5961,2026-04-23,-0.27,1.88,12.47,25.21,0.08%
007497,中庚价值灵动灵活配置混合,周汝昂,中庚基金,5,,3.458,2026-04-23,-0.98,68.84,54.09,124.93,0.15%
