报告期,基金覆盖家数,股票权益类占净资产比例,债券固定收益类占净资产比例,现金货币类占净资产比例,基金市场净资产规模
2026-03-31,13659,21.68,56.75,16.84,371430.37
2025-12-31,13303,24.09,56.28,15.05,374449.48
2025-09-30,12876,25.0,55.38,13.83,359419.44
2025-06-30,12494,21.21,61.86,13.77,338766.41
2025-03-31,12228,21.9,61.58,11.1,314909.17
2024-12-31,11952,21.05,58.03,15.03,320467.53
2024-09-30,11797,22.27,52.77,21.06,314520.73
2024-06-30,11605,18.69,58.13,19.65,304377.94
2024-03-31,11350,20.38,58.43,20.17,286070.29
2023-12-31,11016,21.36,58.07,20.63,270156.52
2023-09-30,10780,22.22,57.37,17.84,270492.99
2023-06-30,10543,22.58,56.71,19.31,272807.4
2023-03-31,10266,24.4,53.36,20.66,261329.2
2022-12-31,9983,24.12,55.01,17.82,255129.17
2022-09-30,9716,22.09,55.98,16.68,261565.08
2022-06-30,9420,24.8,53.4,17.28,264482.45
2022-03-31,9137,23.95,54.89,18.39,250010.3
2021-12-31,8606,27.6,50.91,18.89,251799.2
2021-09-30,8181,26.59,49.49,19.14,236426.81
2021-06-30,7759,27.23,47.59,19.47,227806.25
2021-03-31,7413,25.2,48.26,19.6,213273.85
2020-12-31,7087,26.17,47.46,18.9,199776.08
2020-09-30,6788,23.61,48.54,20.77,176360.33
2020-06-30,6448,19.93,52.76,17.94,168944.05
2020-03-31,6141,16.19,52.78,19.9,166387.38
2019-12-31,5804,17.67,51.01,24.22,145213.04
2019-09-30,5586,16.15,49.5,24.42,138075.5
2019-06-30,5372,15.58,49.94,23.71,135130.08
2019-03-31,5190,15.03,49.84,26.98,137015.28
2018-12-31,4956,12.32,53.31,28.17,127946.61
2018-09-30,4878,13.01,47.42,29.68,132853.51
2018-06-30,4826,14.21,45.03,33.68,127027.96
2018-03-31,4718,15.03,40.16,33.41,125909.61
2017-12-31,4541,16.03,39.37,34.61,114655.16
2017-09-30,4405,16.95,39.57,36.12,110725.03
2017-06-30,4197,18.28,37.56,35.52,99761.94
2017-03-31,3902,19.96,40.31,31.7,89870.33
2016-12-31,3418,18.22,36.3,27.56,92423.9
2016-09-30,3117,18.47,39.94,31.93,92392.2
2016-06-30,2916,19.69,38.55,33.29,83606.3
2016-03-31,2723,19.4,37.61,35.22,82232.73
2015-12-31,2512,21.68,30.23,33.88,87487.64
2015-09-30,2422,20.17,30.78,39.81,72006.13
2015-06-30,2086,28.24,20.3,31.63,72202.28
2015-03-31,1913,33.54,21.43,32.55,56153.24
2014-12-31,1811,31.79,25.31,29.98,48559.25
2014-09-30,1724,33.08,26.54,33.37,41275.23
2014-06-30,1638,32.1,25.31,36.05,38174.29
2014-03-31,1569,33.64,22.43,38.74,35811.83
2013-12-31,1460,44.19,23.06,24.06,30912.11
2013-09-30,1366,48.37,26.09,19.27,29450.73
2013-06-30,1276,48.99,30.51,12.44,26202.7
2013-03-31,1188,47.45,26.63,19.08,28679.39
2012-12-31,1103,49.58,24.37,18.42,28506.87
2012-09-30,1035,52.41,24.71,15.77,25137.62
2012-06-30,951,54.89,22.88,14.43,24650.49
2012-03-31,912,58.26,20.0,15.59,23031.47
2011-12-31,863,58.86,19.4,12.92,22551.12
2011-09-30,812,64.2,16.38,9.48,22018.15
2011-06-30,755,67.32,15.94,7.9,23914.36
2011-03-31,715,69.3,14.3,9.27,24733.64
2010-12-31,651,72.05,12.57,7.62,24895.21
2010-09-30,620,72.35,13.46,8.77,24036.48
2010-06-30,582,65.61,15.27,12.32,21184.48
2010-03-31,553,72.92,12.09,10.09,24404.52
2009-12-31,526,72.23,11.2,9.92,26339.62
2009-09-30,497,70.59,13.31,11.46,22022.15
2009-06-30,468,73.15,14.31,9.8,22538.01
2009-03-31,440,62.13,23.45,12.9,19817.62
2008-12-31,414,47.53,36.03,13.17,19226.22
2008-09-30,392,57.63,30.48,10.8,18272.96
2008-06-30,358,62.9,19.38,10.67,20680.07
2008-03-31,342,68.7,14.88,13.48,25757.0
2007-12-31,342,74.32,10.17,10.85,32918.04
2007-09-30,327,77.0,9.25,12.32,29924.06
