行业编码,证监会行业名称,报告期,基金覆盖家数,行业规模,占净资产比例
A,农、林、牧、渔业,2021-06-30,3164,227.13,0.1
B,采矿业,2021-06-30,2189,833.29,0.37
C,制造业,2021-06-30,4955,39107.48,17.17
D,电力、热力、燃气及水生产和供应业,2021-06-30,4091,352.67,0.15
E,建筑业,2021-06-30,3989,247.11,0.11
F,批发和零售业,2021-06-30,3853,353.12,0.16
G,交通运输、仓储和邮政业,2021-06-30,2155,740.62,0.33
H,住宿和餐饮业,2021-06-30,516,155.26,0.07
I,信息传输、软件和信息技术服务业,2021-06-30,4529,2540.85,1.12
J,金融业,2021-06-30,4395,4747.92,2.08
K,房地产业,2021-06-30,2073,675.62,0.3
L,租赁和商务服务业,2021-06-30,2421,1013.65,0.44
M,科学研究和技术服务业,2021-06-30,3071,1620.65,0.71
N,水利、环境和公共设施管理业,2021-06-30,3539,126.45,0.06
O,居民服务、修理和其他服务业,2021-06-30,1,0.0,0.0
P,教育,2021-06-30,746,76.89,0.03
Q,卫生和社会工作,2021-06-30,1893,1494.98,0.66
R,文化、体育和娱乐业,2021-06-30,1400,388.65,0.17
S,综合,2021-06-30,290,61.52,0.03
