序号,截止日期,基金家数,期间申购,期间赎回,期末总份额,期末净资产
1,2026-03-31,25324,505708.85,501870.12,330670.72,373482.35
2,2025-12-31,24685,489260.33,482493.96,323350.89,376850.21
3,2025-09-30,24013,511777.23,513197.1,314070.01,364586.45
4,2025-06-30,23291,386823.64,374087.11,313759.58,344910.84
5,2025-03-31,22620,381703.26,392391.51,297589.25,320568.84
6,2024-12-31,22067,452925.13,447229.45,304939.87,326930.94
7,2024-09-30,21438,349429.19,354836.74,298148.57,320523.89
8,2024-06-30,20835,353296.71,338566.15,300552.12,309619.2
9,2024-03-31,20200,357068.22,345072.56,282781.33,290815.24
10,2023-12-31,19421,360950.64,360300.06,267360.11,274206.85
11,2023-09-30,18785,358068.4,360756.06,264152.55,273521.02
12,2023-06-30,18130,340624.75,330338.84,264484.83,276121.28
13,2023-03-31,17531,325891.23,324651.27,251252.77,264781.11
14,2022-12-31,16884,307176.62,317969.28,246705.41,258154.92
15,2022-09-30,16180,313441.7,310953.24,253797.69,264219.51
16,2022-06-30,15535,278998.08,273426.2,246575.24,266943.46
17,2022-03-31,14871,291637.23,284025.52,237783.7,251343.65
18,2021-12-31,13725,313106.57,309484.2,223856.06,253027.48
19,2021-09-30,12825,320527.46,316312.11,213635.51,237506.7
20,2021-06-30,11975,294083.68,295387.64,203889.82,229216.79
21,2021-03-31,11297,318574.77,309799.94,197837.33,214310.09
22,2020-12-31,10852,285667.74,280542.81,177921.66,200710.77
23,2020-09-30,10309,274964.62,282677.92,163595.86,177204.66
24,2020-06-30,9762,251012.39,264279.9,161729.21,169407.63
25,2020-03-31,9197,254955.56,239855.99,170441.67,166785.71
26,2019-12-31,8700,203167.54,202182.04,148698.06,145553.53
27,2019-09-30,8287,201516.68,207200.23,144399.97,137645.67
28,2019-06-30,7971,231900.27,236660.79,147743.76,134726.87
29,2019-03-31,7617,241047.97,237778.88,149714.33,138625.5
30,2018-12-31,7292,220361.09,224926.89,144082.69,129788.1
31,2018-09-30,7150,260006.25,254779.38,147548.55,134926.15
32,2018-06-30,7062,258246.94,255337.48,140213.37,128856.37
33,2018-03-31,6888,287406.91,277539.23,135308.83,125267.43
34,2017-12-31,6611,288140.76,291142.12,122845.53,117372.42
35,2017-09-30,6434,284570.97,278403.12,124703.11,113655.11
36,2017-06-30,6123,270073.68,260765.48,117939.41,103021.09
37,2017-03-31,5685,261733.43,271833.11,105287.89,94294.26
38,2016-12-31,4935,321005.94,337545.12,110135.62,91304.57
39,2016-09-30,4481,405049.43,400968.04,123504.99,91229.05
40,2016-06-30,4197,421632.37,427177.32,116895.96,81463.56
41,2016-03-31,3904,453138.38,454601.44,120386.25,80894.46
42,2015-12-31,4206,503164.66,523885.32,122538.8,97189.87
43,2015-09-30,3999,446979.12,404369.27,142445.25,80963.36
44,2015-06-30,3446,439186.83,438931.52,92273.15,85210.31
45,2015-03-31,2659,320652.85,303562.31,80745.7,55581.83
46,2014-12-31,2465,283946.54,283947.11,61224.04,47131.21
47,2014-09-30,2377,278044.76,281904.6,54459.1,40215.07
48,2014-06-30,2238,250094.01,250102.38,57795.6,37041.45
49,2014-03-31,2144,270261.74,266194.57,57177.17,35836.56
50,2013-12-31,1967,200956.03,204542.2,42618.8,30687.98
51,2013-09-30,1836,204945.59,196659.57,45690.14,29432.96
52,2013-06-30,1685,191414.31,203567.09,36135.36,26007.24
53,2013-03-31,1547,118527.28,113736.88,41580.53,28701.97
54,2012-12-31,1391,11631.45,10518.69,30319.83,28377.72
55,2012-09-30,1275,9231.85,10106.74,28159.61,25140.39
56,2012-06-30,1254,9144.53,8816.26,28401.83,30002.6
57,2012-03-31,1093,7972.34,8544.21,26426.41,25738.72
58,2011-12-31,1079,6486.6,4928.29,26962.61,25534.51
59,2011-09-30,959,3900.86,4175.7,24513.62,23441.7
60,2011-06-30,944,4701.57,5243.27,24732.5,26409.27
61,2011-03-31,828,4767.53,5861.9,23779.15,26206.27
62,2010-12-31,802,5865.56,6969.98,24535.13,27758.55
63,2010-09-30,708,3437.74,4160.42,23553.36,25202.58
64,2010-06-30,697,3489.72,3646.95,24312.57,22713.49
65,2010-03-31,628,3948.81,5423.68,23356.93,25496.79
66,2009-12-31,625,5703.67,5472.63,24741.81,29008.88
67,2009-09-30,565,5187.13,6288.41,22665.1,23058.25
68,2009-06-30,543,4643.74,5944.37,23091.19,24066.19
69,2009-03-31,484,4965.61,7661.75,23237.42,21094.76
70,2008-12-31,474,7692.21,5617.38,25780.79,21411.05
71,2008-09-30,427,4298.41,4183.98,23106.21,19329.04
72,2008-06-30,419,3800.32,4388.07,22943.79,21783.86
73,2008-03-31,369,5064.95,5049.62,22758.93,26472.84
74,2007-12-31,367,6679.6,5153.62,22415.78,33334.38
75,2007-09-30,355,9943.56,4995.96,18341.21,30439.09
76,2007-06-30,348,7798.36,4774.11,12671.17,18234.54
77,2007-03-31,325,5159.93,4352.44,7544.45,10559.98
78,2006-12-31,321,2490.09,2521.02,6261.97,8574.48
79,2006-09-30,279,1980.59,2367.22,4329.18,5147.84
80,2006-06-30,266,2730.37,4522.03,4399.2,5139.02
81,2006-03-31,228,2925.25,3248.94,4554.92,4964.93
82,2005-12-31,223,2493.85,2768.66,4873.86,4814.41
83,2005-09-30,199,2479.4,2383.75,4582.94,4563.33
84,2005-06-30,195,2232.23,1961.29,4463.42,4321.19
85,2005-03-31,171,1622.95,1166.23,3890.17,3818.11
86,2004-12-31,161,836.25,822.25,3308.72,3246.29
87,2004-09-30,144,506.47,471.5,3016.49,3074.22
88,2004-06-30,127,316.61,364.38,2576.85,2532.49
89,2004-03-31,113,,,1688.2,1884.13
90,2003-12-31,104,,,1489.88,1572.74
91,2003-09-30,93,,,1441.12,1364.11
92,2003-06-30,79,,,1283.63,1255.87
93,2003-03-31,71,,,1259.54,1213.15
94,2002-12-31,67,,,1236.58,1112.92
95,2002-09-30,58,,,973.72,949.85
96,2002-06-30,54,,,872.36,897.24
97,2002-03-31,51,,,802.58,817.99
98,2001-12-31,50,,,771.62,785.66
99,2001-09-30,44,,,612.9,663.61
100,2001-06-30,36,,,567.37,693.51
