序号,基金代码,基金简称,单位净值,总募集规模,最近总份额,成立日期,基金经理,更新日期
1,150006,长盛同庆封闭A,,1468670.0,,2009-05-12,王宁,
2,150007,长盛同庆封闭B,,1468670.0,,2009-05-12,王宁,
3,150099,长盛同庆800B,,1468670.0,,2012-05-12,王超,
4,150098,长盛同庆800A,,1468670.0,,2012-05-12,王超,
5,150259,易方达重组分级A,,1003400.0,,2015-06-03,刘树荣,
6,150260,易方达重组分级B,,1003400.0,,2015-06-03,刘树荣,
7,150316,富国中证工业4.0指数分级B,,678712.0,,2015-06-15,张圣贤,
8,150315,富国中证工业4.0指数分级A,,678712.0,,2015-06-15,张圣贤,
9,150283,SW医药A,,662362.0,,2015-06-19,龚丽丽、王赟杰,
10,150284,SW医药B,,662362.0,,2015-06-19,龚丽丽、王赟杰,
11,150211,富国中证新能源汽车指数分级A,,601894.0,,2015-03-30,牛志冬、张圣贤,
12,150212,富国中证新能源汽车指数分级B,,601894.0,,2015-03-30,牛志冬、张圣贤,
13,121007,国投瑞银瑞福优先封闭,,600033.0,3645810000.0,2007-07-17,赵建,
14,150001,国投瑞银瑞福进取封闭,,600033.0,3645810000.0,2007-07-17,赵建,
15,150209,富国中证国有企业改革指数分级A,,580532.0,,2014-12-17,王保合、张圣贤,
16,150210,富国中证国有企业改革指数分级B,,580532.0,,2014-12-17,王保合、张圣贤,
17,502015,长盛中证申万一带一路指数分级B,,415578.0,,2015-05-29,陈亘斯,
18,502014,长盛中证申万一带一路指数分级A,,415578.0,,2015-05-29,陈亘斯,
19,160514,博时稳健回报债券(LOF)C,1.8994,400183.0,853010000.0,2011-06-10,罗霄、高晖,2026-04-23
20,150043,博时裕祥分级债券封闭B,,400183.0,,2011-06-10,过钧,
21,150227,鹏华银行分级A,,389614.0,,2015-04-17,闫冬,
22,150228,鹏华银行分级B,,389614.0,,2015-04-17,闫冬,
23,161016,富国天盈分级债券A,,350472.0,,2011-05-23,饶刚,
24,150041,富国天盈分级债券B,,350472.0,,2011-05-23,饶刚,
25,150217,新能源A,,339528.0,,2015-03-26,蔡铮,
26,150218,新能源B,,339528.0,,2015-03-26,蔡铮,
27,150016,合润A,,332897.0,,2010-04-22,谢治宇,
28,150017,合润B,,332897.0,,2010-04-22,谢治宇,
29,150025,景丰A,,324495.0,,2010-10-15,陈尚前、陶铄,
30,150026,景丰B,,324495.0,,2010-10-15,陈尚前、陶铄,
31,150031,中证90B,,324038.0,,2011-03-17,张凯,
32,150030,中证90A,,324038.0,,2011-03-17,张凯,
33,150008,国投瑞银瑞和小康沪深300指数,,321592.0,8069300.0,2009-10-14,殷瑞飞、赵建,
34,150009,国投瑞银瑞和远见沪深300指数,,321592.0,8069300.0,2009-10-14,殷瑞飞、赵建,
35,150132,元盛B,,317020.0,,2013-05-02,洪利平、张俊杰,
36,162109,元盛A,,317020.0,,2013-05-02,洪利平、张俊杰,
37,150027,添利B,,299977.0,,2010-12-03,陈钢,
38,164207,添利A,,299977.0,,2010-12-03,陈钢,
39,160623,丰利债A,,299963.0,,2013-04-23,刘太阳,
40,150129,丰利债B,,299963.0,,2013-04-23,刘太阳,
41,150020,富国汇利回报分级债券A,,299926.0,,2010-09-09,黄纪亮,
42,150021,富国汇利回报分级债券B,,299926.0,,2010-09-09,黄纪亮,
43,150036,建信稳健,,297451.0,,2011-05-06,梁洪昀,
44,150037,建信进取,,297451.0,,2011-05-06,梁洪昀,
45,163826,中银互利分级债券A,,295538.0,,2013-09-24,奚鹏洲,
46,150156,中银互利分级债券B,,295538.0,,2013-09-24,奚鹏洲,
47,167502,宝利A,,292392.0,,2013-07-24,庄园,
48,150137,宝利B,,292392.0,,2013-07-24,庄园,
49,150061,丰泽B,,289841.0,,2011-12-08,戴钢,
50,160619,丰泽A,,289841.0,,2011-12-08,戴钢,
51,150038,万家利B,,263562.0,,2011-06-02,苏谋东,
52,161909,万家利A,,263562.0,,2011-06-02,苏谋东,
53,161506,通利债C,1.393,253774.0,4445510.0,2012-04-25,何晶、郑可成,2026-04-23
54,150079,通利债B,,253774.0,,2012-04-25,索峰、张矛,
55,150032,多利优先,,234021.0,,2011-03-23,王茜,
56,150033,多利进取,,234021.0,,2011-03-23,王茜,
57,000317,中海惠利分级债券A,,232760.0,,2013-11-21,邵强,
58,000318,中海惠利分级债券B,,232760.0,,2013-11-21,邵强,
59,150019,银华锐进,,220389.0,,2010-05-07,周毅、张凯,
60,150018,银华稳进,,220389.0,,2010-05-07,周毅、张凯,
61,150128,工银增B,,207143.0,,2013-03-06,江明波,
62,164813,工银增A,,207143.0,,2013-03-06,江明波,
63,150241,富国中证银行指数分级A,,207072.0,,2015-04-30,方旻、王保合,
64,150242,富国中证银行指数分级B,,207072.0,,2015-04-30,方旻、王保合,
65,150266,一带B,,206808.0,120315000.0,2015-05-14,赵菲,
66,150265,一带A,,206808.0,120315000.0,2015-05-14,赵菲,
67,000387,泰达宏利瑞利债券A,,203363.0,,2013-11-14,庞宝臣,
68,000388,泰达宏利瑞利债券B,,203363.0,,2013-11-14,庞宝臣,
69,150261,医疗A,,200313.0,,2015-05-21,胡洁,
70,150262,医疗B,,200313.0,,2015-05-21,胡洁,
71,150115,同丰B,,199737.0,,2012-12-27,张帆,
72,160811,同丰A,,199737.0,,2012-12-27,张帆,
73,150049,南方消费收益,,192983.0,,2012-03-13,肖勇、茅炜、郑诗韵,
74,150050,南方消费进取,,192983.0,,2012-03-13,肖勇、茅炜、郑诗韵,
75,161824,永兴债C,,191238.0,6219360.0,2013-01-18,瞿灿,
76,150116,永兴B,,191238.0,,2013-01-18,葛鹤军(代理)、瞿灿,
77,000633,中银聚利分级债券B,,183911.0,,2014-06-05,陈玮,
78,163908,中海惠裕分级债券发起式A,,173084.0,,2013-01-07,江小震,
79,150114,中海惠裕分级债券发起式B,,173084.0,,2013-01-07,江小震,
80,164209,丰利A,,166791.0,,2011-11-23,陈钢,
81,150046,丰利B,,166791.0,,2011-11-23,陈钢,
82,000358,大成景祥分级债B,,166415.0,,2013-11-19,张文平,
83,000357,大成景祥分级债A,,166415.0,,2013-11-19,张文平,
84,162512,国联安双佳A信用分级债券,,163994.0,,2012-06-04,冯俊、吕中凡,
85,150080,国联安双佳B信用分级债券,,163994.0,,2012-06-04,冯俊、吕中凡,
86,150124,建信央视财经50指数B,,161747.0,,2013-03-28,叶乐天,
87,150123,建信央视财经50指数A,,161747.0,,2013-03-28,叶乐天,
88,150034,泰达宏利聚利A,,158210.0,,2011-05-13,卓若伟、丁宇佳,
