date,close,position
2017-12-04,4018.86,89.25
2017-12-08,4003.38,90.57
2017-12-15,3980.86,90.43
2017-12-22,4054.6,90.27
2017-12-29,4030.85,90.34
2018-01-05,4138.75,90.49
2018-01-12,4225.0,90.34
2018-01-19,4285.4,90.57
2018-01-26,4381.3,90.88
2018-02-02,4271.23,90.3
2018-02-09,3840.65,89.43
2018-02-14,3966.96,89.23
2018-02-23,4071.09,90.01
2018-03-02,4016.46,89.82
2018-03-09,4108.87,90.43
2018-03-16,4056.42,90.85
2018-03-23,3904.94,90.95
2018-03-30,3898.5,89.19
2018-04-04,3854.86,87.79
2018-04-13,3871.14,89.22
2018-04-20,3760.85,88.21
2018-04-27,3756.88,87.69
2018-05-04,3774.6,87.99
2018-05-11,3872.84,88.75
2018-05-18,3903.06,89.43
2018-05-25,3816.5,89.41
2018-06-01,3770.59,88.35
2018-06-08,3779.62,86.77
2018-06-15,3753.43,85.02
2018-06-22,3608.9,82.69
2018-06-29,3510.98,82.29
2018-07-06,3365.12,82.27
2018-07-13,3492.69,82.91
2018-07-20,3492.89,84.04
2018-07-27,3521.23,85.29
2018-08-03,3315.28,85.42
2018-08-10,3405.02,85.14
2018-08-17,3229.62,85.19
2018-08-24,3325.33,84.27
2018-08-31,3334.5,85.03
2018-09-07,3277.64,85.69
2018-09-14,3242.09,86.45
2018-09-21,3410.49,87.11
2018-09-28,3438.86,87.28
2018-10-12,3170.73,86.31
2018-10-19,3134.95,85.0
2018-10-26,3173.64,83.4
2018-11-02,3290.25,81.27
2018-11-09,3167.44,80.06
2018-11-16,3257.67,79.62
2018-11-23,3143.48,78.96
2018-11-30,3172.69,78.27
2018-12-07,3181.56,78.36
2018-12-14,3165.91,77.95
2018-12-21,3029.4,77.81
2018-12-28,3010.65,78.04
2019-01-04,3035.87,78.71
2019-01-11,3094.78,78.72
2019-01-18,3168.17,80.64
2019-01-25,3184.47,82.09
2019-02-01,3247.4,82.98
2019-02-15,3338.7,83.6
2019-02-22,3520.12,85.15
2019-03-01,3749.71,85.05
2019-03-08,3657.58,84.34
2019-03-15,3745.01,83.74
2019-03-22,3833.8,82.8
2019-03-29,3872.34,83.32
2019-04-04,4062.23,83.96
2019-04-12,3988.62,84.7
2019-04-19,4120.61,84.53
2019-04-26,3889.27,83.83
2019-04-30,3913.21,83.42
2019-05-10,3730.45,82.55
2019-05-17,3648.76,82.02
2019-05-24,3593.91,81.93
2019-05-31,3629.79,81.91
2019-06-06,3564.68,81.79
2019-06-14,3654.88,82.08
2019-06-21,3833.94,82.35
2019-06-28,3825.59,82.36
2019-07-05,3893.2,82.04
2019-07-12,3808.73,81.36
2019-07-19,3807.96,81.48
2019-07-26,3858.57,80.39
2019-08-02,3747.44,79.78
2019-08-09,3633.53,79.24
2019-08-16,3710.54,77.93
2019-08-23,3820.86,78.55
2019-08-30,3799.59,79.66
2019-09-06,3948.51,81.0
2019-09-12,3972.38,83.1
2019-09-20,3935.65,84.21
2019-09-27,3852.65,84.97
2019-09-30,3814.53,85.63
2019-10-11,3911.73,86.14
2019-10-18,3869.38,86.17
2019-10-25,3896.79,85.99
2019-11-01,3952.39,85.72
2019-11-08,3973.01,84.97
