交易所名称,合约名称,合约代码,现价,涨停板,跌停板,保证金-买开,保证金-卖开,保证金-每手,手续费标准-开仓-万分之,手续费标准-开仓-元,手续费标准-平昨-万分之,手续费标准-平昨-元,手续费标准-平今-万分之,手续费标准-平今-元,每跳毛利,手续费,每跳净利,备注,手续费更新时间,价格更新时间
上海期货交易所,白银2605,ag2605,19215.0,23058.0,15372.0,22.0,22.0,63409.5,5e-05,0.5/万分之 (14.4元),5e-05,0.5/万分之 (14.4元),5e-05,0.5/万分之 (14.4元),15,28.8,-13.8,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2606,ag2606,19271.0,23125.0,15416.0,22.0,22.0,63594.3,5e-05,0.5/万分之 (14.5元),5e-05,0.5/万分之 (14.5元),5e-05,0.5/万分之 (14.5元),15,28.9,-13.9,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2607,ag2607,19242.0,23090.0,15393.0,22.0,22.0,63498.6,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2608,ag2608,19256.0,23107.0,15404.0,22.0,22.0,63544.8,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2609,ag2609,19216.0,23059.0,15372.0,22.0,22.0,63412.8,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2610,ag2610,19213.0,23055.0,15370.0,22.0,22.0,63402.9,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2611,ag2611,19246.0,23095.0,15396.0,22.0,22.0,63511.8,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2612,ag2612,19181.0,23017.0,15344.0,22.0,22.0,63297.3,5e-05,0.5/万分之 (14.4元),5e-05,0.5/万分之 (14.4元),5e-05,0.5/万分之 (14.4元),15,28.8,-13.8,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2701,ag2701,19225.0,23070.0,15380.0,22.0,22.0,63442.5,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2702,ag2702,19193.0,23031.0,15354.0,22.0,22.0,63336.9,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,白银2703,ag2703,19179.0,23014.0,15343.0,22.0,22.0,63290.7,1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),1e-05,0.1/万分之 (2.9元),15,5.8,9.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2606,au2606,1043.58,1220.98,866.16,19.0,19.0,198280.2,,19.99,,19.99,,0,20,20.0,0.0,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2608,au2608,1045.98,1223.78,868.16,19.0,19.0,198736.2,,10,,10,,0,20,10.0,10.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2610,au2610,1048.18,1226.36,869.98,19.0,19.0,199154.2,,10,,10,,0,20,10.0,10.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2612,au2612,1049.94,1228.42,871.44,19.0,19.0,199488.6,,19.99,,19.99,,0,20,20.0,0.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2702,au2702,1054.8,1234.1,875.48,19.0,19.0,200412.0,,10,,10,,0,20,10.0,10.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2605,au2605,1042.4,1219.6,865.18,19.0,19.0,198056.0,,19.99,,19.99,,0,20,20.0,0.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,黄金2704,au2704,1056.98,1236.66,877.28,19.0,19.0,200826.2,,10,,10,,0,20,10.0,10.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2605,sn2605,391070.0,437990.0,344140.0,14.0,14.0,54749.8,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2606,sn2606,391770.0,438780.0,344750.0,14.0,14.0,54847.8,,3,,3,,3,10,6.0,4.0,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2607,sn2607,391710.0,438710.0,344700.0,14.0,14.0,54839.4,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2608,sn2608,391240.0,438180.0,344290.0,14.0,14.0,54773.6,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2609,sn2609,391710.0,438710.0,344700.0,14.0,14.0,54839.4,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2610,sn2610,390290.0,437120.0,343450.0,14.0,14.0,54640.6,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2611,sn2611,392140.0,439190.0,345080.0,14.0,14.0,54899.6,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2612,sn2612,391680.0,438680.0,344670.0,14.0,14.0,54835.2,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2701,sn2701,393140.0,440310.0,345960.0,14.0,14.0,55039.6,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2702,sn2702,392520.0,439620.0,345410.0,14.0,14.0,54952.8,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪锡2703,sn2703,388210.0,434790.0,341620.0,14.0,14.0,54349.4,,3,,3,,3,10,6.0,4.0,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铜2605,cu2605,102910.0,113200.0,92610.0,12.0,12.0,61746.0,5e-05,0.5/万分之 (25.7元),5e-05,0.5/万分之 (25.7元),0.0001,1/万分之 (51.5元),50,77.2,-27.2,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铜2606,cu2606,103130.0,113440.0,92810.0,12.0,12.0,61878.0,5e-05,0.5/万分之 (25.8元),5e-05,0.5/万分之 (25.8元),0.0001,1/万分之 (51.6元),50,77.3,-27.3,主力合约,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
上海期货交易所,沪铜2607,cu2607,103030.0,113330.0,92720.0,12.0,12.0,61818.0,5e-05,0.5/万分之 (25.8元),5e-05,0.5/万分之 (25.8元),0.0001,1/万分之 (51.5元),50,77.3,-27.3,,2026-04-23 23:39:26.957,2026-04-24 15:29:08.128
