日期,合约品种,合约代码,手续费公布时间,价格公布时间,现价,涨停板,跌停板,保证金/买开,保证金/卖开,保证金/每手,开仓,平今,平昨,每手跳数,每跳毛利,每跳净利,交易所
2026-02-13,黄金2604,au2604,2026-02-12 23:40:43,2026-02-13 15:24:38,1128.26,1353.9,902.6,22%,22%,248217.2元,19.99元,0元,19.99元,20,,0.0,上海期货交易所
2026-02-13,鸡蛋2604,jd2604,2026-02-12 23:40:43,2026-02-13 15:24:38,3181.0,3435.0,2927.0,9%,9%,2862.9元,1.5/万分之(4.8元),1.5/万分之(4.8元),1.5/万分之(4.8元),10,,0.5,大连商品交易所
2026-02-13,集运指数2604,ec2604,2026-02-12 23:40:43,2026-02-13 15:24:38,1228.3,1449.3,1007.2,20%,20%,12283元,6/万分之(36.8元),12/万分之(73.7元),6/万分之(36.8元),5,,-105.5,上海国际能源交易中心
2026-02-13,锰硅605,SM605,2026-02-12 23:40:43,2026-02-13 15:24:38,5812.0,6336.0,5288.0,10%,10%,2906元,3元,0元,3元,10,,7.0,郑州商品交易所
2026-02-13,铸造铝2604,ad2604,2026-02-12 23:40:43,2026-02-13 15:24:38,22230.0,24675.0,19780.0,13%,13%,28899元,0.5/万分之(11.1元),0/万分之(0元),0.5/万分之(11.1元),50,,38.9,上海期货交易所
2026-02-13,铂2606,pt2606,2026-02-12 23:40:43,2026-02-13 15:24:38,545.15,675.95,414.35,26%,26%,141739元,2.5/万分之(136.3元),2.5/万分之(136.3元),2.5/万分之(136.3元),50,,-222.6,广州期货交易所
2026-02-13,铁矿石2605,i2605,2026-02-12 23:40:43,2026-02-13 15:24:38,764.0,848.0,680.0,13%,13%,9932元,1/万分之(7.6元),1/万分之(7.6元),1/万分之(7.6元),50,,34.7,大连商品交易所
2026-02-13,钯2606,pd2606,2026-02-12 23:40:43,2026-02-13 15:24:38,430.15,533.35,326.95,26%,26%,111839元,2.5/万分之(107.5元),2.5/万分之(107.5元),2.5/万分之(107.5元),50,,-165.1,广州期货交易所
2026-02-13,豆粕2605,m2605,2026-02-12 23:40:43,2026-02-13 15:24:38,2782.0,3004.0,2560.0,9%,9%,2503.8元,1.5元,1.5元,1.5元,10,,7.0,大连商品交易所
2026-02-13,豆油2605,y2605,2026-02-12 23:40:43,2026-02-13 15:24:38,8106.0,8834.0,7378.0,10%,10%,8106元,2.5元,2.5元,2.5元,20,,15.0,大连商品交易所
2026-02-13,豆二2605,b2605,2026-02-12 23:40:43,2026-02-13 15:24:38,3518.0,3799.0,3237.0,9%,9%,3166.2元,1元,1元,1元,10,,8.0,大连商品交易所
2026-02-13,豆一2605,a2605,2026-02-12 23:40:43,2026-02-13 15:24:38,4576.0,4942.0,4210.0,9%,9%,4118.4元,2元,2元,2元,10,,6.0,大连商品交易所
2026-02-13,螺纹钢2605,rb2605,2026-02-12 23:40:43,2026-02-13 15:24:38,3051.0,3356.0,2745.0,12%,12%,3661.2元,1/万分之(3.1元),1/万分之(3.1元),1/万分之(3.1元),10,,3.9,上海期货交易所
2026-02-13,菜籽粕605,RM605,2026-02-12 23:40:43,2026-02-13 15:24:38,2301.0,2509.0,2093.0,10%,10%,2301元,1.5元,1.5元,1.5元,10,,7.0,郑州商品交易所
2026-02-13,菜籽油605,OI605,2026-02-12 23:40:43,2026-02-13 15:24:38,9122.0,9943.0,8301.0,10%,10%,9122元,2元,2元,2元,10,,6.0,郑州商品交易所
2026-02-13,苹果605,AP605,2026-02-12 23:40:43,2026-02-13 15:24:38,9708.0,10679.0,8737.0,12%,12%,11649.6元,5元,19.99元,5元,10,,-15.0,郑州商品交易所
2026-02-13,苯乙烯2603,eb2603,2026-02-12 23:40:43,2026-02-13 15:24:38,7488.0,8236.0,6740.0,11%,11%,4118.4元,3元,3元,3元,5,,-1.0,大连商品交易所
2026-02-13,花生605,PK605,2026-02-12 23:40:43,2026-02-13 15:24:38,7956.0,8674.0,7238.0,10%,10%,3978元,4元,4元,4元,10,,2.0,郑州商品交易所
2026-02-13,胶版纸2604,op2604,2026-02-12 23:40:43,2026-02-13 15:24:38,4088.0,4496.0,3678.0,12%,12%,19622.4元,0.5/万分之(8.2元),0/万分之(0元),0.5/万分之(8.2元),80,,71.8,上海期货交易所
2026-02-13,胶板2611,bb2611,2026-02-12 23:40:43,2026-02-13 15:24:38,147.1,154.45,139.75,15%,15%,11032.5元,1/万分之(7.4元),1/万分之(7.4元),1/万分之(7.4元),25,,10.3,大连商品交易所
2026-02-13,聚氯乙烯月均价2607,v2607F,2026-02-12 23:40:43,2026-02-13 15:24:38,5028.0,5480.0,4576.0,10%,10%,2514元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,聚氯乙烯月均价2604,v2604F,2026-02-12 23:40:43,2026-02-13 15:03:59,4921.0,5363.0,4479.0,10%,10%,2460.5元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,聚乙烯月均价2605,l2605F,2026-02-12 23:40:43,2026-02-13 15:24:38,6786.0,7396.0,6176.0,10%,10%,3393元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,聚丙烯月均价2605,pp2605F,2026-02-12 23:40:43,2026-02-13 15:24:38,6687.0,7288.0,6086.0,10%,10%,3343.5元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,聚丙烯2605,pp2605,2026-02-12 23:40:43,2026-02-13 15:24:38,6687.0,7288.0,6086.0,10%,10%,3343.5元,1元,1元,1元,5,,3.0,大连商品交易所
2026-02-13,线材2605,wr2605,2026-02-12 23:40:43,2026-02-13 15:03:59,3330.0,3696.0,2963.0,13%,13%,4329元,0.4/万分之(1.3元),0/万分之(0元),0.4/万分之(1.3元),10,,8.7,上海期货交易所
2026-02-13,线材2603,wr2603,2026-02-12 23:40:43,2026-02-13 15:24:38,3453.0,3832.0,3073.0,13%,13%,4488.9元,0.4/万分之(1.4元),0/万分之(0元),0.4/万分之(1.4元),10,,8.6,上海期货交易所
2026-02-13,纸浆2605,sp2605,2026-02-12 23:40:43,2026-02-13 15:24:38,5256.0,5780.0,4730.0,12%,12%,6307.2元,0.5/万分之(2.6元),0/万分之(0元),0.5/万分之(2.6元),20,,17.4,上海期货交易所
2026-02-13,纯苯2603,bz2603,2026-02-12 23:40:43,2026-02-13 15:24:38,6118.0,6790.0,5446.0,12%,12%,22024.8元,1/万分之(18.4元),1/万分之(18.4元),1/万分之(18.4元),30,,-6.7,大连商品交易所
2026-02-13,纯碱605,SA605,2026-02-12 23:40:43,2026-02-13 15:24:38,1169.0,1286.0,1052.0,12%,12%,2805.6元,2/万分之(4.7元),2/万分之(4.7元),2/万分之(4.7元),20,,10.6,郑州商品交易所
2026-02-13,纤维板2604,fb2604,2026-02-12 23:40:43,2026-02-13 15:24:38,1281.0,1345.0,1217.0,10%,10%,1281元,1/万分之(1.3元),1/万分之(1.3元),1/万分之(1.3元),5,,2.4,大连商品交易所
2026-02-13,红枣605,CJ605,2026-02-12 23:40:43,2026-02-13 15:24:38,8850.0,9735.0,7965.0,12%,12%,5310元,3元,3元,3元,25,,19.0,郑州商品交易所
2026-02-13,粳米2604,rr2604,2026-02-12 23:40:43,2026-02-13 15:24:38,3615.0,3868.0,3362.0,8%,8%,2892元,1元,1元,1元,10,,8.0,大连商品交易所
2026-02-13,粳米2603,rr2603,2026-02-12 23:40:43,2026-02-13 15:03:59,3549.0,3797.0,3301.0,8%,8%,2839.2元,1元,1元,1元,10,,8.0,大连商品交易所
2026-02-13,碳酸锂2605,lc2605,2026-02-12 23:40:43,2026-02-13 15:24:38,149340.0,171740.0,126940.0,17%,17%,25387.8元,3.2/万分之(47.8元),3.2/万分之(47.8元),3.2/万分之(47.8元),20,,-75.6,广州期货交易所
2026-02-13,硅铁605,SF605,2026-02-12 23:40:43,2026-02-13 15:24:38,5542.0,6042.0,5042.0,10%,10%,2771元,3元,0元,3元,10,,7.0,郑州商品交易所
